cause,age,month,dead
Multiple cause of death C00-C97,1,2003-08,32
Multiple cause of death C00-C97,1,2003-09,36
Multiple cause of death C00-C97,1,2003-10,22
Multiple cause of death C00-C97,1,2003-11,36
Multiple cause of death C00-C97,1,2003-12,47
Multiple cause of death C00-C97,1,2004-01,29
Multiple cause of death C00-C97,1,2004-02,39
Multiple cause of death C00-C97,1,2004-03,37
Multiple cause of death C00-C97,1,2004-04,35
Multiple cause of death C00-C97,1,2004-05,34
Multiple cause of death C00-C97,1,2004-06,37
Multiple cause of death C00-C97,1,2004-07,35
Multiple cause of death C00-C97,1,2004-08,42
Multiple cause of death C00-C97,1,2004-09,29
Multiple cause of death C00-C97,1,2004-10,34
Multiple cause of death C00-C97,1,2004-11,32
Multiple cause of death C00-C97,1,2004-12,34
Multiple cause of death C00-C97,1,2005-01,36
Multiple cause of death C00-C97,1,2005-02,33
Multiple cause of death C00-C97,1,2005-03,32
Multiple cause of death C00-C97,1,2005-04,22
Multiple cause of death C00-C97,1,2005-05,42
Multiple cause of death C00-C97,1,2005-06,38
Multiple cause of death C00-C97,1,2005-07,35
Multiple cause of death C00-C97,1,2005-08,35
Multiple cause of death C00-C97,1,2005-09,23
Multiple cause of death C00-C97,1,2005-10,27
Multiple cause of death C00-C97,1,2005-11,34
Multiple cause of death C00-C97,1,2005-12,36
Multiple cause of death C00-C97,1,2006-01,34
Multiple cause of death C00-C97,1,2006-02,28
Multiple cause of death C00-C97,1,2006-03,41
Multiple cause of death C00-C97,1,2006-04,33
Multiple cause of death C00-C97,1,2006-05,36
Multiple cause of death C00-C97,1,2006-06,33
Multiple cause of death C00-C97,1,2006-07,34
Multiple cause of death C00-C97,1,2006-08,32
Multiple cause of death C00-C97,1,2006-09,22
Multiple cause of death C00-C97,1,2006-10,31
Multiple cause of death C00-C97,1,2006-11,37
Multiple cause of death C00-C97,1,2006-12,36
Multiple cause of death C00-C97,1,2007-01,37
Multiple cause of death C00-C97,1,2007-02,30
Multiple cause of death C00-C97,1,2007-03,27
Multiple cause of death C00-C97,1,2007-04,45
Multiple cause of death C00-C97,1,2007-05,24
Multiple cause of death C00-C97,1,2007-06,28
Multiple cause of death C00-C97,1,2007-07,35
Multiple cause of death C00-C97,1,2007-08,39
Multiple cause of death C00-C97,1,2007-09,25
Multiple cause of death C00-C97,1,2007-10,35
Multiple cause of death C00-C97,1,2007-11,38
Multiple cause of death C00-C97,1,2007-12,27
Multiple cause of death C00-C97,1,2008-01,36
Multiple cause of death C00-C97,1,2008-02,31
Multiple cause of death C00-C97,1,2008-03,40
Multiple cause of death C00-C97,1,2008-04,33
Multiple cause of death C00-C97,1,2008-05,34
Multiple cause of death C00-C97,1,2008-06,34
Multiple cause of death C00-C97,1,2008-07,24
Multiple cause of death C00-C97,1,2008-08,38
Multiple cause of death C00-C97,1,2008-09,30
Multiple cause of death C00-C97,1,2008-10,41
Multiple cause of death C00-C97,1,2008-11,33
Multiple cause of death C00-C97,1,2008-12,39
Multiple cause of death C00-C97,1,2009-01,36
Multiple cause of death C00-C97,1,2009-02,31
Multiple cause of death C00-C97,1,2009-03,35
Multiple cause of death C00-C97,1,2009-04,35
Multiple cause of death C00-C97,1,2009-05,24
Multiple cause of death C00-C97,1,2009-06,25
Multiple cause of death C00-C97,1,2009-07,33
Multiple cause of death C00-C97,1,2009-08,30
Multiple cause of death C00-C97,1,2009-09,27
Multiple cause of death C00-C97,1,2009-10,29
Multiple cause of death C00-C97,1,2009-11,33
Multiple cause of death C00-C97,1,2009-12,26
Multiple cause of death C00-C97,1,2010-01,33
Multiple cause of death C00-C97,1,2010-02,21
Multiple cause of death C00-C97,1,2010-03,24
Multiple cause of death C00-C97,1,2010-04,38
Multiple cause of death C00-C97,1,2010-05,30
Multiple cause of death C00-C97,1,2010-06,27
Multiple cause of death C00-C97,1,2010-07,31
Multiple cause of death C00-C97,1,2010-08,31
Multiple cause of death C00-C97,1,2010-09,27
Multiple cause of death C00-C97,1,2010-10,23
Multiple cause of death C00-C97,1,2010-11,37
Multiple cause of death C00-C97,1,2010-12,42
Multiple cause of death C00-C97,1,2011-01,26
Multiple cause of death C00-C97,1,2011-02,31
Multiple cause of death C00-C97,1,2011-03,33
Multiple cause of death C00-C97,1,2011-04,29
Multiple cause of death C00-C97,1,2011-05,31
Multiple cause of death C00-C97,1,2011-06,30
Multiple cause of death C00-C97,1,2011-07,30
Multiple cause of death C00-C97,1,2011-08,28
Multiple cause of death C00-C97,1,2011-09,34
Multiple cause of death C00-C97,1,2011-10,27
Multiple cause of death C00-C97,1,2011-11,36
Multiple cause of death C00-C97,1,2011-12,24
Multiple cause of death C00-C97,1,2012-01,41
Multiple cause of death C00-C97,1,2012-02,40
Multiple cause of death C00-C97,1,2012-03,33
Multiple cause of death C00-C97,1,2012-04,34
Multiple cause of death C00-C97,1,2012-05,38
Multiple cause of death C00-C97,1,2012-06,29
Multiple cause of death C00-C97,1,2012-07,30
Multiple cause of death C00-C97,1,2012-08,34
Multiple cause of death C00-C97,1,2012-09,35
Multiple cause of death C00-C97,1,2012-10,38
Multiple cause of death C00-C97,1,2012-11,30
Multiple cause of death C00-C97,1,2012-12,26
Multiple cause of death C00-C97,1,2013-01,30
Multiple cause of death C00-C97,1,2013-02,32
Multiple cause of death C00-C97,1,2013-03,27
Multiple cause of death C00-C97,1,2013-04,26
Multiple cause of death C00-C97,1,2013-05,37
Multiple cause of death C00-C97,1,2013-06,30
Multiple cause of death C00-C97,1,2013-07,26
Multiple cause of death C00-C97,1,2013-08,34
Multiple cause of death C00-C97,1,2013-09,26
Multiple cause of death C00-C97,1,2013-10,25
Multiple cause of death C00-C97,1,2013-11,28
Multiple cause of death C00-C97,1,2013-12,28
Multiple cause of death C00-C97,1,2014-01,29
Multiple cause of death C00-C97,1,2014-02,24
Multiple cause of death C00-C97,1,2014-03,41
Multiple cause of death C00-C97,1,2014-04,32
Multiple cause of death C00-C97,1,2014-05,29
Multiple cause of death C00-C97,1,2014-06,31
Multiple cause of death C00-C97,1,2014-07,15
Multiple cause of death C00-C97,1,2014-08,25
Multiple cause of death C00-C97,1,2014-09,28
Multiple cause of death C00-C97,1,2014-10,37
Multiple cause of death C00-C97,1,2014-11,21
Multiple cause of death C00-C97,1,2014-12,28
Multiple cause of death C00-C97,1,2015-01,27
Multiple cause of death C00-C97,1,2015-02,28
Multiple cause of death C00-C97,1,2015-03,28
Multiple cause of death C00-C97,1,2015-04,31
Multiple cause of death C00-C97,1,2015-05,36
Multiple cause of death C00-C97,1,2015-06,36
Multiple cause of death C00-C97,1,2015-07,36
Multiple cause of death C00-C97,1,2015-08,25
Multiple cause of death C00-C97,1,2015-09,35
Multiple cause of death C00-C97,1,2015-10,25
Multiple cause of death C00-C97,1,2015-11,35
Multiple cause of death C00-C97,1,2015-12,29
Multiple cause of death C00-C97,1,2016-01,26
Multiple cause of death C00-C97,1,2016-02,34
Multiple cause of death C00-C97,1,2016-03,35
Multiple cause of death C00-C97,1,2016-04,38
Multiple cause of death C00-C97,1,2016-05,37
Multiple cause of death C00-C97,1,2016-06,29
Multiple cause of death C00-C97,1,2016-07,33
Multiple cause of death C00-C97,1,2016-08,31
Multiple cause of death C00-C97,1,2016-09,35
Multiple cause of death C00-C97,1,2016-10,28
Multiple cause of death C00-C97,1,2016-11,39
Multiple cause of death C00-C97,1,2016-12,29
Multiple cause of death C00-C97,1,2017-01,26
Multiple cause of death C00-C97,1,2017-02,27
Multiple cause of death C00-C97,1,2017-03,35
Multiple cause of death C00-C97,1,2017-04,25
Multiple cause of death C00-C97,1,2017-05,26
Multiple cause of death C00-C97,1,2017-06,22
Multiple cause of death C00-C97,1,2017-07,29
Multiple cause of death C00-C97,1,2017-08,46
Multiple cause of death C00-C97,1,2017-09,19
Multiple cause of death C00-C97,1,2017-10,32
Multiple cause of death C00-C97,1,2017-11,27
Multiple cause of death C00-C97,1,2017-12,30
Multiple cause of death C00-C97,1,2018-01,35
Multiple cause of death C00-C97,1,2018-02,33
Multiple cause of death C00-C97,1,2018-03,33
Multiple cause of death C00-C97,1,2018-04,19
Multiple cause of death C00-C97,1,2018-05,29
Multiple cause of death C00-C97,1,2018-06,31
Multiple cause of death C00-C97,1,2018-07,27
Multiple cause of death C00-C97,1,2018-08,18
Multiple cause of death C00-C97,1,2018-09,30
Multiple cause of death C00-C97,1,2018-10,29
Multiple cause of death C00-C97,1,2018-11,31
Multiple cause of death C00-C97,1,2018-12,29
Multiple cause of death C00-C97,1,2019-01,22
Multiple cause of death C00-C97,1,2019-02,34
Multiple cause of death C00-C97,1,2019-03,26
Multiple cause of death C00-C97,1,2019-04,24
Multiple cause of death C00-C97,1,2019-05,33
Multiple cause of death C00-C97,1,2019-06,29
Multiple cause of death C00-C97,1,2019-07,23
Multiple cause of death C00-C97,1,2019-08,17
Multiple cause of death C00-C97,1,2019-09,28
Multiple cause of death C00-C97,1,2019-10,27
Multiple cause of death C00-C97,1,2019-11,23
Multiple cause of death C00-C97,1,2019-12,20
Multiple cause of death C00-C97,1,2020-01,28
Multiple cause of death C00-C97,1,2020-02,34
Multiple cause of death C00-C97,1,2020-03,22
Multiple cause of death C00-C97,1,2020-04,31
Multiple cause of death C00-C97,1,2020-05,37
Multiple cause of death C00-C97,1,2020-06,28
Multiple cause of death C00-C97,1,2020-07,25
Multiple cause of death C00-C97,1,2020-08,20
Multiple cause of death C00-C97,1,2020-09,28
Multiple cause of death C00-C97,1,2020-10,21
Multiple cause of death C00-C97,1,2020-11,24
Multiple cause of death C00-C97,1,2020-12,27
Multiple cause of death C00-C97,1,2021-01,33
Multiple cause of death C00-C97,1,2021-02,18
Multiple cause of death C00-C97,1,2021-03,30
Multiple cause of death C00-C97,1,2021-04,18
Multiple cause of death C00-C97,1,2021-05,30
Multiple cause of death C00-C97,1,2021-06,27
Multiple cause of death C00-C97,1,2021-07,25
Multiple cause of death C00-C97,1,2021-08,17
Multiple cause of death C00-C97,1,2021-09,33
Multiple cause of death C00-C97,1,2021-10,22
Multiple cause of death C00-C97,1,2021-11,27
Multiple cause of death C00-C97,1,2021-12,20
Multiple cause of death C00-C97,1,2022-01,26
Multiple cause of death C00-C97,1,2022-02,18
Multiple cause of death C00-C97,1,2022-03,22
Multiple cause of death C00-C97,1,2022-04,19
Multiple cause of death C00-C97,1,2022-05,27
Multiple cause of death C00-C97,1,2022-06,22
Multiple cause of death C00-C97,1,2022-07,36
Multiple cause of death C00-C97,1,2022-08,27
Multiple cause of death C00-C97,1,2022-09,23
Multiple cause of death C00-C97,1,2022-10,21
Multiple cause of death C00-C97,1,2022-11,27
Multiple cause of death C00-C97,1,2022-12,26
Multiple cause of death C00-C97,1,2023-01,23
Multiple cause of death C00-C97,1,2023-02,18
Multiple cause of death C00-C97,1,2023-03,22
Multiple cause of death C00-C97,1,2023-04,32
Multiple cause of death C00-C97,1,2023-05,16
Multiple cause of death C00-C97,1,2023-06,23
Multiple cause of death C00-C97,1,2023-07,27
Multiple cause of death C00-C97,1,2023-08,29
Multiple cause of death C00-C97,1,2023-09,29
Multiple cause of death C00-C97,1,2023-10,25
Multiple cause of death C00-C97,1,2023-11,25
Multiple cause of death C00-C97,1,2023-12,30
Multiple cause of death C00-C97,1,2024-01,33
Multiple cause of death C00-C97,1,2024-02,33
Multiple cause of death C00-C97,1,2024-03,27
Multiple cause of death C00-C97,1,2024-04,32
Multiple cause of death C00-C97,1,2024-05,25
Multiple cause of death C00-C97,1,2024-06,23
Multiple cause of death C00-C97,1,2024-07,20
Multiple cause of death C00-C97,1,2024-08,13
Multiple cause of death C00-C97,5,1999-01,55
Multiple cause of death C00-C97,5,1999-02,49
Multiple cause of death C00-C97,5,1999-03,43
Multiple cause of death C00-C97,5,1999-04,41
Multiple cause of death C00-C97,5,1999-05,46
Multiple cause of death C00-C97,5,1999-06,45
Multiple cause of death C00-C97,5,1999-07,39
Multiple cause of death C00-C97,5,1999-08,43
Multiple cause of death C00-C97,5,1999-09,51
Multiple cause of death C00-C97,5,1999-10,36
Multiple cause of death C00-C97,5,1999-11,48
Multiple cause of death C00-C97,5,1999-12,40
Multiple cause of death C00-C97,5,2000-01,44
Multiple cause of death C00-C97,5,2000-02,49
Multiple cause of death C00-C97,5,2000-03,47
Multiple cause of death C00-C97,5,2000-04,36
Multiple cause of death C00-C97,5,2000-05,40
Multiple cause of death C00-C97,5,2000-06,39
Multiple cause of death C00-C97,5,2000-07,40
Multiple cause of death C00-C97,5,2000-08,45
Multiple cause of death C00-C97,5,2000-09,40
Multiple cause of death C00-C97,5,2000-10,41
Multiple cause of death C00-C97,5,2000-11,46
Multiple cause of death C00-C97,5,2000-12,42
Multiple cause of death C00-C97,5,2001-01,44
Multiple cause of death C00-C97,5,2001-02,38
Multiple cause of death C00-C97,5,2001-03,39
Multiple cause of death C00-C97,5,2001-04,45
Multiple cause of death C00-C97,5,2001-05,42
Multiple cause of death C00-C97,5,2001-06,38
Multiple cause of death C00-C97,5,2001-07,53
Multiple cause of death C00-C97,5,2001-08,40
Multiple cause of death C00-C97,5,2001-09,38
Multiple cause of death C00-C97,5,2001-10,36
Multiple cause of death C00-C97,5,2001-11,43
Multiple cause of death C00-C97,5,2001-12,51
Multiple cause of death C00-C97,5,2002-01,55
Multiple cause of death C00-C97,5,2002-02,45
Multiple cause of death C00-C97,5,2002-03,48
Multiple cause of death C00-C97,5,2002-04,32
Multiple cause of death C00-C97,5,2002-05,42
Multiple cause of death C00-C97,5,2002-06,40
Multiple cause of death C00-C97,5,2002-07,53
Multiple cause of death C00-C97,5,2002-08,47
Multiple cause of death C00-C97,5,2002-09,47
Multiple cause of death C00-C97,5,2002-10,54
Multiple cause of death C00-C97,5,2002-11,43
Multiple cause of death C00-C97,5,2002-12,44
Multiple cause of death C00-C97,5,2003-01,46
Multiple cause of death C00-C97,5,2003-02,47
Multiple cause of death C00-C97,5,2003-03,47
Multiple cause of death C00-C97,5,2003-04,46
Multiple cause of death C00-C97,5,2003-05,32
Multiple cause of death C00-C97,5,2003-06,47
Multiple cause of death C00-C97,5,2003-07,44
Multiple cause of death C00-C97,5,2003-08,48
Multiple cause of death C00-C97,5,2003-09,55
Multiple cause of death C00-C97,5,2003-10,37
Multiple cause of death C00-C97,5,2003-11,37
Multiple cause of death C00-C97,5,2003-12,46
Multiple cause of death C00-C97,5,2004-01,51
Multiple cause of death C00-C97,5,2004-02,40
Multiple cause of death C00-C97,5,2004-03,42
Multiple cause of death C00-C97,5,2004-04,53
Multiple cause of death C00-C97,5,2004-05,43
Multiple cause of death C00-C97,5,2004-06,48
Multiple cause of death C00-C97,5,2004-07,40
Multiple cause of death C00-C97,5,2004-08,49
Multiple cause of death C00-C97,5,2004-09,41
Multiple cause of death C00-C97,5,2004-10,46
Multiple cause of death C00-C97,5,2004-11,38
Multiple cause of death C00-C97,5,2004-12,54
Multiple cause of death C00-C97,5,2005-01,45
Multiple cause of death C00-C97,5,2005-02,40
Multiple cause of death C00-C97,5,2005-03,38
Multiple cause of death C00-C97,5,2005-04,45
Multiple cause of death C00-C97,5,2005-05,27
Multiple cause of death C00-C97,5,2005-06,41
Multiple cause of death C00-C97,5,2005-07,37
Multiple cause of death C00-C97,5,2005-08,41
Multiple cause of death C00-C97,5,2005-09,45
Multiple cause of death C00-C97,5,2005-10,48
Multiple cause of death C00-C97,5,2005-11,45
Multiple cause of death C00-C97,5,2005-12,51
Multiple cause of death C00-C97,5,2006-01,25
Multiple cause of death C00-C97,5,2006-02,44
Multiple cause of death C00-C97,5,2006-03,43
Multiple cause of death C00-C97,5,2006-04,39
Multiple cause of death C00-C97,5,2006-05,44
Multiple cause of death C00-C97,5,2006-06,39
Multiple cause of death C00-C97,5,2006-07,42
Multiple cause of death C00-C97,5,2006-08,34
Multiple cause of death C00-C97,5,2006-09,42
Multiple cause of death C00-C97,5,2006-10,36
Multiple cause of death C00-C97,5,2006-11,40
Multiple cause of death C00-C97,5,2006-12,47
Multiple cause of death C00-C97,5,2007-01,34
Multiple cause of death C00-C97,5,2007-02,38
Multiple cause of death C00-C97,5,2007-03,47
Multiple cause of death C00-C97,5,2007-04,40
Multiple cause of death C00-C97,5,2007-05,44
Multiple cause of death C00-C97,5,2007-06,47
Multiple cause of death C00-C97,5,2007-07,33
Multiple cause of death C00-C97,5,2007-08,43
Multiple cause of death C00-C97,5,2007-09,35
Multiple cause of death C00-C97,5,2007-10,40
Multiple cause of death C00-C97,5,2007-11,51
Multiple cause of death C00-C97,5,2007-12,39
Multiple cause of death C00-C97,5,2008-01,36
Multiple cause of death C00-C97,5,2008-02,53
Multiple cause of death C00-C97,5,2008-03,44
Multiple cause of death C00-C97,5,2008-04,42
Multiple cause of death C00-C97,5,2008-05,34
Multiple cause of death C00-C97,5,2008-06,31
Multiple cause of death C00-C97,5,2008-07,43
Multiple cause of death C00-C97,5,2008-08,50
Multiple cause of death C00-C97,5,2008-09,47
Multiple cause of death C00-C97,5,2008-10,33
Multiple cause of death C00-C97,5,2008-11,28
Multiple cause of death C00-C97,5,2008-12,39
Multiple cause of death C00-C97,5,2009-01,43
Multiple cause of death C00-C97,5,2009-02,45
Multiple cause of death C00-C97,5,2009-03,43
Multiple cause of death C00-C97,5,2009-04,30
Multiple cause of death C00-C97,5,2009-05,37
Multiple cause of death C00-C97,5,2009-06,37
Multiple cause of death C00-C97,5,2009-07,48
Multiple cause of death C00-C97,5,2009-08,33
Multiple cause of death C00-C97,5,2009-09,45
Multiple cause of death C00-C97,5,2009-10,45
Multiple cause of death C00-C97,5,2009-11,55
Multiple cause of death C00-C97,5,2009-12,38
Multiple cause of death C00-C97,5,2010-01,34
Multiple cause of death C00-C97,5,2010-02,37
Multiple cause of death C00-C97,5,2010-03,45
Multiple cause of death C00-C97,5,2010-04,33
Multiple cause of death C00-C97,5,2010-05,41
Multiple cause of death C00-C97,5,2010-06,35
Multiple cause of death C00-C97,5,2010-07,49
Multiple cause of death C00-C97,5,2010-08,47
Multiple cause of death C00-C97,5,2010-09,33
Multiple cause of death C00-C97,5,2010-10,42
Multiple cause of death C00-C97,5,2010-11,31
Multiple cause of death C00-C97,5,2010-12,31
Multiple cause of death C00-C97,5,2011-01,43
Multiple cause of death C00-C97,5,2011-02,34
Multiple cause of death C00-C97,5,2011-03,44
Multiple cause of death C00-C97,5,2011-04,36
Multiple cause of death C00-C97,5,2011-05,35
Multiple cause of death C00-C97,5,2011-06,39
Multiple cause of death C00-C97,5,2011-07,38
Multiple cause of death C00-C97,5,2011-08,43
Multiple cause of death C00-C97,5,2011-09,39
Multiple cause of death C00-C97,5,2011-10,37
Multiple cause of death C00-C97,5,2011-11,28
Multiple cause of death C00-C97,5,2011-12,40
Multiple cause of death C00-C97,5,2012-01,45
Multiple cause of death C00-C97,5,2012-02,43
Multiple cause of death C00-C97,5,2012-03,43
Multiple cause of death C00-C97,5,2012-04,38
Multiple cause of death C00-C97,5,2012-05,36
Multiple cause of death C00-C97,5,2012-06,42
Multiple cause of death C00-C97,5,2012-07,43
Multiple cause of death C00-C97,5,2012-08,37
Multiple cause of death C00-C97,5,2012-09,32
Multiple cause of death C00-C97,5,2012-10,30
Multiple cause of death C00-C97,5,2012-11,31
Multiple cause of death C00-C97,5,2012-12,32
Multiple cause of death C00-C97,5,2013-01,45
Multiple cause of death C00-C97,5,2013-02,41
Multiple cause of death C00-C97,5,2013-03,32
Multiple cause of death C00-C97,5,2013-04,36
Multiple cause of death C00-C97,5,2013-05,44
Multiple cause of death C00-C97,5,2013-06,42
Multiple cause of death C00-C97,5,2013-07,38
Multiple cause of death C00-C97,5,2013-08,38
Multiple cause of death C00-C97,5,2013-09,35
Multiple cause of death C00-C97,5,2013-10,33
Multiple cause of death C00-C97,5,2013-11,38
Multiple cause of death C00-C97,5,2013-12,42
Multiple cause of death C00-C97,5,2014-01,45
Multiple cause of death C00-C97,5,2014-02,36
Multiple cause of death C00-C97,5,2014-03,33
Multiple cause of death C00-C97,5,2014-04,27
Multiple cause of death C00-C97,5,2014-05,34
Multiple cause of death C00-C97,5,2014-06,36
Multiple cause of death C00-C97,5,2014-07,33
Multiple cause of death C00-C97,5,2014-08,41
Multiple cause of death C00-C97,5,2014-09,38
Multiple cause of death C00-C97,5,2014-10,43
Multiple cause of death C00-C97,5,2014-11,39
Multiple cause of death C00-C97,5,2014-12,43
Multiple cause of death C00-C97,5,2015-01,37
Multiple cause of death C00-C97,5,2015-02,33
Multiple cause of death C00-C97,5,2015-03,39
Multiple cause of death C00-C97,5,2015-04,38
Multiple cause of death C00-C97,5,2015-05,43
Multiple cause of death C00-C97,5,2015-06,38
Multiple cause of death C00-C97,5,2015-07,34
Multiple cause of death C00-C97,5,2015-08,40
Multiple cause of death C00-C97,5,2015-09,39
Multiple cause of death C00-C97,5,2015-10,31
Multiple cause of death C00-C97,5,2015-11,44
Multiple cause of death C00-C97,5,2015-12,39
Multiple cause of death C00-C97,5,2016-01,41
Multiple cause of death C00-C97,5,2016-02,41
Multiple cause of death C00-C97,5,2016-03,47
Multiple cause of death C00-C97,5,2016-04,43
Multiple cause of death C00-C97,5,2016-05,37
Multiple cause of death C00-C97,5,2016-06,30
Multiple cause of death C00-C97,5,2016-07,41
Multiple cause of death C00-C97,5,2016-08,54
Multiple cause of death C00-C97,5,2016-09,33
Multiple cause of death C00-C97,5,2016-10,35
Multiple cause of death C00-C97,5,2016-11,28
Multiple cause of death C00-C97,5,2016-12,38
Multiple cause of death C00-C97,5,2017-01,32
Multiple cause of death C00-C97,5,2017-02,36
Multiple cause of death C00-C97,5,2017-03,34
Multiple cause of death C00-C97,5,2017-04,39
Multiple cause of death C00-C97,5,2017-05,48
Multiple cause of death C00-C97,5,2017-06,30
Multiple cause of death C00-C97,5,2017-07,46
Multiple cause of death C00-C97,5,2017-08,31
Multiple cause of death C00-C97,5,2017-09,42
Multiple cause of death C00-C97,5,2017-10,38
Multiple cause of death C00-C97,5,2017-11,32
Multiple cause of death C00-C97,5,2017-12,34
Multiple cause of death C00-C97,5,2018-01,36
Multiple cause of death C00-C97,5,2018-02,32
Multiple cause of death C00-C97,5,2018-03,31
Multiple cause of death C00-C97,5,2018-04,36
Multiple cause of death C00-C97,5,2018-05,51
Multiple cause of death C00-C97,5,2018-06,25
Multiple cause of death C00-C97,5,2018-07,33
Multiple cause of death C00-C97,5,2018-08,35
Multiple cause of death C00-C97,5,2018-09,38
Multiple cause of death C00-C97,5,2018-10,31
Multiple cause of death C00-C97,5,2018-11,28
Multiple cause of death C00-C97,5,2018-12,38
Multiple cause of death C00-C97,5,2019-01,36
Multiple cause of death C00-C97,5,2019-02,32
Multiple cause of death C00-C97,5,2019-03,38
Multiple cause of death C00-C97,5,2019-04,28
Multiple cause of death C00-C97,5,2019-05,33
Multiple cause of death C00-C97,5,2019-06,36
Multiple cause of death C00-C97,5,2019-07,36
Multiple cause of death C00-C97,5,2019-08,29
Multiple cause of death C00-C97,5,2019-09,34
Multiple cause of death C00-C97,5,2019-10,28
Multiple cause of death C00-C97,5,2019-11,30
Multiple cause of death C00-C97,5,2019-12,30
Multiple cause of death C00-C97,5,2020-01,26
Multiple cause of death C00-C97,5,2020-02,29
Multiple cause of death C00-C97,5,2020-03,38
Multiple cause of death C00-C97,5,2020-04,34
Multiple cause of death C00-C97,5,2020-05,42
Multiple cause of death C00-C97,5,2020-06,40
Multiple cause of death C00-C97,5,2020-07,35
Multiple cause of death C00-C97,5,2020-08,28
Multiple cause of death C00-C97,5,2020-09,26
Multiple cause of death C00-C97,5,2020-10,28
Multiple cause of death C00-C97,5,2020-11,40
Multiple cause of death C00-C97,5,2020-12,31
Multiple cause of death C00-C97,5,2021-01,27
