cause,year,month,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,August,"Second dose, less than 21 days ago",133,203191,1461.2,,1109.4,1812.9
All causes,2021,August,"Second dose, between 21 days and 6 months ago",31545,2449390,922.6,,912.1,933.2
All causes,2021,August,"Second dose, at least 6 months ago",1744,42175,678.2,,581.6,774.7
All causes,2021,August,"Third dose or booster, less than 21 days ago",0,30,,,,
All causes,2021,August,"Third dose or booster, at least 21 days ago",1,146,,,,
All causes,2021,August,"Fourth dose or booster, less than 21 days ago",0,0,,,,
All causes,2021,August,"Fourth dose or booster, at least 21 days ago",0,0,,,,
All causes,2021,August,Ever vaccinated,34999,3054212,926.3,,916.5,936.0
All causes,2021,September,Unvaccinated,2416,753660,1725.7,,1649.7,1801.7
All causes,2021,September,"First dose, less than 21 days ago",20,36849,753.3,,227.6,1488.8
All causes,2021,September,"First dose, at least 21 days ago",1252,174537,4676.6,,4388.4,4964.8
All causes,2021,September,"Second dose, less than 21 days ago",55,117149,975.1,,614.3,1416.5
All causes,2021,September,"Second dose, between 21 days and 6 months ago",29507,2549088,989.2,,977.7,1000.7
All causes,2021,September,"Second dose, at least 6 months ago",5209,122879,1070.1,,1009.4,1130.8
All causes,2021,September,"Third dose or booster, less than 21 days ago",87,11477,218.9,,160.0,288.0
All causes,2021,September,"Third dose or booster, at least 21 days ago",0,189,,,,
All causes,2021,September,"Fourth dose or booster, less than 21 days ago",0,3,,,,
All causes,2021,September,"Fourth dose or booster, at least 21 days ago",0,0,,,,
All causes,2021,September,Ever vaccinated,36130,3012170,987.3,,975.9,998.7
All causes,2021,October,Unvaccinated,2409,726184,1717.4,,1642.1,1792.8
All causes,2021,October,"First dose, less than 21 days ago",20,43158,1904.7,,1088.5,3046.4
All causes,2021,October,"First dose, at least 21 days ago",1170,164532,4770.6,,4467.9,5073.3
All causes,2021,October,"Second dose, less than 21 days ago",56,38643,1940.4,,1385.1,2618.2
All causes,2021,October,"Second dose, between 21 days and 6 months ago",14683,2240074,1253.4,,1131.0,1375.8
All causes,2021,October,"Second dose, at least 6 months ago",18898,363131,1765.7,,1732.5,1798.8
All causes,2021,October,"Third dose or booster, less than 21 days ago",3818,258098,403.9,,384.1,423.8
All causes,2021,October,"Third dose or booster, at least 21 days ago",1161,59349,484.1,,442.2,525.9
All causes,2021,October,"Fourth dose or booster, less than 21 days ago",4,45,,,,
All causes,2021,October,"Fourth dose or booster, at least 21 days ago",0,12,,,,
All causes,2021,October,Ever vaccinated,39810,3167043,1046.8,,1036.5,1057.2
All causes,2021,November,Unvaccinated,2511,639445,1875.0,,1794.6,1955.4
All causes,2021,November,"First dose, less than 21 days ago",35,45091,3790.3,,2509.8,5439.2
All causes,2021,November,"First dose, at least 21 days ago",865,187508,3890.8,,3602.5,4179.1
All causes,2021,November,"Second dose, less than 21 days ago",53,23895,2227.6,,1583.4,3018.3
All causes,2021,November,"Second dose, between 21 days and 6 months ago",3822,1480611,1885.1,,1784.1,1986.1
All causes,2021,November,"Second dose, at least 6 months ago",19022,489435,2847.5,,2805.5,2889.4
All causes,2021,November,"Third dose or booster, less than 21 days ago",4721,434610,592.4,,571.9,612.8
All causes,2021,November,"Third dose or booster, at least 21 days ago",11346,468313,713.2,,694.5,732.0
All causes,2021,November,"Fourth dose or booster, less than 21 days ago",4,72,,,,
All causes,2021,November,"Fourth dose or booster, at least 21 days ago",3,81,,,,
All causes,2021,November,Ever vaccinated,39871,3129616,1081.4,,1070.8,1092.1
All causes,2021,December,Unvaccinated,2820,623536,2098.2,,2013.5,2182.9
All causes,2021,December,"First dose, less than 21 days ago",19,26495,1474.5,u,781.8,2452.0
All causes,2021,December,"First dose, at least 21 days ago",870,207117,4244.2,,3931.6,4556.9
All causes,2021,December,"Second dose, less than 21 days ago",44,36165,1620.9,,1117.3,2251.6
All causes,2021,December,"Second dose, between 21 days and 6 months ago",1340,779974,2501.2,,2316.5,2686.0
All causes,2021,December,"Second dose, at least 6 months ago",12730,397806,4828.5,,4740.1,4916.9
All causes,2021,December,"Third dose or booster, less than 21 days ago",3546,661108,1042.1,,1004.7,1079.6
All causes,2021,December,"Third dose or booster, at least 21 days ago",24805,1163523,861.1,,845.5,876.7
All causes,2021,December,"Fourth dose or booster, less than 21 days ago",6,195,,,,
All causes,2021,December,"Fourth dose or booster, at least 21 days ago",9,203,,,,
All causes,2021,December,Ever vaccinated,43369,3272584,1136.9,,1126.2,1147.6
All causes,2022,January,Unvaccinated,2566,594245,2022.9,,1938.3,2107.5
All causes,2022,January,"First dose, less than 21 days ago",33,22061,3177.9,,1976.4,4736.8
All causes,2022,January,"First dose, at least 21 days ago",742,189141,3954.8,,3640.8,4268.8
All causes,2022,January,"Second dose, less than 21 days ago",44,38215,2233.5,,1514.6,3134.0
All causes,2022,January,"Second dose, between 21 days and 6 months ago",615,366383,2772.0,,2493.0,3051.1
All causes,2022,January,"Second dose, at least 6 months ago",7067,273989,5165.9,,4547.7,5784.2
All causes,2022,January,"Third dose or booster, less than 21 days ago",1171,295216,1811.2,,1697.3,1925.1
All causes,2022,January,"Third dose or booster, at least 21 days ago",32485,2117319,925.4,,915.0,935.7
All causes,2022,January,"Fourth dose or booster, less than 21 days ago",4,170,,,,
All causes,2022,January,"Fourth dose or booster, at least 21 days ago",17,508,1915.8,u,1105.8,3082.0
All causes,2022,January,Ever vaccinated,42178,3303001,1104.3,,1093.8,1114.9
All causes,2022,February,Unvaccinated,1787,522410,1549.1,,1471.1,1627.0
All causes,2022,February,"First dose, less than 21 days ago",14,11453,2496.7,u,1061.0,4643.6
All causes,2022,February,"First dose, at least 21 days ago",517,152027,2977.5,,2688.2,3266.7
All causes,2022,February,"Second dose, less than 21 days ago",11,31125,1408.8,u,666.6,2578.4
All causes,2022,February,"Second dose, between 21 days and 6 months ago",346,257393,2045.3,,1767.5,2323.1
All causes,2022,February,"Second dose, at least 6 months ago",3951,288650,3328.8,,3218.7,3439.0
All causes,2022,February,"Third dose or booster, less than 21 days ago",216,41867,2047.2,,1756.2,2338.3
All causes,2022,February,"Third dose or booster, at least 21 days ago",31075,2215777,948.9,,938.2,959.6
All causes,2022,February,"Fourth dose or booster, less than 21 days ago",2,93,,,,
All causes,2022,February,"Fourth dose or booster, at least 21 days ago",14,658,1429.8,u,779.5,2402.3
All causes,2022,February,Ever vaccinated,36146,2999043,1045.6,,1034.8,1056.4
All causes,2022,March,Unvaccinated,1852,573487,1472.5,,1399.9,1545.1
All causes,2022,March,"First dose, less than 21 days ago",13,5893,5219.5,u,2392.3,9513.2
All causes,2022,March,"First dose, at least 21 days ago",498,154431,2566.1,,2307.8,2824.4
All causes,2022,March,"Second dose, less than 21 days ago",12,20064,1253.8,u,540.3,2356.4
All causes,2022,March,"Second dose, between 21 days and 6 months ago",321,232387,2333.6,,2024.3,2642.9
All causes,2022,March,"Second dose, at least 6 months ago",3574,380312,2790.0,,2691.7,2888.3
All causes,2022,March,"Third dose or booster, less than 21 days ago",103,23962,1973.6,,1576.0,2371.3
All causes,2022,March,"Third dose or booster, at least 21 days ago",35069,2499874,974.6,,964.3,984.9
All causes,2022,March,"Fourth dose or booster, less than 21 days ago",92,8666,297.4,,170.7,445.3
All causes,2022,March,"Fourth dose or booster, at least 21 days ago",28,866,2516.0,,1668.4,3640.8
All causes,2022,March,Ever vaccinated,39710,3326454,1035.8,,1025.6,1046.0
All causes,2022,April,Unvaccinated,1682,553335,1387.2,,1315.3,1459.0
All causes,2022,April,"First dose, less than 21 days ago",6,3930,,,,
All causes,2022,April,"First dose, at least 21 days ago",484,135285,2723.9,,2448.9,2999.0
All causes,2022,April,"Second dose, less than 21 days ago",13,14228,2705.9,u,1298.6,4842.9
All causes,2022,April,"Second dose, between 21 days and 6 months ago",263,201954,2396.2,,2045.2,2747.2
All causes,2022,April,"Second dose, at least 6 months ago",2919,391903,2435.3,,2339.4,2531.2
All causes,2022,April,"Third dose or booster, less than 21 days ago",88,17070,1541.5,,1215.3,1923.9
All causes,2022,April,"Third dose or booster, at least 21 days ago",32496,2310727,1264.8,,1250.9,1278.8
All causes,2022,April,"Fourth dose or booster, less than 21 days ago",2269,112462,859.3,,543.7,1174.8
All causes,2022,April,"Fourth dose or booster, at least 21 days ago",872,34415,1103.9,,879.9,1328.0
All causes,2022,April,Ever vaccinated,39410,3221974,1059.6,,1049.1,1070.1
All causes,2022,May,Unvaccinated,1513,571709,1174.9,,1110.3,1239.4
All causes,2022,May,"First dose, less than 21 days ago",4,2812,,,,
All causes,2022,May,"First dose, at least 21 days ago",427,130012,2327.6,,2075.1,2580.2
All causes,2022,May,"Second dose, less than 21 days ago",12,10094,2753.8,u,1223.8,5118.1
All causes,2022,May,"Second dose, between 21 days and 6 months ago",181,194666,1946.5,,1594.2,2298.8
All causes,2022,May,"Second dose, at least 6 months ago",2427,415916,2005.0,,1916.8,2093.1
All causes,2022,May,"Third dose or booster, less than 21 days ago",113,15495,2246.7,,1765.1,2728.3
All causes,2022,May,"Third dose or booster, at least 21 days ago",24508,2264840,1556.9,,1519.3,1594.6
All causes,2022,May,"Fourth dose or booster, less than 21 days ago",2846,91444,1122.3,,941.0,1303.5
All causes,2022,May,"Fourth dose or booster, at least 21 days ago",6408,205295,1413.1,,1237.4,1588.9
All causes,2022,May,Ever vaccinated,36926,3330575,958.1,,948.3,967.9
All causes,2022,June,Unvaccinated,1436,555271,1126.2,,1062.1,1190.3
All causes,2022,June,"First dose, less than 21 days ago",3,1523,,,,
All causes,2022,June,"First dose, at least 21 days ago",343,119141,1957.7,,1721.2,2194.1
All causes,2022,June,"Second dose, less than 21 days ago",7,6689,,,,
All causes,2022,June,"Second dose, between 21 days and 6 months ago",126,163016,1706.0,,1322.3,2089.7
All causes,2022,June,"Second dose, at least 6 months ago",2111,425139,1807.9,,1721.2,1894.5
All causes,2022,June,"Third dose or booster, less than 21 days ago",71,10095,2556.1,,1905.7,3332.4
All causes,2022,June,"Third dose or booster, at least 21 days ago",18764,2150815,1659.4,,1632.2,1686.6
All causes,2022,June,"Fourth dose or booster, less than 21 days ago",1412,34589,985.1,,845.8,1124.4
All causes,2022,June,"Fourth dose or booster, at least 21 days ago",12534,311759,2388.5,,792.3,3984.7
All causes,2022,June,Ever vaccinated,35371,3222767,945.9,,936.0,955.7
All causes,2022,July,Unvaccinated,1704,576360,1342.4,,1273.1,1411.6
All causes,2022,July,"First dose, less than 21 days ago",2,1225,,,,
All causes,2022,July,"First dose, at least 21 days ago",404,115204,2245.6,,1994.7,2496.5
All causes,2022,July,"Second dose, less than 21 days ago",2,7197,,,,
All causes,2022,July,"Second dose, between 21 days and 6 months ago",98,128401,2174.9,,1682.5,2747.3
All causes,2022,July,"Second dose, at least 6 months ago",2141,475400,1757.4,,1673.1,1841.7
All causes,2022,July,"Third dose or booster, less than 21 days ago",36,9406,2088.0,,1395.2,2976.9
All causes,2022,July,"Third dose or booster, at least 21 days ago",17319,2204496,1719.3,,1688.7,1749.9
All causes,2022,July,"Fourth dose or booster, less than 21 days ago",703,19065,1172.5,,1005.8,1339.2
All causes,2022,July,"Fourth dose or booster, at least 21 days ago",17717,368781,2377.3,,1286.5,3468.1
All causes,2022,July,Ever vaccinated,38422,3329175,991.6,,981.6,1001.5
All causes,2022,August,Unvaccinated,1499,579459,1146.7,,1083.1,1210.4
All causes,2022,August,"First dose, less than 21 days ago",0,925,,,,
All causes,2022,August,"First dose, at least 21 days ago",356,110337,1926.3,,1696.1,2156.4
All causes,2022,August,"Second dose, less than 21 days ago",1,4026,,,,
All causes,2022,August,"Second dose, between 21 days and 6 months ago",70,88137,2196.0,,1622.5,2881.3
All causes,2022,August,"Second dose, at least 6 months ago",1902,514981,1554.2,,1474.7,1633.7
All causes,2022,August,"Third dose or booster, less than 21 days ago",5,6606,,,,
All causes,2022,August,"Third dose or booster, at least 21 days ago",14808,2205612,1464.3,,1435.4,1493.2
All causes,2022,August,"Fourth dose or booster, less than 21 days ago",168,5739,1066.3,,850.6,1282.0
All causes,2022,August,"Fourth dose or booster, at least 21 days ago",19208,391385,1827.0,,1724.2,1929.8
All causes,2022,August,Ever vaccinated,36518,3327749,940.1,,930.4,949.8
All causes,2022,September,Unvaccinated,1353,564391,1078.2,,1015.6,1140.8
All causes,2022,September,"First dose, less than 21 days ago",1,513,,,,
All causes,2022,September,"First dose, at least 21 days ago",332,105398,1882.7,,1649.1,2116.2
All causes,2022,September,"Second dose, less than 21 days ago",2,1609,,,,
All causes,2022,September,"Second dose, between 21 days and 6 months ago",41,61896,1969.7,,1362.6,2736.4
All causes,2022,September,"Second dose, at least 6 months ago",1861,521986,1560.2,,1479.3,1641.1
All causes,2022,September,"Third dose or booster, less than 21 days ago",4,2473,,,,
All causes,2022,September,"Third dose or booster, at least 21 days ago",13174,2089420,1410.8,,1378.3,1443.4
All causes,2022,September,"Fourth dose or booster, less than 21 days ago",393,50993,735.8,,654.2,817.5
All causes,2022,September,"Fourth dose or booster, at least 21 days ago",19642,384162,1913.1,,1805.0,2021.2
All causes,2022,September,Ever vaccinated,35450,3218450,940.0,,930.2,949.9
All causes,2022,October,Unvaccinated,1562,587227,1220.5,,1154.7,1286.4
All causes,2022,October,"First dose, less than 21 days ago",1,447,,,,
All causes,2022,October,"First dose, at least 21 days ago",380,107765,2217.7,,1966.4,2468.9
All causes,2022,October,"Second dose, less than 21 days ago",1,1344,,,,
All causes,2022,October,"Second dose, between 21 days and 6 months ago",40,45216,2731.9,,1860.3,3835.8
All causes,2022,October,"Second dose, at least 6 months ago",2005,559485,1662.9,,1580.5,1745.3
All causes,2022,October,"Third dose or booster, less than 21 days ago",6,389,,,,
All causes,2022,October,"Third dose or booster, at least 21 days ago",12128,1745502,1812.2,,1771.8,1852.6
All causes,2022,October,"Fourth dose or booster, less than 21 days ago",1523,325637,721.3,,675.7,766.9
All causes,2022,October,"Fourth dose or booster, at least 21 days ago",24856,537431,1265.3,,1217.2,1313.4
All causes,2022,October,Ever vaccinated,40940,3323217,1049.3,,1039.1,1059.5
All causes,2022,November,Unvaccinated,1481,572249,1194.1,,1127.8,1260.3
All causes,2022,November,"First dose, less than 21 days ago",2,370,,,,
All causes,2022,November,"First dose, at least 21 days ago",365,103454,2144.2,,1893.1,2395.3
All causes,2022,November,"Second dose, less than 21 days ago",0,993,,,,
All causes,2022,November,"Second dose, between 21 days and 6 months ago",27,31383,2397.8,,1452.8,3658.5
All causes,2022,November,"Second dose, at least 6 months ago",1948,555277,1600.4,,1519.0,1681.8
All causes,2022,November,"Third dose or booster, less than 21 days ago",1,125,,,,
All causes,2022,November,"Third dose or booster, at least 21 days ago",8669,1300249,2071.5,,2019.8,2123.1
All causes,2022,November,"Fourth dose or booster, less than 21 days ago",891,238310,721.9,,659.3,784.5
All causes,2022,November,"Fourth dose or booster, at least 21 days ago",26925,983274,963.0,,941.6,984.4
All causes,2022,November,Ever vaccinated,38828,3213434,1027.1,,1016.9,1037.4
All causes,2022,December,Unvaccinated,2048,595337,1651.8,,1574.7,1729.0
All causes,2022,December,"First dose, less than 21 days ago",2,216,,,,
All causes,2022,December,"First dose, at least 21 days ago",439,106474,2738.5,,2453.8,3023.2
All causes,2022,December,"Second dose, less than 21 days ago",2,609,,,,
All causes,2022,December,"Second dose, between 21 days and 6 months ago",26,23405,3237.1,,2006.3,4888.3
All causes,2022,December,"Second dose, at least 6 months ago",2604,583915,2187.7,,2093.1,2282.2
All causes,2022,December,"Third dose or booster, less than 21 days ago",1,53,,,,
All causes,2022,December,"Third dose or booster, at least 21 days ago",8550,1223951,2355.8,,2297.6,2414.1
All causes,2022,December,"Fourth dose or booster, less than 21 days ago",438,60636,1470.7,,1302.4,1639.0
All causes,2022,December,"Fourth dose or booster, at least 21 days ago",40466,1317976,1282.3,,1250.3,1314.2
All causes,2022,December,Ever vaccinated,52528,3317234,1344.7,,1333.1,1356.2
All causes,2023,January,Unvaccinated,1757,599498,1437.3,,1365.0,1509.5
All causes,2023,January,"First dose, less than 21 days ago",0,198,,,,
All causes,2023,January,"First dose, at least 21 days ago",395,106121,2383.0,,2119.7,2646.4
All causes,2023,January,"Second dose, less than 21 days ago",2,440,,,,
All causes,2023,January,"Second dose, between 21 days and 6 months ago",15,13758,2088.3,u,960.1,3752.2
All causes,2023,January,"Second dose, at least 6 months ago",2187,594117,1851.8,,1764.5,1939.1
All causes,2023,January,"Third dose or booster, less than 21 days ago",1,28,,,,
All causes,2023,January,"Third dose or booster, at least 21 days ago",6677,1198699,1902.0,,1850.1,1953.8
All causes,2023,January,"Fourth dose or booster, less than 21 days ago",90,13228,1709.4,,1311.4,2175.0
All causes,2023,January,"Fourth dose or booster, at least 21 days ago",37907,1386461,1159.7,,1145.3,1174.0
All causes,2023,January,Ever vaccinated,47274,3313048,1212.0,,1201.0,1222.9
All causes,2023,February,Unvaccinated,1384,545170,1260.0,,1188.9,1331.2
All causes,2023,February,"First dose, less than 21 days ago",0,183,,,,
All causes,2023,February,"First dose, at least 21 days ago",282,95517,2020.4,,1761.6,2279.3
All causes,2023,February,"Second dose, less than 21 days ago",0,427,,,,
All causes,2023,February,"Second dose, between 21 days and 6 months ago",7,7247,,,,
All causes,2023,February,"Second dose, at least 6 months ago",1671,542182,1542.7,,1459.4,1625.9
All causes,2023,February,"Third dose or booster, less than 21 days ago",0,38,,,,
All causes,2023,February,"Third dose or booster, at least 21 days ago",4993,1072016,1586.7,,1533.6,1639.8
All causes,2023,February,"Fourth dose or booster, less than 21 days ago",51,6464,1702.4,,1195.6,2327.1
All causes,2023,February,"Fourth dose or booster, at least 21 days ago",29727,1265514,1015.9,,999.5,1032.4
All causes,2023,February,Ever vaccinated,36731,2989587,1040.2,,1029.6,1050.9
All causes,2023,March,Unvaccinated,1433,607307,1168.9,,1103.7,1234.1
All causes,2023,March,"First dose, less than 21 days ago",1,143,,,,
All causes,2023,March,"First dose, at least 21 days ago",326,105554,1958.5,,1721.5,2195.4
All causes,2023,March,"Second dose, less than 21 days ago",0,309,,,,
All causes,2023,March,"Second dose, between 21 days and 6 months ago",6,6008,,,,
All causes,2023,March,"Second dose, at least 6 months ago",1856,602758,1510.2,,1432.4,1588.0
All causes,2023,March,"Third dose or booster, less than 21 days ago",0,8,,,,
All causes,2023,March,"Third dose or booster, at least 21 days ago",5130,1185013,1483.9,,1434.9,1532.8
All causes,2023,March,"Fourth dose or booster, less than 21 days ago",1,261,,,,
All causes,2023,March,"Fourth dose or booster, at least 21 days ago",33217,1406812,1035.2,,1005.6,1064.8
All causes,2023,March,Ever vaccinated,40537,3306865,1036.1,,1025.9,1046.2
All causes,2023,April,Unvaccinated,1319,591804,1106.6,,1042.4,1170.9
All causes,2023,April,"First dose, less than 21 days ago",0,43,,,,
All causes,2023,April,"First dose, at least 21 days ago",290,102138,1763.8,,1534.9,1992.7
All causes,2023,April,"Second dose, less than 21 days ago",0,94,,,,
All causes,2023,April,"Second dose, between 21 days and 6 months ago",5,4320,,,,
All causes,2023,April,"Second dose, at least 6 months ago",1642,585055,1420.2,,1343.2,1497.3
All causes,2023,April,"Third dose or booster, less than 21 days ago",1,3,,,,
All causes,2023,April,"Third dose or booster, at least 21 days ago",4574,1146399,1354.6,,1309.8,1399.5
All causes,2023,April,"Fourth dose or booster, less than 21 days ago",3,0,,,,
All causes,2023,April,"Fourth dose or booster, at least 21 days ago",29469,1359114,947.4,,915.8,978.9
All causes,2023,April,Ever vaccinated,35984,3197167,947.4,,937.6,957.2
All causes,2023,May,Unvaccinated,1165,615599,947.7,,889.2,1006.2
All causes,2023,May,"First dose, less than 21 days ago",1,1,,,,
All causes,2023,May,"First dose, at least 21 days ago",237,105559,1529.2,,1314.3,1744.1
All causes,2023,May,"Second dose, less than 21 days ago",0,4,,,,
All causes,2023,May,"Second dose, between 21 days and 6 months ago",3,2975,,,,
All causes,2023,May,"Second dose, at least 6 months ago",1587,606014,1298.0,,1225.9,1370.1
All causes,2023,May,"Third dose or booster, less than 21 days ago",0,1,,,,
All causes,2023,May,"Third dose or booster, at least 21 days ago",4103,1184243,1145.4,,1105.1,1185.7
All causes,2023,May,"Fourth dose or booster, less than 21 days ago",3,0,,,,
All causes,2023,May,"Fourth dose or booster, at least 21 days ago",28046,1401959,852.2,,839.2,865.3
All causes,2023,May,Ever vaccinated,33980,3300755,863.2,,854.0,872.5
Deaths involving COVID-19,2021,April,Unvaccinated,231,1629172,131.8,,112.7,150.9
Deaths involving COVID-19,2021,April,"First dose, less than 21 days ago",16,226280,108.6,u,55.2,186.3
Deaths involving COVID-19,2021,April,"First dose, at least 21 days ago",390,1274516,42.7,,38.1,47.3
Deaths involving COVID-19,2021,April,"Second dose, less than 21 days ago",43,404373,3.0,,2.1,4.1
Deaths involving COVID-19,2021,April,"Second dose, between 21 days and 6 months ago",58,219349,6.9,,4.2,10.2
Deaths involving COVID-19,2021,April,"Second dose, at least 6 months ago",0,0,,,,
Deaths involving COVID-19,2021,April,"Third dose or booster, less than 21 days ago",0,2,,,,
Deaths involving COVID-19,2021,April,"Third dose or booster, at least 21 days ago",0,2,,,,
Deaths involving COVID-19,2021,April,"Fourth dose or booster, less than 21 days ago",0,0,,,,
Deaths involving COVID-19,2021,April,"Fourth dose or booster, at least 21 days ago",0,0,,,,
Deaths involving COVID-19,2021,April,Ever vaccinated,507,2124523,14.1,,12.9,15.4
Deaths involving COVID-19,2021,May,Unvaccinated,84,1441734,49.3,,38.2,62.5
Deaths involving COVID-19,2021,May,"First dose, less than 21 days ago",4,186679,,,,
Deaths involving COVID-19,2021,May,"First dose, at least 21 days ago",105,846621,66.5,,51.1,81.9
Deaths involving COVID-19,2021,May,"Second dose, less than 21 days ago",26,527045,7.4,,4.5,11.3
Deaths involving COVID-19,2021,May,"Second dose, between 21 days and 6 months ago",70,879326,2.5,,1.8,3.2
Deaths involving COVID-19,2021,May,"Second dose, at least 6 months ago",0,0,,,,
Deaths involving COVID-19,2021,May,"Third dose or booster, less than 21 days ago",0,3,,,,
Deaths involving COVID-19,2021,May,"Third dose or booster, at least 21 days ago",0,5,,,,
Deaths involving COVID-19,2021,May,"Fourth dose or booster, less than 21 days ago",0,0,,,,
Deaths involving COVID-19,2021,May,"Fourth dose or booster, at least 21 days ago",0,0,,,,
Deaths involving COVID-19,2021,May,Ever vaccinated,205,2439679,5.5,,4.7,6.3
Deaths involving COVID-19,2021,June,Unvaccinated,100,1082160,55.0,,42.5,67.6
Deaths involving COVID-19,2021,June,"First dose, less than 21 days ago",1,220318,,,,
Deaths involving COVID-19,2021,June,"First dose, at least 21 days ago",48,462819,90.4,,63.9,123.3
Deaths involving COVID-19,2021,June,"Second dose, less than 21 days ago",8,407615,,,,
Deaths involving COVID-19,2021,June,"Second dose, between 21 days and 6 months ago",174,1585793,5.7,,4.7,6.6
Deaths involving COVID-19,2021,June,"Second dose, at least 6 months ago",0,26,,,,
Deaths involving COVID-19,2021,June,"Third dose or booster, less than 21 days ago",0,47,,,,
Deaths involving COVID-19,2021,June,"Third dose or booster, at least 21 days ago",0,12,,,,
Deaths involving COVID-19,2021,June,"Fourth dose or booster, less than 21 days ago",0,0,,,,
Deaths involving COVID-19,2021,June,"Fourth dose or booster, at least 21 days ago",0,0,,,,
Deaths involving COVID-19,2021,June,Ever vaccinated,231,2676630,6.4,,5.6,7.2
Deaths involving COVID-19,2021,July,Unvaccinated,387,899033,240.1,,213.0,267.2
Deaths involving COVID-19,2021,July,"First dose, less than 21 days ago",5,128197,,,,
Deaths involving COVID-19,2021,July,"First dose, at least 21 days ago",76,464725,189.5,,143.4,244.2
Deaths involving COVID-19,2021,July,"Second dose, less than 21 days ago",5,214571,,,,
Deaths involving COVID-19,2021,July,"Second dose, between 21 days and 6 months ago",771,2151653,23.0,,21.3,24.7
Deaths involving COVID-19,2021,July,"Second dose, at least 6 months ago",57,28217,15.3,,11.5,19.9
Deaths involving COVID-19,2021,July,"Third dose or booster, less than 21 days ago",0,44,,,,
