date,cause,code,dead
2018-03,"Ulcer of lower limb, not elsewhere classified",L97,91
2018-03,"Chronic ulcer of skin, not elsewhere classified",L98.4,156
2018-03,Other specified disorders of skin and subcutaneous tissue,L98.8,26
2018-03,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,39
2018-04,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,21
2018-04,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,31
2018-04,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,45
2018-04,Cellulitis of other parts of limb,L03.1,195
2018-04,Cellulitis of trunk,L03.3,20
2018-04,"Cellulitis, unspecified",L03.9,282
2018-04,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,199
2018-04,Bullous pemphigoid,L12.0,29
2018-04,Arthropathic psoriasis,L40.5,16
2018-04,"Psoriasis, unspecified",L40.9,16
2018-04,Bullous erythema multiforme,L51.1,12
2018-04,"Erythematous condition, unspecified",L53.9,15
2018-04,Pyoderma gangrenosum,L88,13
2018-04,Stage II decubitus ulcer,L89.1,14
2018-04,Stage III decubitus ulcer,L89.2,19
2018-04,Stage IV decubitus ulcer,L89.3,105
2018-04,"Decubitus ulcer and pressure area, unspecified",L89.9,698
2018-04,Discoid lupus erythematosus,L93.0,99
2018-04,"Ulcer of lower limb, not elsewhere classified",L97,84
2018-04,"Chronic ulcer of skin, not elsewhere classified",L98.4,166
2018-04,Other specified disorders of skin and subcutaneous tissue,L98.8,29
2018-04,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,36
2018-05,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,18
2018-05,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,13
2018-05,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,15
2018-05,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,36
2018-05,Cellulitis of other parts of limb,L03.1,227
2018-05,Cellulitis of trunk,L03.3,24
2018-05,"Cellulitis, unspecified",L03.9,276
2018-05,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,158
2018-05,Bullous pemphigoid,L12.0,30
2018-05,Arthropathic psoriasis,L40.5,14
2018-05,"Psoriasis, unspecified",L40.9,21
2018-05,Bullous erythema multiforme,L51.1,18
2018-05,Pyoderma gangrenosum,L88,13
2018-05,Stage III decubitus ulcer,L89.2,23
2018-05,Stage IV decubitus ulcer,L89.3,116
2018-05,"Decubitus ulcer and pressure area, unspecified",L89.9,660
2018-05,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,15
2018-05,Discoid lupus erythematosus,L93.0,79
2018-05,"Ulcer of lower limb, not elsewhere classified",L97,70
2018-05,"Chronic ulcer of skin, not elsewhere classified",L98.4,166
2018-05,Other specified disorders of skin and subcutaneous tissue,L98.8,10
2018-05,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,24
2018-06,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,18
2018-06,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,11
2018-06,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,23
2018-06,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,40
2018-06,Cellulitis of other parts of limb,L03.1,207
2018-06,Cellulitis of trunk,L03.3,24
2018-06,"Cellulitis, unspecified",L03.9,250
2018-06,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,160
2018-06,Bullous pemphigoid,L12.0,27
2018-06,Arthropathic psoriasis,L40.5,17
2018-06,"Psoriasis, unspecified",L40.9,21
2018-06,Bullous erythema multiforme,L51.1,12
2018-06,"Erythematous condition, unspecified",L53.9,13
2018-06,Pyoderma gangrenosum,L88,11
2018-06,Stage II decubitus ulcer,L89.1,15
2018-06,Stage III decubitus ulcer,L89.2,24
2018-06,Stage IV decubitus ulcer,L89.3,112
2018-06,"Decubitus ulcer and pressure area, unspecified",L89.9,588
2018-06,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,11
2018-06,Discoid lupus erythematosus,L93.0,107
2018-06,"Ulcer of lower limb, not elsewhere classified",L97,90
2018-06,"Chronic ulcer of skin, not elsewhere classified",L98.4,157
2018-06,Other specified disorders of skin and subcutaneous tissue,L98.8,21
2018-06,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,23
2018-07,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,24
2018-07,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,23
2018-07,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,34
2018-07,Cellulitis of other parts of limb,L03.1,213
2018-07,Cellulitis of trunk,L03.3,23
2018-07,"Cellulitis, unspecified",L03.9,235
2018-07,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,175
2018-07,Bullous pemphigoid,L12.0,24
2018-07,Arthropathic psoriasis,L40.5,17
2018-07,"Psoriasis, unspecified",L40.9,28
2018-07,"Erythematous condition, unspecified",L53.9,11
2018-07,Stage II decubitus ulcer,L89.1,10
2018-07,Stage III decubitus ulcer,L89.2,13
2018-07,Stage IV decubitus ulcer,L89.3,110
2018-07,"Decubitus ulcer and pressure area, unspecified",L89.9,665
2018-07,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,11
2018-07,Discoid lupus erythematosus,L93.0,99
2018-07,"Ulcer of lower limb, not elsewhere classified",L97,101
2018-07,"Chronic ulcer of skin, not elsewhere classified",L98.4,195
2018-07,Other specified disorders of skin and subcutaneous tissue,L98.8,24
2018-07,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,17
2018-08,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,17
2018-08,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,23
2018-08,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,35
2018-08,Cellulitis of other parts of limb,L03.1,207
2018-08,Cellulitis of trunk,L03.3,14
2018-08,"Cellulitis, unspecified",L03.9,274
2018-08,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,212
2018-08,Bullous pemphigoid,L12.0,34
2018-08,Arthropathic psoriasis,L40.5,17
2018-08,"Psoriasis, unspecified",L40.9,23
2018-08,Toxic epidermal necrolysis [Lyell],L51.2,10
2018-08,Stage II decubitus ulcer,L89.1,13
2018-08,Stage III decubitus ulcer,L89.2,13
2018-08,Stage IV decubitus ulcer,L89.3,108
2018-08,"Decubitus ulcer and pressure area, unspecified",L89.9,676
2018-08,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,11
2018-08,Discoid lupus erythematosus,L93.0,92
2018-08,"Ulcer of lower limb, not elsewhere classified",L97,90
2018-08,"Chronic ulcer of skin, not elsewhere classified",L98.4,169
2018-08,Other specified disorders of skin and subcutaneous tissue,L98.8,26
2018-08,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,31
2018-09,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,31
2018-09,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,12
2018-09,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,19
2018-09,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,32
2018-09,Cellulitis of other parts of limb,L03.1,177
2018-09,Cellulitis of trunk,L03.3,23
2018-09,"Cellulitis, unspecified",L03.9,281
2018-09,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,160
2018-09,Bullous pemphigoid,L12.0,34
2018-09,Arthropathic psoriasis,L40.5,11
2018-09,"Psoriasis, unspecified",L40.9,25
2018-09,"Erythematous condition, unspecified",L53.9,12
2018-09,Pyoderma gangrenosum,L88,10
2018-09,Stage II decubitus ulcer,L89.1,15
2018-09,Stage III decubitus ulcer,L89.2,19
2018-09,Stage IV decubitus ulcer,L89.3,106
2018-09,"Decubitus ulcer and pressure area, unspecified",L89.9,621
2018-09,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,11
2018-09,Discoid lupus erythematosus,L93.0,90
2018-09,"Ulcer of lower limb, not elsewhere classified",L97,88
2018-09,"Chronic ulcer of skin, not elsewhere classified",L98.4,178
2018-09,Other specified disorders of skin and subcutaneous tissue,L98.8,35
2018-09,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,19
2018-10,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,25
2018-10,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,13
2018-10,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,20
2018-10,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,34
2018-10,Cellulitis of other parts of limb,L03.1,245
2018-10,Cellulitis of trunk,L03.3,17
2018-10,"Cellulitis, unspecified",L03.9,272
2018-10,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,206
2018-10,Bullous pemphigoid,L12.0,29
2018-10,"Psoriasis, unspecified",L40.9,32
2018-10,"Erythematous condition, unspecified",L53.9,13
2018-10,Pyoderma gangrenosum,L88,13
2018-10,Stage III decubitus ulcer,L89.2,18
2018-10,Stage IV decubitus ulcer,L89.3,92
2018-10,"Decubitus ulcer and pressure area, unspecified",L89.9,611
2018-10,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,16
2018-10,Discoid lupus erythematosus,L93.0,110
2018-10,"Ulcer of lower limb, not elsewhere classified",L97,106
2018-10,"Chronic ulcer of skin, not elsewhere classified",L98.4,167
2018-10,Other specified disorders of skin and subcutaneous tissue,L98.8,25
2018-10,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,26
2018-11,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,15
2018-11,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,25
2018-11,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,37
2018-11,Cellulitis of other parts of limb,L03.1,198
2018-11,Cellulitis of trunk,L03.3,21
2018-11,"Cellulitis, unspecified",L03.9,255
2018-11,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,182
2018-11,Bullous pemphigoid,L12.0,37
2018-11,Arthropathic psoriasis,L40.5,28
2018-11,"Psoriasis, unspecified",L40.9,28
2018-11,Bullous erythema multiforme,L51.1,13
2018-11,Stage II decubitus ulcer,L89.1,12
2018-11,Stage III decubitus ulcer,L89.2,15
2018-11,Stage IV decubitus ulcer,L89.3,122
2018-11,"Decubitus ulcer and pressure area, unspecified",L89.9,680
2018-11,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,12
2018-11,Discoid lupus erythematosus,L93.0,112
2018-11,"Ulcer of lower limb, not elsewhere classified",L97,98
2018-11,"Chronic ulcer of skin, not elsewhere classified",L98.4,202
2018-11,Other specified disorders of skin and subcutaneous tissue,L98.8,29
2018-11,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,21
2018-12,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,30
2018-12,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,32
2018-12,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,40
2018-12,Cellulitis of other parts of limb,L03.1,242
2018-12,Cellulitis of face,L03.2,10
2018-12,Cellulitis of trunk,L03.3,28
2018-12,"Cellulitis, unspecified",L03.9,307
2018-12,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,179
2018-12,Bullous pemphigoid,L12.0,36
2018-12,"Dermatitis, unspecified",L30.9,10
2018-12,Arthropathic psoriasis,L40.5,15
2018-12,"Psoriasis, unspecified",L40.9,29
2018-12,Bullous erythema multiforme,L51.1,12
2018-12,"Erythematous condition, unspecified",L53.9,10
2018-12,Stage III decubitus ulcer,L89.2,22
2018-12,Stage IV decubitus ulcer,L89.3,127
2018-12,"Decubitus ulcer and pressure area, unspecified",L89.9,659
2018-12,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,16
2018-12,Discoid lupus erythematosus,L93.0,103
2018-12,"Ulcer of lower limb, not elsewhere classified",L97,95
2018-12,"Chronic ulcer of skin, not elsewhere classified",L98.4,213
2018-12,Other specified disorders of skin and subcutaneous tissue,L98.8,41
2018-12,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,29
2019-01,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,18
2019-01,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,30
2019-01,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,34
2019-01,Cellulitis of other parts of limb,L03.1,277
2019-01,Cellulitis of face,L03.2,10
2019-01,Cellulitis of trunk,L03.3,25
2019-01,"Cellulitis, unspecified",L03.9,332
2019-01,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,192
2019-01,Bullous pemphigoid,L12.0,51
2019-01,Arthropathic psoriasis,L40.5,17
2019-01,"Psoriasis, unspecified",L40.9,23
2019-01,Toxic epidermal necrolysis [Lyell],L51.2,12
2019-01,"Erythematous condition, unspecified",L53.9,18
2019-01,Stage III decubitus ulcer,L89.2,21
2019-01,Stage IV decubitus ulcer,L89.3,132
2019-01,"Decubitus ulcer and pressure area, unspecified",L89.9,715
2019-01,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,21
2019-01,Discoid lupus erythematosus,L93.0,105
2019-01,"Ulcer of lower limb, not elsewhere classified",L97,90
2019-01,"Chronic ulcer of skin, not elsewhere classified",L98.4,184
2019-01,Other specified disorders of skin and subcutaneous tissue,L98.8,38
2019-01,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,28
2019-02,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,28
2019-02,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,12
2019-02,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,34
2019-02,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,33
2019-02,Cellulitis of other parts of limb,L03.1,204
2019-02,Cellulitis of face,L03.2,11
2019-02,Cellulitis of trunk,L03.3,17
2019-02,"Cellulitis, unspecified",L03.9,284
2019-02,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,209
2019-02,Bullous pemphigoid,L12.0,28
2019-02,"Dermatitis, unspecified",L30.9,11
2019-02,Arthropathic psoriasis,L40.5,17
2019-02,"Psoriasis, unspecified",L40.9,37
2019-02,Bullous erythema multiforme,L51.1,11
2019-02,"Erythematous condition, unspecified",L53.9,12
2019-02,Stage II decubitus ulcer,L89.1,13
2019-02,Stage III decubitus ulcer,L89.2,20
2019-02,Stage IV decubitus ulcer,L89.3,107
2019-02,"Decubitus ulcer and pressure area, unspecified",L89.9,646
2019-02,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,13
2019-02,Discoid lupus erythematosus,L93.0,104
2019-02,"Ulcer of lower limb, not elsewhere classified",L97,109
2019-02,"Chronic ulcer of skin, not elsewhere classified",L98.4,200
2019-02,Other specified disorders of skin and subcutaneous tissue,L98.8,41
2019-02,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,32
2019-03,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,32
2019-03,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,11
2019-03,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,22
2019-03,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,30
2019-03,Cellulitis of other parts of limb,L03.1,248
2019-03,Cellulitis of trunk,L03.3,22
2019-03,"Cellulitis, unspecified",L03.9,298
2019-03,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,199
2019-03,Bullous pemphigoid,L12.0,30
2019-03,"Dermatitis, unspecified",L30.9,13
2019-03,Arthropathic psoriasis,L40.5,25
2019-03,"Psoriasis, unspecified",L40.9,34
2019-03,Bullous erythema multiforme,L51.1,13
2019-03,"Erythematous condition, unspecified",L53.9,18
2019-03,Pyoderma gangrenosum,L88,15
2019-03,Stage II decubitus ulcer,L89.1,11
2019-03,Stage III decubitus ulcer,L89.2,22
2019-03,Stage IV decubitus ulcer,L89.3,128
2019-03,"Decubitus ulcer and pressure area, unspecified",L89.9,703
2019-03,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,11
2019-03,Discoid lupus erythematosus,L93.0,111
2019-03,"Ulcer of lower limb, not elsewhere classified",L97,106
2019-03,"Chronic ulcer of skin, not elsewhere classified",L98.4,188
2019-03,Other specified disorders of skin and subcutaneous tissue,L98.8,30
2019-03,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,35
2019-04,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,26
2019-04,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,10
2019-04,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,25
2019-04,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,34
2019-04,Cellulitis of other parts of limb,L03.1,208
2019-04,Cellulitis of trunk,L03.3,30
2019-04,"Cellulitis, unspecified",L03.9,267
2019-04,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,194
2019-04,Bullous pemphigoid,L12.0,30
2019-04,"Dermatitis, unspecified",L30.9,12
2019-04,Arthropathic psoriasis,L40.5,22
2019-04,"Psoriasis, unspecified",L40.9,28
2019-04,Bullous erythema multiforme,L51.1,11
2019-04,"Erythematous condition, unspecified",L53.9,14
2019-04,Stage IV decubitus ulcer,L89.3,121
2019-04,"Decubitus ulcer and pressure area, unspecified",L89.9,624
2019-04,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,13
2019-04,Discoid lupus erythematosus,L93.0,106
2019-04,"Ulcer of lower limb, not elsewhere classified",L97,85
2019-04,"Chronic ulcer of skin, not elsewhere classified",L98.4,192
2019-04,Other specified disorders of skin and subcutaneous tissue,L98.8,26
2019-04,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,29
2019-05,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,20
2019-05,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,34
2019-05,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,50
2019-05,Cellulitis of other parts of limb,L03.1,215
2019-05,Cellulitis of trunk,L03.3,25
2019-05,"Cellulitis, unspecified",L03.9,275
2019-05,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,214
2019-05,Bullous pemphigoid,L12.0,29
2019-05,Arthropathic psoriasis,L40.5,22
2019-05,"Psoriasis, unspecified",L40.9,28
2019-05,Toxic epidermal necrolysis [Lyell],L51.2,10
2019-05,"Erythematous condition, unspecified",L53.9,14
2019-05,Stage III decubitus ulcer,L89.2,17
2019-05,Stage IV decubitus ulcer,L89.3,108
2019-05,"Decubitus ulcer and pressure area, unspecified",L89.9,683
2019-05,Scar conditions and fibrosis of skin,L90.5,13
2019-05,Discoid lupus erythematosus,L93.0,125
2019-05,"Ulcer of lower limb, not elsewhere classified",L97,89
2019-05,"Chronic ulcer of skin, not elsewhere classified",L98.4,203
2019-05,Other specified disorders of skin and subcutaneous tissue,L98.8,33
2019-05,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,23
2019-06,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,25
2019-06,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,30
2019-06,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,34
2019-06,Cellulitis of other parts of limb,L03.1,218
2019-06,Cellulitis of trunk,L03.3,22
2019-06,"Cellulitis, unspecified",L03.9,236
2019-06,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,183
2019-06,Bullous pemphigoid,L12.0,30
2019-06,Arthropathic psoriasis,L40.5,17
2019-06,"Psoriasis, unspecified",L40.9,29
2019-06,Bullous erythema multiforme,L51.1,15
2019-06,Toxic epidermal necrolysis [Lyell],L51.2,11
2019-06,"Erythematous condition, unspecified",L53.9,12
2019-06,Stage III decubitus ulcer,L89.2,19
2019-06,Stage IV decubitus ulcer,L89.3,121
2019-06,"Decubitus ulcer and pressure area, unspecified",L89.9,629
2019-06,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,12
2019-06,Discoid lupus erythematosus,L93.0,96
2019-06,"Ulcer of lower limb, not elsewhere classified",L97,85
2019-06,"Chronic ulcer of skin, not elsewhere classified",L98.4,158
2019-06,Other specified disorders of skin and subcutaneous tissue,L98.8,33
2019-06,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,28
2019-07,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,19
2019-07,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,31
2019-07,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,35
2019-07,Cellulitis of other parts of limb,L03.1,215
2019-07,Cellulitis of trunk,L03.3,22
2019-07,"Cellulitis, unspecified",L03.9,289
2019-07,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,191
2019-07,Bullous pemphigoid,L12.0,22
2019-07,Arthropathic psoriasis,L40.5,19
2019-07,"Psoriasis, unspecified",L40.9,23
2019-07,Bullous erythema multiforme,L51.1,18
2019-07,Toxic epidermal necrolysis [Lyell],L51.2,11
2019-07,"Erythematous condition, unspecified",L53.9,22
2019-07,Stage II decubitus ulcer,L89.1,10
2019-07,Stage III decubitus ulcer,L89.2,28
2019-07,Stage IV decubitus ulcer,L89.3,108
2019-07,"Decubitus ulcer and pressure area, unspecified",L89.9,657
2019-07,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,10
2019-07,Discoid lupus erythematosus,L93.0,96
2019-07,"Ulcer of lower limb, not elsewhere classified",L97,96
2019-07,"Chronic ulcer of skin, not elsewhere classified",L98.4,180
2019-07,Other specified disorders of skin and subcutaneous tissue,L98.8,32
2019-07,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,30
2019-08,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,21
2019-08,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,33
2019-08,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,42
2019-08,Cellulitis of other parts of limb,L03.1,229
2019-08,Cellulitis of trunk,L03.3,17
2019-08,"Cellulitis, unspecified",L03.9,243
2019-08,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,192
2019-08,Bullous pemphigoid,L12.0,31
2019-08,"Dermatitis, unspecified",L30.9,15
2019-08,Arthropathic psoriasis,L40.5,21
2019-08,"Psoriasis, unspecified",L40.9,12
2019-08,Bullous erythema multiforme,L51.1,16
2019-08,Stage III decubitus ulcer,L89.2,19
2019-08,Stage IV decubitus ulcer,L89.3,96
2019-08,"Decubitus ulcer and pressure area, unspecified",L89.9,624
2019-08,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,11
2019-08,Discoid lupus erythematosus,L93.0,97
2019-08,"Ulcer of lower limb, not elsewhere classified",L97,95
2019-08,"Chronic ulcer of skin, not elsewhere classified",L98.4,179
2019-08,Other specified disorders of skin and subcutaneous tissue,L98.8,27
2019-08,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,35
2019-09,"Cutaneous abscess, furuncle and carbuncle of neck",L02.1,12
2019-09,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,27
2019-09,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,18
2019-09,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,40
2019-09,Cellulitis of other parts of limb,L03.1,201
2019-09,Cellulitis of trunk,L03.3,18
2019-09,"Cellulitis, unspecified",L03.9,278
2019-09,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,167
2019-09,Bullous pemphigoid,L12.0,32
2019-09,Arthropathic psoriasis,L40.5,15
2019-09,"Psoriasis, unspecified",L40.9,23
2019-09,Bullous erythema multiforme,L51.1,10
2019-09,"Erythematous condition, unspecified",L53.9,11
2019-09,Stage II decubitus ulcer,L89.1,14
2019-09,Stage III decubitus ulcer,L89.2,18
2019-09,Stage IV decubitus ulcer,L89.3,106
2019-09,"Decubitus ulcer and pressure area, unspecified",L89.9,620
2019-09,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,14
2019-09,Discoid lupus erythematosus,L93.0,85
