cause,type,date,dead
X44 drug deaths not included,MCD COVID subtracted,2018-07,5522
X44 drug deaths not included,MCD COVID subtracted,2018-08,5403
X44 drug deaths not included,MCD COVID subtracted,2018-09,5360
X44 drug deaths not included,MCD COVID subtracted,2018-10,5551
X44 drug deaths not included,MCD COVID subtracted,2018-11,5549
X44 drug deaths not included,MCD COVID subtracted,2018-12,5907
X44 drug deaths not included,MCD COVID subtracted,2019-01,5835
X44 drug deaths not included,MCD COVID subtracted,2019-02,5237
X44 drug deaths not included,MCD COVID subtracted,2019-03,5852
X44 drug deaths not included,MCD COVID subtracted,2019-04,5417
X44 drug deaths not included,MCD COVID subtracted,2019-05,5392
X44 drug deaths not included,MCD COVID subtracted,2019-06,5229
X44 drug deaths not included,MCD COVID subtracted,2019-07,5403
X44 drug deaths not included,MCD COVID subtracted,2019-08,5330
X44 drug deaths not included,MCD COVID subtracted,2019-09,5010
X44 drug deaths not included,MCD COVID subtracted,2019-10,5354
X44 drug deaths not included,MCD COVID subtracted,2019-11,5473
X44 drug deaths not included,MCD COVID subtracted,2019-12,6075
X44 drug deaths not included,MCD COVID subtracted,2020-01,5952
X44 drug deaths not included,MCD COVID subtracted,2020-02,5465
X44 drug deaths not included,MCD COVID subtracted,2020-03,5854
X44 drug deaths not included,MCD COVID subtracted,2020-04,6069
X44 drug deaths not included,MCD COVID subtracted,2020-05,6086
X44 drug deaths not included,MCD COVID subtracted,2020-06,6119
X44 drug deaths not included,MCD COVID subtracted,2020-07,6551
X44 drug deaths not included,MCD COVID subtracted,2020-08,6329
X44 drug deaths not included,MCD COVID subtracted,2020-09,5901
X44 drug deaths not included,MCD COVID subtracted,2020-10,6205
X44 drug deaths not included,MCD COVID subtracted,2020-11,6138
X44 drug deaths not included,MCD COVID subtracted,2020-12,6765
X44 drug deaths not included,MCD COVID subtracted,2021-01,6634
X44 drug deaths not included,MCD COVID subtracted,2021-02,5828
X44 drug deaths not included,MCD COVID subtracted,2021-03,6258
X44 drug deaths not included,MCD COVID subtracted,2021-04,6149
X44 drug deaths not included,MCD COVID subtracted,2021-05,6153
X44 drug deaths not included,MCD COVID subtracted,2021-06,6300
X44 drug deaths not included,MCD COVID subtracted,2021-07,6417
X44 drug deaths not included,MCD COVID subtracted,2021-08,6727
X44 drug deaths not included,MCD COVID subtracted,2021-09,6537
X44 drug deaths not included,MCD COVID subtracted,2021-10,6690
X44 drug deaths not included,MCD COVID subtracted,2021-11,6472
X44 drug deaths not included,MCD COVID subtracted,2021-12,7160
X44 drug deaths not included,MCD COVID subtracted,2022-01,6662
X44 drug deaths not included,MCD COVID subtracted,2022-02,5699
X44 drug deaths not included,MCD COVID subtracted,2022-03,6059
X44 drug deaths not included,MCD COVID subtracted,2022-04,5797
X44 drug deaths not included,MCD COVID subtracted,2022-05,5739
X44 drug deaths not included,MCD COVID subtracted,2022-06,6034
X44 drug deaths not included,MCD COVID subtracted,2022-07,6385
X44 drug deaths not included,MCD COVID subtracted,2022-08,5915
X44 drug deaths not included,MCD COVID subtracted,2022-09,6000
X44 drug deaths not included,MCD COVID subtracted,2022-10,6126
X44 drug deaths not included,MCD COVID subtracted,2022-11,6311
X44 drug deaths not included,MCD COVID subtracted,2022-12,7075
X44 drug deaths not included,MCD COVID subtracted,2023-01,6253
X44 drug deaths not included,MCD COVID subtracted,2023-02,5419
X44 drug deaths not included,MCD COVID subtracted,2023-03,5912
X44 drug deaths not included,MCD COVID subtracted,2023-04,5658
X44 drug deaths not included,MCD COVID subtracted,2023-05,5757
X44 drug deaths not included,MCD COVID subtracted,2023-06,5443
X44 drug deaths not included,MCD COVID subtracted,2023-07,6112
X44 drug deaths not included,MCD COVID subtracted,2023-08,5917
X44 drug deaths not included,MCD COVID subtracted,2023-09,5498
X44 drug deaths not included,MCD COVID subtracted,2023-10,5628
X44 drug deaths not included,MCD COVID subtracted,2023-11,5691
X44 drug deaths not included,MCD COVID subtracted,2023-12,6265
X44 drug deaths not included,MCD COVID subtracted,2024-01,6411
X44 drug deaths not included,MCD COVID subtracted,2024-02,5853
X44 drug deaths not included,MCD COVID subtracted,2024-03,5926
X44 drug deaths not included,MCD COVID subtracted,2024-04,5892
X44 drug deaths not included,MCD COVID subtracted,2024-05,6241
X44 drug deaths not included,MCD COVID subtracted,2024-06,6292
X44 drug deaths not included,MCD COVID subtracted,2024-07,6620
X44 drug deaths not included,MCD COVID subtracted,2024-08,7252
X44 drug deaths not included,MCD COVID subtracted,2024-09,8039
X44 drug deaths not included,MCD COVID subtracted,2024-10,9799
X44 drug deaths not included,MCD COVID subtracted,2024-11,5700
X44 drug deaths included,MCD COVID subtracted,2018-01,7898
X44 drug deaths included,MCD COVID subtracted,2018-02,6887
X44 drug deaths included,MCD COVID subtracted,2018-03,7342
X44 drug deaths included,MCD COVID subtracted,2018-04,6829
X44 drug deaths included,MCD COVID subtracted,2018-05,7055
X44 drug deaths included,MCD COVID subtracted,2018-06,6884
X44 drug deaths included,MCD COVID subtracted,2018-07,7046
X44 drug deaths included,MCD COVID subtracted,2018-08,6925
X44 drug deaths included,MCD COVID subtracted,2018-09,6872
X44 drug deaths included,MCD COVID subtracted,2018-10,7064
X44 drug deaths included,MCD COVID subtracted,2018-11,6942
X44 drug deaths included,MCD COVID subtracted,2018-12,7436
X44 drug deaths included,MCD COVID subtracted,2019-01,7293
X44 drug deaths included,MCD COVID subtracted,2019-02,6501
X44 drug deaths included,MCD COVID subtracted,2019-03,7446
X44 drug deaths included,MCD COVID subtracted,2019-04,6832
X44 drug deaths included,MCD COVID subtracted,2019-05,6955
X44 drug deaths included,MCD COVID subtracted,2019-06,6726
X44 drug deaths included,MCD COVID subtracted,2019-07,7024
X44 drug deaths included,MCD COVID subtracted,2019-08,6954
X44 drug deaths included,MCD COVID subtracted,2019-09,6537
X44 drug deaths included,MCD COVID subtracted,2019-10,7019
X44 drug deaths included,MCD COVID subtracted,2019-11,7158
X44 drug deaths included,MCD COVID subtracted,2019-12,7793
X44 drug deaths included,MCD COVID subtracted,2020-01,7786
X44 drug deaths included,MCD COVID subtracted,2020-02,7252
X44 drug deaths included,MCD COVID subtracted,2020-03,8002
X44 drug deaths included,MCD COVID subtracted,2020-04,8492
X44 drug deaths included,MCD COVID subtracted,2020-05,9060
X44 drug deaths included,MCD COVID subtracted,2020-06,8491
X44 drug deaths included,MCD COVID subtracted,2020-07,9045
X44 drug deaths included,MCD COVID subtracted,2020-08,8868
X44 drug deaths included,MCD COVID subtracted,2020-09,8188
X44 drug deaths included,MCD COVID subtracted,2020-10,8300
X44 drug deaths included,MCD COVID subtracted,2020-11,8359
X44 drug deaths included,MCD COVID subtracted,2020-12,9107
X44 drug deaths included,MCD COVID subtracted,2021-01,9315
X44 drug deaths included,MCD COVID subtracted,2021-02,8262
X44 drug deaths included,MCD COVID subtracted,2021-03,9284
X44 drug deaths included,MCD COVID subtracted,2021-04,9187
X44 drug deaths included,MCD COVID subtracted,2021-05,9087
X44 drug deaths included,MCD COVID subtracted,2021-06,9062
X44 drug deaths included,MCD COVID subtracted,2021-07,9225
X44 drug deaths included,MCD COVID subtracted,2021-08,9596
X44 drug deaths included,MCD COVID subtracted,2021-09,9227
X44 drug deaths included,MCD COVID subtracted,2021-10,9449
X44 drug deaths included,MCD COVID subtracted,2021-11,9116
X44 drug deaths included,MCD COVID subtracted,2021-12,9786
X44 drug deaths included,MCD COVID subtracted,2022-01,9367
X44 drug deaths included,MCD COVID subtracted,2022-02,8334
X44 drug deaths included,MCD COVID subtracted,2022-03,8961
X44 drug deaths included,MCD COVID subtracted,2022-04,8501
X44 drug deaths included,MCD COVID subtracted,2022-05,8488
X44 drug deaths included,MCD COVID subtracted,2022-06,8797
X44 drug deaths included,MCD COVID subtracted,2022-07,9266
X44 drug deaths included,MCD COVID subtracted,2022-08,8651
X44 drug deaths included,MCD COVID subtracted,2022-09,8602
X44 drug deaths included,MCD COVID subtracted,2022-10,9000
X44 drug deaths included,MCD COVID subtracted,2022-11,9068
X44 drug deaths included,MCD COVID subtracted,2022-12,9985
X44 drug deaths included,MCD COVID subtracted,2023-01,9148
X44 drug deaths included,MCD COVID subtracted,2023-02,8119
X44 drug deaths included,MCD COVID subtracted,2023-03,8957
X44 drug deaths included,MCD COVID subtracted,2023-04,8596
X44 drug deaths included,MCD COVID subtracted,2023-05,8843
X44 drug deaths included,MCD COVID subtracted,2023-06,8322
X44 drug deaths included,MCD COVID subtracted,2023-07,8959
X44 drug deaths included,MCD COVID subtracted,2023-08,8847
X44 drug deaths included,MCD COVID subtracted,2023-09,8148
X44 drug deaths included,MCD COVID subtracted,2023-10,8285
X44 drug deaths included,MCD COVID subtracted,2023-11,8215
X44 drug deaths included,MCD COVID subtracted,2023-12,8859
X44 drug deaths included,MCD COVID subtracted,2024-01,8827
X44 drug deaths included,MCD COVID subtracted,2024-02,8164
X44 drug deaths included,MCD COVID subtracted,2024-03,8275
X44 drug deaths included,MCD COVID subtracted,2024-04,8046
X44 drug deaths included,MCD COVID subtracted,2024-05,8293
X44 drug deaths included,MCD COVID subtracted,2024-06,6362
X44 drug deaths included,MCD COVID subtracted,2024-07,6620
X44 drug deaths included,MCD COVID subtracted,2024-08,7252
X44 drug deaths included,MCD COVID subtracted,2024-09,8039
X44 drug deaths included,MCD COVID subtracted,2024-10,9799
X44 drug deaths included,MCD COVID subtracted,2024-11,5700
X44 drug deaths included,MCD COVID not subtracted,1999-01,6301
X44 drug deaths included,MCD COVID not subtracted,1999-02,5694
X44 drug deaths included,MCD COVID not subtracted,1999-03,6155
X44 drug deaths included,MCD COVID not subtracted,1999-04,5698
X44 drug deaths included,MCD COVID not subtracted,1999-05,5907
X44 drug deaths included,MCD COVID not subtracted,1999-06,5720
X44 drug deaths included,MCD COVID not subtracted,1999-07,6013
X44 drug deaths included,MCD COVID not subtracted,1999-08,5785
X44 drug deaths included,MCD COVID not subtracted,1999-09,5565
X44 drug deaths included,MCD COVID not subtracted,1999-10,5819
X44 drug deaths included,MCD COVID not subtracted,1999-11,5705
X44 drug deaths included,MCD COVID not subtracted,1999-12,6410
X44 drug deaths included,MCD COVID not subtracted,2000-01,6408
X44 drug deaths included,MCD COVID not subtracted,2000-02,5763
X44 drug deaths included,MCD COVID not subtracted,2000-03,5722
X44 drug deaths included,MCD COVID not subtracted,2000-04,5492
X44 drug deaths included,MCD COVID not subtracted,2000-05,5758
X44 drug deaths included,MCD COVID not subtracted,2000-06,5671
X44 drug deaths included,MCD COVID not subtracted,2000-07,5970
X44 drug deaths included,MCD COVID not subtracted,2000-08,5929
X44 drug deaths included,MCD COVID not subtracted,2000-09,5878
X44 drug deaths included,MCD COVID not subtracted,2000-10,6066
X44 drug deaths included,MCD COVID not subtracted,2000-11,6134
X44 drug deaths included,MCD COVID not subtracted,2000-12,6566
X44 drug deaths included,MCD COVID not subtracted,2001-01,6691
X44 drug deaths included,MCD COVID not subtracted,2001-02,6042
X44 drug deaths included,MCD COVID not subtracted,2001-03,6471
X44 drug deaths included,MCD COVID not subtracted,2001-04,6046
X44 drug deaths included,MCD COVID not subtracted,2001-05,6122
X44 drug deaths included,MCD COVID not subtracted,2001-06,5857
X44 drug deaths included,MCD COVID not subtracted,2001-07,5853
X44 drug deaths included,MCD COVID not subtracted,2001-08,5918
X44 drug deaths included,MCD COVID not subtracted,2001-09,5763
X44 drug deaths included,MCD COVID not subtracted,2001-10,6274
X44 drug deaths included,MCD COVID not subtracted,2001-11,6058
X44 drug deaths included,MCD COVID not subtracted,2001-12,6560
X44 drug deaths included,MCD COVID not subtracted,2002-01,6543
X44 drug deaths included,MCD COVID not subtracted,2002-02,5936
X44 drug deaths included,MCD COVID not subtracted,2002-03,6395
X44 drug deaths included,MCD COVID not subtracted,2002-04,5883
X44 drug deaths included,MCD COVID not subtracted,2002-05,6135
X44 drug deaths included,MCD COVID not subtracted,2002-06,5776
X44 drug deaths included,MCD COVID not subtracted,2002-07,6237
X44 drug deaths included,MCD COVID not subtracted,2002-08,5971
X44 drug deaths included,MCD COVID not subtracted,2002-09,5822
X44 drug deaths included,MCD COVID not subtracted,2002-10,6048
X44 drug deaths included,MCD COVID not subtracted,2002-11,6226
X44 drug deaths included,MCD COVID not subtracted,2002-12,6867
X44 drug deaths included,MCD COVID not subtracted,2003-01,6319
X44 drug deaths included,MCD COVID not subtracted,2003-02,5825
X44 drug deaths included,MCD COVID not subtracted,2003-03,6271
X44 drug deaths included,MCD COVID not subtracted,2003-04,6047
X44 drug deaths included,MCD COVID not subtracted,2003-05,6073
X44 drug deaths included,MCD COVID not subtracted,2003-06,5914
X44 drug deaths included,MCD COVID not subtracted,2003-07,6173
X44 drug deaths included,MCD COVID not subtracted,2003-08,6147
X44 drug deaths included,MCD COVID not subtracted,2003-09,5909
X44 drug deaths included,MCD COVID not subtracted,2003-10,6140
X44 drug deaths included,MCD COVID not subtracted,2003-11,6382
X44 drug deaths included,MCD COVID not subtracted,2003-12,7121
X44 drug deaths included,MCD COVID not subtracted,2004-01,6926
X44 drug deaths included,MCD COVID not subtracted,2004-02,6202
X44 drug deaths included,MCD COVID not subtracted,2004-03,6366
X44 drug deaths included,MCD COVID not subtracted,2004-04,6049
X44 drug deaths included,MCD COVID not subtracted,2004-05,6127
X44 drug deaths included,MCD COVID not subtracted,2004-06,5820
X44 drug deaths included,MCD COVID not subtracted,2004-07,6273
X44 drug deaths included,MCD COVID not subtracted,2004-08,6183
X44 drug deaths included,MCD COVID not subtracted,2004-09,5787
X44 drug deaths included,MCD COVID not subtracted,2004-10,6312
X44 drug deaths included,MCD COVID not subtracted,2004-11,6193
X44 drug deaths included,MCD COVID not subtracted,2004-12,6845
X44 drug deaths included,MCD COVID not subtracted,2005-01,6862
X44 drug deaths included,MCD COVID not subtracted,2005-02,6293
X44 drug deaths included,MCD COVID not subtracted,2005-03,6874
X44 drug deaths included,MCD COVID not subtracted,2005-04,6362
X44 drug deaths included,MCD COVID not subtracted,2005-05,6418
X44 drug deaths included,MCD COVID not subtracted,2005-06,6203
X44 drug deaths included,MCD COVID not subtracted,2005-07,6773
X44 drug deaths included,MCD COVID not subtracted,2005-08,6391
X44 drug deaths included,MCD COVID not subtracted,2005-09,5947
X44 drug deaths included,MCD COVID not subtracted,2005-10,6603
X44 drug deaths included,MCD COVID not subtracted,2005-11,6526
X44 drug deaths included,MCD COVID not subtracted,2005-12,7139
X44 drug deaths included,MCD COVID not subtracted,2006-01,6848
X44 drug deaths included,MCD COVID not subtracted,2006-02,6328
X44 drug deaths included,MCD COVID not subtracted,2006-03,6685
X44 drug deaths included,MCD COVID not subtracted,2006-04,6437
X44 drug deaths included,MCD COVID not subtracted,2006-05,6341
X44 drug deaths included,MCD COVID not subtracted,2006-06,6527
X44 drug deaths included,MCD COVID not subtracted,2006-07,6681
X44 drug deaths included,MCD COVID not subtracted,2006-08,6483
X44 drug deaths included,MCD COVID not subtracted,2006-09,6104
X44 drug deaths included,MCD COVID not subtracted,2006-10,6376
X44 drug deaths included,MCD COVID not subtracted,2006-11,6485
X44 drug deaths included,MCD COVID not subtracted,2006-12,6894
X44 drug deaths included,MCD COVID not subtracted,2007-01,6767
X44 drug deaths included,MCD COVID not subtracted,2007-02,6376
X44 drug deaths included,MCD COVID not subtracted,2007-03,6664
X44 drug deaths included,MCD COVID not subtracted,2007-04,6496
X44 drug deaths included,MCD COVID not subtracted,2007-05,6336
X44 drug deaths included,MCD COVID not subtracted,2007-06,6232
X44 drug deaths included,MCD COVID not subtracted,2007-07,6286
X44 drug deaths included,MCD COVID not subtracted,2007-08,6371
X44 drug deaths included,MCD COVID not subtracted,2007-09,6159
X44 drug deaths included,MCD COVID not subtracted,2007-10,6407
X44 drug deaths included,MCD COVID not subtracted,2007-11,6381
X44 drug deaths included,MCD COVID not subtracted,2007-12,6877
X44 drug deaths included,MCD COVID not subtracted,2008-01,6926
X44 drug deaths included,MCD COVID not subtracted,2008-02,6908
X44 drug deaths included,MCD COVID not subtracted,2008-03,6980
X44 drug deaths included,MCD COVID not subtracted,2008-04,6542
X44 drug deaths included,MCD COVID not subtracted,2008-05,6462
X44 drug deaths included,MCD COVID not subtracted,2008-06,6272
X44 drug deaths included,MCD COVID not subtracted,2008-07,6388
X44 drug deaths included,MCD COVID not subtracted,2008-08,6276
X44 drug deaths included,MCD COVID not subtracted,2008-09,6099
X44 drug deaths included,MCD COVID not subtracted,2008-10,6458
X44 drug deaths included,MCD COVID not subtracted,2008-11,6531
X44 drug deaths included,MCD COVID not subtracted,2008-12,7140
X44 drug deaths included,MCD COVID not subtracted,2009-01,7465
X44 drug deaths included,MCD COVID not subtracted,2009-02,6680
X44 drug deaths included,MCD COVID not subtracted,2009-03,7074
X44 drug deaths included,MCD COVID not subtracted,2009-04,6729
X44 drug deaths included,MCD COVID not subtracted,2009-05,6640
X44 drug deaths included,MCD COVID not subtracted,2009-06,6521
X44 drug deaths included,MCD COVID not subtracted,2009-07,6729
X44 drug deaths included,MCD COVID not subtracted,2009-08,6485
X44 drug deaths included,MCD COVID not subtracted,2009-09,6261
X44 drug deaths included,MCD COVID not subtracted,2009-10,6933
X44 drug deaths included,MCD COVID not subtracted,2009-11,6839
X44 drug deaths included,MCD COVID not subtracted,2009-12,6961
X44 drug deaths included,MCD COVID not subtracted,2010-01,7052
X44 drug deaths included,MCD COVID not subtracted,2010-02,6117
