qseqid      sseqid     pident  length mismatch gaps qstart qend  sstart send  evalue bitscore
NC_045512.2 LF413889.1 92.857  28     2        0    20399  20426 1799   1826  8.2    41.7
NC_045512.2 LP040703.1 96.000  25     1        0    17075  17099 1850   1874  8.2    41.7
NC_045512.2 HZ239541.1 96.000  25     1        0    17075  17099 1850   1874  8.2    41.7
NC_045512.2 HZ203871.1 90.323  31     3        0    3144   3174  1313   1283  8.2    41.7
NC_045512.2 HZ107436.1 90.625  32     1        2    16885  16915 6946   6916  8.2    41.7
NC_045512.2 MA720779.1 96.000  25     0        1    20953  20977 564    541   29     39.9
NC_045512.2 LZ093208.1 100.000 21     0        0    13610  13630 1292   1312  29     39.9
NC_045512.2 LX338605.1 96.000  25     0        1    27731  27754 249    273   29     39.9
NC_045512.2 LF425295.1 90.625  32     0        3    23738  23768 5605   5576  29     39.9
NC_045512.2 LF425294.1 90.625  32     0        3    23738  23768 5881   5852  29     39.9
NC_045512.2 LF425293.1 90.625  32     0        3    23738  23768 5626   5597  29     39.9
NC_045512.2 LF495522.1 90.000  30     3        0    29437  29466 590    561   29     39.9
NC_045512.2 LF421098.1 92.857  28     1        1    1114   1141  2883   2857  29     39.9
NC_045512.2 LF514579.1 88.571  35     1        2    3049   3080  602    636   29     39.9
NC_045512.2 LF465479.1 90.323  31     2        1    28915  28944 1201   1171  29     39.9
NC_045512.2 LF465475.1 90.323  31     2        1    28915  28944 1201   1171  29     39.9
NC_045512.2 LF465393.1 90.323  31     2        1    28915  28944 1201   1171  29     39.9
NC_045512.2 LF608165.1 100.000 21     0        0    14395  14415 365    385   29     39.9
NC_045512.2 LF437600.1 90.323  31     2        1    29369  29398 4687   4717  29     39.9
NC_045512.2 LF437598.1 90.323  31     2        1    29369  29398 4419   4449  29     39.9
NC_045512.2 LF437597.1 90.323  31     2        1    29369  29398 4404   4434  29     39.9
NC_045512.2 LF437595.1 90.323  31     2        1    29369  29398 4375   4405  29     39.9
NC_045512.2 LF555690.1 92.857  28     0        2    13055  13081 542    516   29     39.9
NC_045512.2 LF594008.1 100.000 21     0        0    5064   5084  1190   1170  29     39.9
NC_045512.2 HZ338325.1 96.000  25     0        1    20953  20977 564    541   29     39.9
NC_045512.2 HZ314853.1 96.000  25     0        1    27731  27754 249    273   29     39.9
NC_045512.2 HZ267087.1 90.000  30     3        0    22311  22340 765    736   29     39.9
NC_045512.2 HZ118996.1 100.000 21     0        0    12577  12597 341    321   29     39.9
NC_045512.2 HZ092400.1 100.000 21     0        0    13610  13630 1292   1312  29     39.9
NC_045512.2 JC143557.1 100.000 21     0        0    13610  13630 1292   1312  29     39.9
NC_045512.2 JC128159.1 96.000  25     0        1    20953  20977 564    541   29     39.9
NC_045512.2 MA725378.1 87.879  33     2        2    14611  14642 702    671   106    38.1
NC_045512.2 MA725274.1 100.000 20     0        0    3056   3075  4215   4234  106    38.1
NC_045512.2 MA720845.1 95.833  24     0        1    20954  20977 563    541   106    38.1
NC_045512.2 MA720078.1 100.000 20     0        0    7475   7494  463    482   106    38.1
NC_045512.2 MA024674.1 100.000 20     0        0    29423  29442 5277   5296  106    38.1
NC_045512.2 MA024631.1 95.652  23     1        0    3176   3198  1101   1123  106    38.1
NC_045512.2 MA019962.1 95.833  24     0        1    5662   5684  2596   2573  106    38.1
NC_045512.2 MA042131.1 95.652  23     1        0    29394  29416 266    288   106    38.1
NC_045512.2 LX332309.1 84.091  44     2        5    11999  12038 672    714   106    38.1
NC_045512.2 LZ065740.1 95.652  23     1        0    25534  25556 669    647   106    38.1
NC_045512.2 LZ064985.1 100.000 20     0        0    23034  23053 552    533   106    38.1
NC_045512.2 LZ064984.1 100.000 20     0        0    23034  23053 715    696   106    38.1
NC_045512.2 LX304624.1 92.308  26     2        0    567    592   3039   3064  106    38.1
NC_045512.2 LZ063427.1 100.000 20     0        0    4395   4414  3739   3758  106    38.1
NC_045512.2 LZ063426.1 100.000 20     0        0    4395   4414  3509   3528  106    38.1
NC_045512.2 LZ079291.1 100.000 20     0        0    1801   1820  267    286   106    38.1
NC_045512.2 LX316454.1 95.652  23     1        0    21680  21702 197    175   106    38.1
NC_045512.2 LY296512.1 100.000 20     0        0    7475   7494  463    482   106    38.1
NC_045512.2 LV537125.1 100.000 20     0        0    7475   7494  463    482   106    38.1
NC_045512.2 LF572045.1 92.308  26     2        0    29373  29398 2798   2823  106    38.1
NC_045512.2 LF613927.1 100.000 20     0        0    3668   3687  1366   1385  106    38.1
NC_045512.2 LF558746.1 92.593  27     0        2    26415  26440 586    561   106    38.1
NC_045512.2 LF524227.1 95.652  23     1        0    3175   3197  464    486   106    38.1
NC_045512.2 LF524226.1 95.652  23     1        0    3175   3197  461    483   106    38.1
NC_045512.2 LF589251.1 95.833  24     0        1    20480  20503 2630   2652  106    38.1
NC_045512.2 LF586792.1 100.000 20     0        0    19114  19133 4377   4358  106    38.1
NC_045512.2 LF472999.1 100.000 20     0        0    3179   3198  816    835   106    38.1
NC_045512.2 LF472998.1 100.000 20     0        0    3179   3198  816    835   106    38.1
NC_045512.2 LF495627.1 100.000 20     0        0    3044   3063  2965   2984  106    38.1
NC_045512.2 LF518155.1 95.833  24     0        1    3166   3188  140    163   106    38.1
NC_045512.2 LF518154.1 95.833  24     0        1    3166   3188  140    163   106    38.1
NC_045512.2 LF514289.1 100.000 20     0        0    3179   3198  426    445   106    38.1
NC_045512.2 LF514288.1 100.000 20     0        0    3179   3198  1719   1738  106    38.1
NC_045512.2 LF514287.1 100.000 20     0        0    3179   3198  1719   1738  106    38.1
NC_045512.2 LF443493.1 100.000 20     0        0    3179   3198  426    445   106    38.1
NC_045512.2 LF443492.1 100.000 20     0        0    3179   3198  1719   1738  106    38.1
NC_045512.2 LF443491.1 100.000 20     0        0    3179   3198  1719   1738  106    38.1
NC_045512.2 LF618420.1 95.652  23     1        0    3047   3069  613    635   106    38.1
NC_045512.2 LF510301.1 100.000 20     0        0    3046   3065  1953   1972  106    38.1
NC_045512.2 LF416120.1 100.000 20     0        0    7803   7822  3066   3047  106    38.1
NC_045512.2 LF416118.1 100.000 20     0        0    7803   7822  2957   2938  106    38.1
NC_045512.2 LF439112.1 100.000 20     0        0    25698  25717 3422   3403  106    38.1
NC_045512.2 LF414238.1 95.833  24     0        1    3775   3797  2162   2139  106    38.1
NC_045512.2 LF412174.1 100.000 20     0        0    29703  29722 2419   2438  106    38.1
NC_045512.2 LF527193.1 100.000 20     0        0    3179   3198  876    895   106    38.1
NC_045512.2 LF602589.1 100.000 20     0        0    8138   8157  2954   2935  106    38.1
NC_045512.2 LF456397.1 100.000 20     0        0    3179   3198  876    895   106    38.1
NC_045512.2 LF587551.1 100.000 20     0        0    448    467   1157   1176  106    38.1
NC_045512.2 LF609314.1 95.833  24     0        1    19521  19543 280    257   106    38.1
NC_045512.2 LF584577.1 100.000 20     0        0    4743   4762  5099   5118  106    38.1
NC_045512.2 LF543795.1 100.000 20     0        0    3179   3198  816    835   106    38.1
NC_045512.2 LF543794.1 100.000 20     0        0    3179   3198  816    835   106    38.1
NC_045512.2 LP022247.1 95.652  23     1        0    25534  25556 669    647   106    38.1
NC_045512.2 LP017790.1 100.000 20     0        0    23034  23053 552    533   106    38.1
NC_045512.2 LP017789.1 100.000 20     0        0    23034  23053 715    696   106    38.1
NC_045512.2 LP016232.1 100.000 20     0        0    4395   4414  3739   3758  106    38.1
NC_045512.2 LP016231.1 100.000 20     0        0    4395   4414  3509   3528  106    38.1
NC_045512.2 LP035798.1 100.000 20     0        0    1801   1820  267    286   106    38.1
NC_045512.2 HZ342924.1 87.879  33     2        2    14611  14642 702    671   106    38.1
NC_045512.2 HZ342820.1 100.000 20     0        0    3056   3075  4215   4234  106    38.1
NC_045512.2 HZ221085.1 95.652  23     1        0    25534  25556 669    647   106    38.1
NC_045512.2 HZ220330.1 100.000 20     0        0    23034  23053 552    533   106    38.1
NC_045512.2 HZ220329.1 100.000 20     0        0    23034  23053 715    696   106    38.1
NC_045512.2 HZ194824.1 100.000 20     0        0    29423  29442 5277   5296  106    38.1
NC_045512.2 HZ194781.1 95.652  23     1        0    3176   3198  1101   1123  106    38.1
NC_045512.2 HZ218772.1 100.000 20     0        0    4395   4414  3739   3758  106    38.1
NC_045512.2 HZ218771.1 100.000 20     0        0    4395   4414  3509   3528  106    38.1
NC_045512.2 HZ338391.1 95.833  24     0        1    20954  20977 563    541   106    38.1
NC_045512.2 HZ280872.1 92.308  26     2        0    567    592   3039   3064  106    38.1
NC_045512.2 HZ337624.1 100.000 20     0        0    7475   7494  463    482   106    38.1
NC_045512.2 HZ190112.1 95.833  24     0        1    5662   5684  2596   2573  106    38.1
NC_045512.2 HZ212281.1 95.652  23     1        0    29394  29416 266    288   106    38.1
NC_045512.2 HZ234636.1 100.000 20     0        0    1801   1820  267    286   106    38.1
NC_045512.2 HZ292702.1 95.652  23     1        0    21680  21702 197    175   106    38.1
NC_045512.2 HZ308557.1 84.091  44     2        5    11999  12038 672    714   106    38.1
NC_045512.2 HZ149902.1 100.000 20     0        0    21831  21850 2565   2546  106    38.1
NC_045512.2 HZ104903.1 95.652  23     1        0    5949   5971  291    269   106    38.1
NC_045512.2 HZ103363.1 90.000  30     2        1    4747   4775  1024   995   106    38.1
NC_045512.2 HZ099661.1 100.000 20     0        0    3179   3198  525    544   106    38.1
NC_045512.2 HZ099660.1 100.000 20     0        0    3179   3198  684    703   106    38.1
NC_045512.2 HZ099659.1 100.000 20     0        0    3179   3198  689    708   106    38.1
NC_045512.2 HZ099658.1 100.000 20     0        0    3179   3198  684    703   106    38.1
NC_045512.2 HZ099657.1 100.000 20     0        0    3179   3198  689    708   106    38.1
NC_045512.2 HZ105970.1 92.593  27     0        2    22159  22184 2649   2674  106    38.1
NC_045512.2 HZ105969.1 92.593  27     0        2    22159  22184 2766   2791  106    38.1
NC_045512.2 JE826753.1 100.000 20     0        0    7475   7494  463    482   106    38.1
NC_045512.2 JC132758.1 87.879  33     2        2    14611  14642 702    671   106    38.1
NC_045512.2 JC132654.1 100.000 20     0        0    3056   3075  4215   4234  106    38.1
NC_045512.2 JC128225.1 95.833  24     0        1    20954  20977 563    541   106    38.1
NC_045512.2 JC127458.1 100.000 20     0        0    7475   7494  463    482   106    38.1
NC_045512.2 MA725338.1 100.000 19     0        0    18309  18327 3507   3525  381    36.2
NC_045512.2 MA725273.1 100.000 19     0        0    3057   3075  4216   4234  381    36.2
NC_045512.2 MA725243.1 100.000 19     0        0    3177   3195  755    773   381    36.2
NC_045512.2 MA725242.1 100.000 19     0        0    3177   3195  755    773   381    36.2
NC_045512.2 MA722182.1 95.652  23     0        1    24356  24377 243    265   381    36.2
NC_045512.2 MA722166.1 95.455  22     1        0    8698   8719  3005   3026  381    36.2
NC_045512.2 MA721582.1 89.655  29     1        2    3169   3195  745    773   381    36.2
NC_045512.2 MA721537.1 100.000 19     0        0    3177   3195  755    773   381    36.2
NC_045512.2 MA720989.1 95.455  22     1        0    3844   3865  360    381   381    36.2
NC_045512.2 MA720818.1 92.308  26     1        1    20953  20978 564    540   381    36.2
NC_045512.2 MA720708.1 100.000 19     0        0    24672  24690 30     12    381    36.2
NC_045512.2 MA714303.1 95.455  22     1        0    15507  15528 513    534   381    36.2
NC_045512.2 MA713074.1 100.000 19     0        0    28982  29000 6342   6360  381    36.2
NC_045512.2 MA713057.1 100.000 19     0        0    28982  29000 6342   6360  381    36.2
NC_045512.2 MA713024.1 95.455  22     1        0    28979  29000 6339   6360  381    36.2
NC_045512.2 MA030826.1 100.000 19     0        0    2654   2672  1161   1143  381    36.2
NC_045512.2 MA029704.1 90.000  30     0        3    11145  11171 426    397   381    36.2
NC_045512.2 MA024689.1 87.097  31     4        0    3144   3174  1313   1283  381    36.2
NC_045512.2 MA023116.1 100.000 19     0        0    29844  29862 5771   5789  381    36.2
NC_045512.2 MA022648.1 92.000  25     2        0    21977  22001 1625   1649  381    36.2
NC_045512.2 MA021320.1 89.655  29     1        2    4485   4512  7162   7189  381    36.2
NC_045512.2 MA021319.1 89.655  29     1        2    4485   4512  4661   4688  381    36.2
NC_045512.2 MA020494.1 100.000 19     0        0    19738  19756 5014   5032  381    36.2
NC_045512.2 MA044932.1 83.333  42     4        2    3047   3085  1078   1119  381    36.2
NC_045512.2 MA042435.1 95.652  23     0        1    25331  25352 803    781   381    36.2
NC_045512.2 MA042245.1 95.455  22     1        0    4589   4610  201    180   381    36.2
NC_045512.2 MA042213.1 100.000 19     0        0    3177   3195  215    233   381    36.2
NC_045512.2 MA041401.1 95.455  22     1        0    19076  19097 212    233   381    36.2
NC_045512.2 MA040439.1 100.000 19     0        0    20242  20260 959    941   381    36.2
NC_045512.2 MA039502.1 100.000 19     0        0    14315  14333 344    362   381    36.2
NC_045512.2 MA038256.1 89.655  29     1        2    6389   6416  825    852   381    36.2
NC_045512.2 MA033663.1 100.000 19     0        0    3176   3194  1101   1119  381    36.2
NC_045512.2 LX314174.1 95.455  22     1        0    29453  29474 520    499   381    36.2
NC_045512.2 LX313077.1 89.655  29     1        2    14562  14588 137    165   381    36.2
NC_045512.2 LX335738.1 95.652  23     0        1    17274  17295 888    910   381    36.2
NC_045512.2 LZ072667.1 95.455  22     1        0    29378  29399 2185   2206  381    36.2
NC_045512.2 LZ072227.1 100.000 19     0        0    23034  23052 1153   1135  381    36.2
NC_045512.2 LZ090738.1 100.000 19     0        0    23492  23510 124    106   381    36.2
NC_045512.2 LX332998.1 89.655  29     1        2    8461   8487  594    622   381    36.2
NC_045512.2 LZ068129.1 100.000 19     0        0    29422  29440 128    146   381    36.2
NC_045512.2 LZ066382.1 92.308  26     1        1    3173   3198  5583   5607  381    36.2
NC_045512.2 LZ066381.1 92.308  26     1        1    3173   3198  5583   5607  381    36.2
NC_045512.2 LZ066378.1 92.308  26     1        1    3173   3198  5583   5607  381    36.2
NC_045512.2 LZ088195.1 100.000 19     0        0    13612  13630 1294   1312  381    36.2
NC_045512.2 LZ063901.1 89.655  29     2        1    5202   5230  2607   2580  381    36.2
NC_045512.2 LZ063900.1 89.655  29     2        1    5202   5230  3022   2995  381    36.2
NC_045512.2 LZ063331.1 95.652  23     0        1    25741  25762 2091   2069  381    36.2
NC_045512.2 LZ062952.1 95.455  22     1        0    14424  14445 3079   3100  381    36.2
NC_045512.2 LZ085139.1 100.000 19     0        0    24773  24791 413    431   381    36.2
NC_045512.2 LZ062556.1 100.000 19     0        0    4074   4092  2063   2081  381    36.2
NC_045512.2 LZ085137.1 100.000 19     0        0    24773  24791 402    420   381    36.2
NC_045512.2 LZ085138.1 100.000 19     0        0    24773  24791 423    441   381    36.2
NC_045512.2 LX303791.1 85.714  35     4        1    3384   3418  962    929   381    36.2
NC_045512.2 LX326406.1 92.000  25     2        0    3046   3070  649    625   381    36.2
NC_045512.2 LZ062070.1 100.000 19     0        0    3717   3735  1090   1108  381    36.2
NC_045512.2 LZ062071.1 100.000 19     0        0    3717   3735  1493   1511  381    36.2
NC_045512.2 LX324579.1 100.000 19     0        0    5686   5704  1280   1262  381    36.2
NC_045512.2 LZ082679.1 89.655  29     2        1    3032   3060  479    506   381    36.2
NC_045512.2 LZ081892.1 100.000 19     0        0    15920  15938 2383   2401  381    36.2
NC_045512.2 LX345497.1 100.000 19     0        0    28925  28943 7581   7563  381    36.2
NC_045512.2 LZ081331.1 92.308  26     0        1    12653  12678 1200   1223  381    36.2
NC_045512.2 LX298435.1 100.000 19     0        0    18698  18716 3806   3788  381    36.2
NC_045512.2 LZ080909.1 92.308  26     0        2    13276  13299 1478   1453  381    36.2
NC_045512.2 LX297992.1 95.455  22     1        0    29700  29721 6822   6801  381    36.2
NC_045512.2 LZ080620.1 95.652  23     0        1    6348   6369  715    693   381    36.2
NC_045512.2 LZ079333.1 100.000 19     0        0    3042   3060  764    782   381    36.2
NC_045512.2 LZ078190.1 100.000 19     0        0    15920  15938 2383   2401  381    36.2
NC_045512.2 LX341464.1 95.455  22     1        0    27502  27523 523    544   381    36.2
NC_045512.2 LZ098296.1 95.455  22     1        0    1573   1594  520    499   381    36.2
NC_045512.2 LX340694.1 100.000 19     0        0    5674   5692  2515   2533  381    36.2
NC_045512.2 LF607442.1 89.655  29     2        1    29366  29394 2651   2678  381    36.2
NC_045512.2 LF605489.1 100.000 19     0        0    2576   2594  720    738   381    36.2
NC_045512.2 LF454815.1 100.000 19     0        0    3180   3198  640    658   381    36.2
NC_045512.2 LF619549.1 100.000 19     0        0    11823  11841 493    475   381    36.2
NC_045512.2 LF568072.1 100.000 19     0        0    19063  19081 1807   1789  381    36.2
NC_045512.2 LF566877.1 100.000 19     0        0    4212   4230  2019   2037  381    36.2
NC_045512.2 LF566768.1 82.609  46     3        5    343    383   604    559   381    36.2
NC_045512.2 LF430805.1 95.652  23     0        1    12199  12221 95     116   381    36.2
NC_045512.2 LF430804.1 95.652  23     0        1    12199  12221 98     119   381    36.2
NC_045512.2 LF430803.1 95.652  23     0        1    12199  12221 128    149   381    36.2
NC_045512.2 LF556776.1 100.000 19     0        0    2276   2294  1894   1912  381    36.2
NC_045512.2 LF501424.1 92.308  26     0        2    22844  22868 2286   2310  381    36.2
NC_045512.2 LF430554.1 89.655  29     2        1    13019  13047 3783   3810  381    36.2
NC_045512.2 LF589940.1 100.000 19     0        0    25225  25243 402    384   381    36.2
NC_045512.2 LF429845.1 92.308  26     0        1    27289  27312 2434   2459  381    36.2
NC_045512.2 LF428893.1 100.000 19     0        0    9025   9043  3185   3203  381    36.2
NC_045512.2 LF498359.1 92.308  26     1        1    28921  28945 1049   1024  381    36.2
NC_045512.2 LF427641.1 100.000 19     0        0    22405  22423 2276   2258  381    36.2
NC_045512.2 LF521248.1 100.000 19     0        0    3180   3198  628    646   381    36.2
NC_045512.2 LF521247.1 100.000 19     0        0    3180   3198  1378   1396  381    36.2
NC_045512.2 LF545796.1 92.308  26     1        1    10556  10580 6848   6873  381    36.2
NC_045512.2 LF520913.1 100.000 19     0        0    1478   1496  1096   1114  381    36.2
NC_045512.2 LF520891.1 100.000 19     0        0    1478   1496  1096   1114  381    36.2
NC_045512.2 LF475000.1 92.308  26     1        1    10556  10580 6848   6873  381    36.2
NC_045512.2 LF450452.1 100.000 19     0        0    3180   3198  628    646   381    36.2
NC_045512.2 LF450451.1 100.000 19     0        0    3180   3198  1378   1396  381    36.2
NC_045512.2 LF426650.1 90.000  30     0        3    29366  29394 7919   7946  381    36.2
NC_045512.2 LF426649.1 90.000  30     0        3    29366  29394 7919   7946  381    36.2
NC_045512.2 LF474330.1 92.000  25     2        0    29445  29469 358    382   381    36.2
NC_045512.2 LF474329.1 92.000  25     2        0    29445  29469 568    592   381    36.2
NC_045512.2 LF474080.1 100.000 19     0        0    3179   3197  1365   1383  381    36.2
NC_045512.2 LF474079.1 100.000 19     0        0    3179   3197  957    975   381    36.2
NC_045512.2 LF474078.1 100.000 19     0        0    3179   3197  2304   2322  381    36.2
NC_045512.2 LF585581.1 95.652  23     0        1    27826  27847 407    429   381    36.2
NC_045512.2 LF544876.1 100.000 19     0        0    3179   3197  1365   1383  381    36.2
NC_045512.2 LF544875.1 100.000 19     0        0    3179   3197  957    975   381    36.2
NC_045512.2 LF544874.1 100.000 19     0        0    3179   3197  2304   2322  381    36.2
NC_045512.2 LF519930.1 100.000 19     0        0    3175   3193  1154   1172  381    36.2
NC_045512.2 LF519500.1 95.455  22     1        0    3172   3193  167    188   381    36.2
NC_045512.2 LF519499.1 95.455  22     1        0    3172   3193  296    317   381    36.2
NC_045512.2 LF519498.1 95.455  22     1        0    3172   3193  296    317   381    36.2
NC_045512.2 LF583023.1 100.000 19     0        0    8103   8121  10525  10543 381    36.2
NC_045512.2 LF449134.1 100.000 19     0        0    3175   3193  1154   1172  381    36.2
NC_045512.2 LF582127.1 100.000 19     0        0    23034  23052 550    532   381    36.2
NC_045512.2 LF581914.1 100.000 19     0        0    26806  26824 1097   1079  381    36.2
NC_045512.2 LF448704.1 95.455  22     1        0    3172   3193  167    188   381    36.2
NC_045512.2 LF448703.1 95.455  22     1        0    3172   3193  296    317   381    36.2
NC_045512.2 LF448702.1 95.455  22     1        0    3172   3193  296    317   381    36.2
NC_045512.2 LF581370.1 95.455  22     1        0    22200  22221 953    932   381    36.2
NC_045512.2 LF518543.1 100.000 19     0        0    3179   3197  1332   1350  381    36.2
NC_045512.2 LF518542.1 100.000 19     0        0    3179   3197  1389   1407  381    36.2
NC_045512.2 LF518541.1 100.000 19     0        0    3179   3197  1479   1497  381    36.2
NC_045512.2 LF518540.1 100.000 19     0        0    3179   3197  1479   1497  381    36.2
NC_045512.2 LF424575.1 100.000 19     0        0    14134  14152 6637   6655  381    36.2
NC_045512.2 LF424574.1 100.000 19     0        0    14134  14152 6637   6655  381    36.2
NC_045512.2 LF517250.1 95.455  22     1        0    26103  26124 1787   1808  381    36.2
NC_045512.2 LF517248.1 95.455  22     1        0    26103  26124 1493   1514  381    36.2
NC_045512.2 LF517247.1 95.455  22     1        0    26103  26124 1787   1808  381    36.2
NC_045512.2 LF517245.1 95.455  22     1        0    26103  26124 1793   1814  381    36.2
NC_045512.2 LF516301.1 100.000 19     0        0    3180   3198  670    688   381    36.2
NC_045512.2 LF445505.1 100.000 19     0        0    3180   3198  670    688   381    36.2
NC_045512.2 LF491642.1 95.455  22     1        0    22311  22332 549    528   381    36.2
NC_045512.2 LF514514.1 100.000 19     0        0    3180   3198  1996   2014  381    36.2
NC_045512.2 LF491146.1 100.000 19     0        0    3487   3505  228    246   381    36.2
NC_045512.2 LF443718.1 100.000 19     0        0    3180   3198  1996   2014  381    36.2
NC_045512.2 LF572544.1 92.308  26     0        2    16233  16258 542    519   381    36.2
NC_045512.2 LF536275.1 89.655  29     2        1    28917  28944 1199   1171  381    36.2
NC_045512.2 LF536271.1 89.655  29     2        1    28917  28944 1199   1171  381    36.2
NC_045512.2 LF536189.1 89.655  29     2        1    28917  28944 1199   1171  381    36.2
NC_045512.2 LF511655.1 100.000 19     0        0    24838  24856 2520   2502  381    36.2
NC_045512.2 LF417463.1 100.000 19     0        0    24489  24507 2047   2065  381    36.2
NC_045512.2 LF617284.1 92.308  26     0        2    18647  18671 526    550   381    36.2
NC_045512.2 LF616499.1 100.000 19     0        0    3047   3065  2065   2083  381    36.2
NC_045512.2 LF616455.1 95.455  22     1        0    29451  29472 5226   5205  381    36.2
NC_045512.2 LF440717.1 95.455  22     1        0    4437   4458  2692   2671  381    36.2
NC_045512.2 LF487003.1 100.000 19     0        0    22682  22700 2897   2879  381    36.2
NC_045512.2 LF614117.1 95.652  23     0        1    341    362   674    696   381    36.2
NC_045512.2 LF509205.1 100.000 19     0        0    28533  28551 1306   1324  381    36.2
NC_045512.2 LF414347.1 100.000 19     0        0    23745  23763 1329   1347  381    36.2
NC_045512.2 LF414346.1 100.000 19     0        0    23745  23763 1329   1347  381    36.2
NC_045512.2 LF413712.1 82.500  40     7        0    3045   3084  872    911   381    36.2
NC_045512.2 LF413711.1 82.500  40     7        0    3045   3084  785    824   381    36.2
NC_045512.2 LF507245.1 100.000 19     0        0    21687  21705 574    556   381    36.2
NC_045512.2 LF506936.1 95.455  22     1        0    3178   3199  4803   4824  381    36.2
NC_045512.2 LF559871.1 100.000 19     0        0    25634  25652 1364   1346  381    36.2
NC_045512.2 LF483886.1 89.655  29     2        1    19649  19676 687    659   381    36.2
NC_045512.2 LF436168.1 95.455  22     1        0    7901   7922  3174   3195  381    36.2
NC_045512.2 LF436167.1 95.455  22     1        0    7901   7922  3043   3064  381    36.2
NC_045512.2 LF436166.1 95.455  22     1        0    7901   7922  3130   3151  381    36.2
NC_045512.2 LF482978.1 95.652  23     0        1    5179   5200  278    256   381    36.2
NC_045512.2 LF504951.1 89.655  29     1        2    14903  14930 2699   2726  381    36.2
NC_045512.2 LF410005.1 95.455  22     1        0    14858  14879 3211   3232  381    36.2
NC_045512.2 LF409841.1 95.455  22     1        0    18621  18642 4523   4502  381    36.2
NC_045512.2 LF433791.1 100.000 19     0        0    12320  12338 1824   1842  381    36.2
NC_045512.2 LF525611.1 100.000 19     0        0    3180   3198  640    658   381    36.2
NC_045512.2 LF502561.1 95.455  22     1        0    13608  13629 6306   6327  381    36.2
NC_045512.2 LF432301.1 100.000 19     0        0    29381  29399 698    716   381    36.2
NC_045512.2 LF432300.1 100.000 19     0        0    29381  29399 713    731   381    36.2
NC_045512.2 LF432299.1 100.000 19     0        0    29381  29399 763    781   381    36.2
NC_045512.2 LF432298.1 100.000 19     0        0    29381  29399 698    716   381    36.2
NC_045512.2 LF432297.1 100.000 19     0        0    29381  29399 409    427   381    36.2
NC_045512.2 LF577734.1 95.455  22     1        0    3177   3198  4892   4913  381    36.2
NC_045512.2 LF619126.1 95.652  23     0        1    13240  13262 3579   3600  381    36.2
NC_045512.2 LF617452.1 100.000 19     0        0    5516   5534  1534   1552  381    36.2
NC_045512.2 LF612929.1 95.455  22     1        0    370    391   1320   1341  381    36.2
NC_045512.2 LF612081.1 100.000 19     0        0    24048  24066 2680   2698  381    36.2
NC_045512.2 LF611380.1 100.000 19     0        0    27820  27838 746    764   381    36.2
NC_045512.2 LF598871.1 95.652  23     0        1    21528  21549 580    558   381    36.2
NC_045512.2 LF592503.1 100.000 19     0        0    14228  14246 719    737   381    36.2
NC_045512.2 LF591796.1 100.000 19     0        0    1791   1809  278    260   381    36.2
