cause,date,dead
I45-51 (cardiac deaths),2018-12-01,375
I45-51 (cardiac deaths),2018-12-08,377
I45-51 (cardiac deaths),2018-12-15,371
I45-51 (cardiac deaths),2018-12-22,334
I45-51 (cardiac deaths),2018-12-29,385
I45-51 (cardiac deaths),2019-01-05,407
I45-51 (cardiac deaths),2019-01-12,413
I45-51 (cardiac deaths),2019-01-19,390
I45-51 (cardiac deaths),2019-01-26,373
I45-51 (cardiac deaths),2019-02-02,391
I45-51 (cardiac deaths),2019-02-09,389
I45-51 (cardiac deaths),2019-02-16,399
I45-51 (cardiac deaths),2019-02-23,365
I45-51 (cardiac deaths),2019-03-02,394
I45-51 (cardiac deaths),2019-03-09,403
I45-51 (cardiac deaths),2019-03-16,375
I45-51 (cardiac deaths),2019-03-23,393
I45-51 (cardiac deaths),2019-03-30,401
I45-51 (cardiac deaths),2019-04-06,388
I45-51 (cardiac deaths),2019-04-13,382
I45-51 (cardiac deaths),2019-04-20,393
I45-51 (cardiac deaths),2019-04-27,361
I45-51 (cardiac deaths),2019-05-04,371
I45-51 (cardiac deaths),2019-05-11,332
I45-51 (cardiac deaths),2019-05-18,352
I45-51 (cardiac deaths),2019-05-25,358
I45-51 (cardiac deaths),2019-06-01,380
I45-51 (cardiac deaths),2019-06-08,371
I45-51 (cardiac deaths),2019-06-15,351
I45-51 (cardiac deaths),2019-06-22,344
I45-51 (cardiac deaths),2019-06-29,343
I45-51 (cardiac deaths),2019-07-06,355
I45-51 (cardiac deaths),2019-07-13,344
I45-51 (cardiac deaths),2019-07-20,332
I45-51 (cardiac deaths),2019-07-27,355
I45-51 (cardiac deaths),2019-08-03,390
I45-51 (cardiac deaths),2019-08-10,365
I45-51 (cardiac deaths),2019-08-17,351
I45-51 (cardiac deaths),2019-08-24,328
I45-51 (cardiac deaths),2019-08-31,350
I45-51 (cardiac deaths),2019-09-07,368
I45-51 (cardiac deaths),2019-09-14,340
I45-51 (cardiac deaths),2019-09-21,319
I45-51 (cardiac deaths),2019-09-28,359
I45-51 (cardiac deaths),2019-10-05,354
I45-51 (cardiac deaths),2019-10-12,355
I45-51 (cardiac deaths),2019-10-19,337
I45-51 (cardiac deaths),2019-10-26,362
I45-51 (cardiac deaths),2019-11-02,374
I45-51 (cardiac deaths),2019-11-09,380
I45-51 (cardiac deaths),2019-11-16,371
I45-51 (cardiac deaths),2019-11-23,366
I45-51 (cardiac deaths),2019-11-30,389
I45-51 (cardiac deaths),2019-12-07,388
I45-51 (cardiac deaths),2019-12-14,344
I45-51 (cardiac deaths),2019-12-21,405
I45-51 (cardiac deaths),2019-12-28,422
I45-51 (cardiac deaths),2020-01-04,433
I45-51 (cardiac deaths),2020-01-11,437
I45-51 (cardiac deaths),2020-01-18,418
I45-51 (cardiac deaths),2020-01-25,409
I45-51 (cardiac deaths),2020-02-01,401
I45-51 (cardiac deaths),2020-02-08,421
I45-51 (cardiac deaths),2020-02-15,400
I45-51 (cardiac deaths),2020-02-22,377
I45-51 (cardiac deaths),2020-02-29,405
I45-51 (cardiac deaths),2020-03-07,443
I45-51 (cardiac deaths),2020-03-14,419
I45-51 (cardiac deaths),2020-03-21,418
I45-51 (cardiac deaths),2020-03-28,436
I45-51 (cardiac deaths),2020-04-04,569
I45-51 (cardiac deaths),2020-04-11,571
I45-51 (cardiac deaths),2020-04-18,535
I45-51 (cardiac deaths),2020-04-25,481
I45-51 (cardiac deaths),2020-05-02,500
I45-51 (cardiac deaths),2020-05-09,471
I45-51 (cardiac deaths),2020-05-16,514
I45-51 (cardiac deaths),2020-05-23,502
I45-51 (cardiac deaths),2020-05-30,442
I45-51 (cardiac deaths),2020-06-06,460
I45-51 (cardiac deaths),2020-06-13,462
I45-51 (cardiac deaths),2020-06-20,512
I45-51 (cardiac deaths),2020-06-27,480
I45-51 (cardiac deaths),2020-07-04,471
I45-51 (cardiac deaths),2020-07-11,504
I45-51 (cardiac deaths),2020-07-18,529
I45-51 (cardiac deaths),2020-07-25,559
I45-51 (cardiac deaths),2020-08-01,521
I45-51 (cardiac deaths),2020-08-08,488
I45-51 (cardiac deaths),2020-08-15,472
I45-51 (cardiac deaths),2020-08-22,491
I45-51 (cardiac deaths),2020-08-29,500
I45-51 (cardiac deaths),2020-09-05,498
I45-51 (cardiac deaths),2020-09-12,458
I45-51 (cardiac deaths),2020-09-19,425
I45-51 (cardiac deaths),2020-09-26,481
I45-51 (cardiac deaths),2020-10-03,416
I45-51 (cardiac deaths),2020-10-10,448
I45-51 (cardiac deaths),2020-10-17,462
I45-51 (cardiac deaths),2020-10-24,462
I45-51 (cardiac deaths),2020-10-31,492
I45-51 (cardiac deaths),2020-11-07,502
I45-51 (cardiac deaths),2020-11-14,463
I45-51 (cardiac deaths),2020-11-21,464
I45-51 (cardiac deaths),2020-11-28,496
I45-51 (cardiac deaths),2020-12-05,514
I45-51 (cardiac deaths),2020-12-12,499
I45-51 (cardiac deaths),2020-12-19,533
I45-51 (cardiac deaths),2020-12-26,564
I45-51 (cardiac deaths),2021-01-02,570
I45-51 (cardiac deaths),2021-01-09,654
I45-51 (cardiac deaths),2021-01-16,633
I45-51 (cardiac deaths),2021-01-23,586
I45-51 (cardiac deaths),2021-01-30,566
I45-51 (cardiac deaths),2021-02-06,557
I45-51 (cardiac deaths),2021-02-13,539
I45-51 (cardiac deaths),2021-02-20,546
I45-51 (cardiac deaths),2021-02-27,540
I45-51 (cardiac deaths),2021-03-06,477
I45-51 (cardiac deaths),2021-03-13,475
I45-51 (cardiac deaths),2021-03-20,543
I45-51 (cardiac deaths),2021-03-27,511
I45-51 (cardiac deaths),2021-04-03,543
I45-51 (cardiac deaths),2021-04-10,494
I45-51 (cardiac deaths),2021-04-17,543
I45-51 (cardiac deaths),2021-04-24,544
I45-51 (cardiac deaths),2021-05-01,486
I45-51 (cardiac deaths),2021-05-08,480
I45-51 (cardiac deaths),2021-05-15,489
I45-51 (cardiac deaths),2021-05-22,490
I45-51 (cardiac deaths),2021-05-29,458
I45-51 (cardiac deaths),2021-06-05,507
I45-51 (cardiac deaths),2021-06-12,490
I45-51 (cardiac deaths),2021-06-19,514
I45-51 (cardiac deaths),2021-06-26,484
I45-51 (cardiac deaths),2021-07-03,474
I45-51 (cardiac deaths),2021-07-10,483
I45-51 (cardiac deaths),2021-07-17,495
I45-51 (cardiac deaths),2021-07-24,505
I45-51 (cardiac deaths),2021-07-31,587
I45-51 (cardiac deaths),2021-08-07,582
I45-51 (cardiac deaths),2021-08-14,647
I45-51 (cardiac deaths),2021-08-21,661
I45-51 (cardiac deaths),2021-08-28,705
I45-51 (cardiac deaths),2021-09-04,736
I45-51 (cardiac deaths),2021-09-11,729
I45-51 (cardiac deaths),2021-09-18,654
I45-51 (cardiac deaths),2021-09-25,693
I45-51 (cardiac deaths),2021-10-02,649
I45-51 (cardiac deaths),2021-10-09,603
I45-51 (cardiac deaths),2021-10-16,573
I45-51 (cardiac deaths),2021-10-23,579
I45-51 (cardiac deaths),2021-10-30,510
I45-51 (cardiac deaths),2021-11-06,553
I45-51 (cardiac deaths),2021-11-13,521
I45-51 (cardiac deaths),2021-11-20,499
I45-51 (cardiac deaths),2021-11-27,582
I45-51 (cardiac deaths),2021-12-04,565
I45-51 (cardiac deaths),2021-12-11,612
I45-51 (cardiac deaths),2021-12-18,551
I45-51 (cardiac deaths),2021-12-25,580
I45-51 (cardiac deaths),2022-01-01,664
I45-51 (cardiac deaths),2022-01-08,657
I45-51 (cardiac deaths),2022-01-15,715
I45-51 (cardiac deaths),2022-01-22,683
I45-51 (cardiac deaths),2022-01-29,571
I45-51 (cardiac deaths),2022-02-05,566
I45-51 (cardiac deaths),2022-02-12,579
I45-51 (cardiac deaths),2022-02-19,523
I45-51 (cardiac deaths),2022-02-26,495
I45-51 (cardiac deaths),2022-03-05,509
I45-51 (cardiac deaths),2022-03-12,451
I45-51 (cardiac deaths),2022-03-19,459
I45-51 (cardiac deaths),2022-03-26,466
I45-51 (cardiac deaths),2022-04-02,485
I45-51 (cardiac deaths),2022-04-09,454
I45-51 (cardiac deaths),2022-04-16,436
I45-51 (cardiac deaths),2022-04-23,508
I45-51 (cardiac deaths),2022-04-30,424
I45-51 (cardiac deaths),2022-05-07,451
I45-51 (cardiac deaths),2022-05-14,423
I45-51 (cardiac deaths),2022-05-21,417
I45-51 (cardiac deaths),2022-05-28,443
I45-51 (cardiac deaths),2022-06-04,419
I45-51 (cardiac deaths),2022-06-11,450
I45-51 (cardiac deaths),2022-06-18,450
I45-51 (cardiac deaths),2022-06-25,472
I45-51 (cardiac deaths),2022-07-02,464
I45-51 (cardiac deaths),2022-07-09,448
I45-51 (cardiac deaths),2022-07-16,463
I45-51 (cardiac deaths),2022-07-23,460
I45-51 (cardiac deaths),2022-07-30,495
I45-51 (cardiac deaths),2022-08-06,423
I45-51 (cardiac deaths),2022-08-13,464
I45-51 (cardiac deaths),2022-08-20,422
I45-51 (cardiac deaths),2022-08-27,480
I45-51 (cardiac deaths),2022-09-03,454
I45-51 (cardiac deaths),2022-09-10,465
I45-51 (cardiac deaths),2022-09-17,463
I45-51 (cardiac deaths),2022-09-24,449
I45-51 (cardiac deaths),2022-10-01,459
I45-51 (cardiac deaths),2022-10-08,448
I45-51 (cardiac deaths),2022-10-15,441
I45-51 (cardiac deaths),2022-10-22,449
I45-51 (cardiac deaths),2022-10-29,483
I45-51 (cardiac deaths),2022-11-05,478
I45-51 (cardiac deaths),2022-11-12,454
I45-51 (cardiac deaths),2022-11-19,454
I45-51 (cardiac deaths),2022-11-26,502
I45-51 (cardiac deaths),2022-12-03,511
I45-51 (cardiac deaths),2022-12-10,497
I45-51 (cardiac deaths),2022-12-17,512
I45-51 (cardiac deaths),2022-12-24,542
I45-51 (cardiac deaths),2022-12-31,570
I45-51 (cardiac deaths),2023-01-07,518
I45-51 (cardiac deaths),2023-01-14,476
I45-51 (cardiac deaths),2023-01-21,488
I45-51 (cardiac deaths),2023-01-28,506
I45-51 (cardiac deaths),2023-02-04,488
I45-51 (cardiac deaths),2023-02-11,467
I45-51 (cardiac deaths),2023-02-18,450
I45-51 (cardiac deaths),2023-02-25,459
I45-51 (cardiac deaths),2023-03-04,498
I45-51 (cardiac deaths),2023-03-11,472
I45-51 (cardiac deaths),2023-03-18,461
I45-51 (cardiac deaths),2023-03-25,449
I45-51 (cardiac deaths),2023-04-01,430
I45-51 (cardiac deaths),2023-04-08,413
I45-51 (cardiac deaths),2023-04-15,439
I45-51 (cardiac deaths),2023-04-22,425
I45-51 (cardiac deaths),2023-04-29,465
I45-51 (cardiac deaths),2023-05-06,476
I45-51 (cardiac deaths),2023-05-13,421
I45-51 (cardiac deaths),2023-05-20,428
I45-51 (cardiac deaths),2023-05-27,421
I45-51 (cardiac deaths),2023-06-03,409
I45-51 (cardiac deaths),2023-06-10,426
I45-51 (cardiac deaths),2023-06-17,439
I45-51 (cardiac deaths),2023-06-24,366
I45-51 (cardiac deaths),2023-07-01,398
I45-51 (cardiac deaths),2023-07-08,415
I45-51 (cardiac deaths),2023-07-15,386
I45-51 (cardiac deaths),2023-07-22,421
I45-51 (cardiac deaths),2023-07-29,419
I45-51 (cardiac deaths),2023-08-05,433
I45-51 (cardiac deaths),2023-08-12,430
I45-51 (cardiac deaths),2023-08-19,425
I45-51 (cardiac deaths),2023-08-26,417
I45-51 (cardiac deaths),2023-09-02,386
I45-51 (cardiac deaths),2023-09-09,420
I45-51 (cardiac deaths),2023-09-16,408
I45-51 (cardiac deaths),2023-09-23,403
I45-51 (cardiac deaths),2023-09-30,425
I45-51 (cardiac deaths),2023-10-07,378
I45-51 (cardiac deaths),2023-10-14,403
I45-51 (cardiac deaths),2023-10-21,365
I45-51 (cardiac deaths),2023-10-28,357
I45-51 (cardiac deaths),2023-11-04,397
I45-51 (cardiac deaths),2023-11-11,376
I45-51 (cardiac deaths),2023-11-18,412
I45-51 (cardiac deaths),2023-11-25,407
I45-51 (cardiac deaths),2023-12-02,433
I45-51 (cardiac deaths),2023-12-09,415
I45-51 (cardiac deaths),2023-12-16,384
I45-51 (cardiac deaths),2023-12-23,408
I45-51 (cardiac deaths),2023-12-30,426
I45-51 (cardiac deaths),2024-01-06,450
I45-51 (cardiac deaths),2024-01-13,406
I45-51 (cardiac deaths),2024-01-20,416
I45-51 (cardiac deaths),2024-01-27,364
I45-51 (cardiac deaths),2024-02-03,359
I45-51 (cardiac deaths),2024-02-10,358
I45-51 (cardiac deaths),2024-02-17,322
I45-51 (cardiac deaths),2024-02-24,335
I45-51 (cardiac deaths),2024-03-02,327
I45-51 (cardiac deaths),2024-03-09,250
I45-51 (cardiac deaths),2024-03-16,213
I45-51 (cardiac deaths),2024-03-23,140
R09.2 (respiratory arrest),2018-01-06,34
R09.2 (respiratory arrest),2018-01-13,43
R09.2 (respiratory arrest),2018-01-20,26
R09.2 (respiratory arrest),2018-01-27,34
R09.2 (respiratory arrest),2018-02-03,35
R09.2 (respiratory arrest),2018-02-10,38
R09.2 (respiratory arrest),2018-02-17,36
R09.2 (respiratory arrest),2018-02-24,36
R09.2 (respiratory arrest),2018-03-03,36
R09.2 (respiratory arrest),2018-03-10,26
R09.2 (respiratory arrest),2018-03-17,33
R09.2 (respiratory arrest),2018-03-24,35
R09.2 (respiratory arrest),2018-03-31,34
R09.2 (respiratory arrest),2018-04-07,28
R09.2 (respiratory arrest),2018-04-14,29
R09.2 (respiratory arrest),2018-04-21,28
R09.2 (respiratory arrest),2018-04-28,29
R09.2 (respiratory arrest),2018-05-05,35
R09.2 (respiratory arrest),2018-05-12,32
R09.2 (respiratory arrest),2018-05-19,33
R09.2 (respiratory arrest),2018-05-26,29
R09.2 (respiratory arrest),2018-06-02,26
R09.2 (respiratory arrest),2018-06-09,29
R09.2 (respiratory arrest),2018-06-16,27
R09.2 (respiratory arrest),2018-06-23,26
R09.2 (respiratory arrest),2018-06-30,24
R09.2 (respiratory arrest),2018-07-07,24
R09.2 (respiratory arrest),2018-07-14,36
R09.2 (respiratory arrest),2018-07-21,33
R09.2 (respiratory arrest),2018-07-28,26
R09.2 (respiratory arrest),2018-08-04,41
R09.2 (respiratory arrest),2018-08-11,28
R09.2 (respiratory arrest),2018-08-18,32
R09.2 (respiratory arrest),2018-08-25,22
R09.2 (respiratory arrest),2018-09-01,30
R09.2 (respiratory arrest),2018-09-08,24
R09.2 (respiratory arrest),2018-09-15,36
R09.2 (respiratory arrest),2018-09-22,31
R09.2 (respiratory arrest),2018-09-29,26
R09.2 (respiratory arrest),2018-10-06,37
R09.2 (respiratory arrest),2018-10-13,25
R09.2 (respiratory arrest),2018-10-20,30
R09.2 (respiratory arrest),2018-10-27,31
R09.2 (respiratory arrest),2018-11-03,34
R09.2 (respiratory arrest),2018-11-10,36
R09.2 (respiratory arrest),2018-11-17,34
R09.2 (respiratory arrest),2018-11-24,33
R09.2 (respiratory arrest),2018-12-01,37
R09.2 (respiratory arrest),2018-12-08,27
R09.2 (respiratory arrest),2018-12-15,33
R09.2 (respiratory arrest),2018-12-22,28
R09.2 (respiratory arrest),2018-12-29,24
R09.2 (respiratory arrest),2019-01-05,26
R09.2 (respiratory arrest),2019-01-12,27
R09.2 (respiratory arrest),2019-01-19,28
R09.2 (respiratory arrest),2019-01-26,30
R09.2 (respiratory arrest),2019-02-02,34
R09.2 (respiratory arrest),2019-02-09,30
R09.2 (respiratory arrest),2019-02-16,29
R09.2 (respiratory arrest),2019-02-23,38
R09.2 (respiratory arrest),2019-03-02,20
R09.2 (respiratory arrest),2019-03-09,42
R09.2 (respiratory arrest),2019-03-16,36
R09.2 (respiratory arrest),2019-03-23,32
R09.2 (respiratory arrest),2019-03-30,35
R09.2 (respiratory arrest),2019-04-06,30
R09.2 (respiratory arrest),2019-04-13,39
R09.2 (respiratory arrest),2019-04-20,35
R09.2 (respiratory arrest),2019-04-27,34
R09.2 (respiratory arrest),2019-05-04,36
R09.2 (respiratory arrest),2019-05-11,35
R09.2 (respiratory arrest),2019-05-18,28
R09.2 (respiratory arrest),2019-05-25,18
R09.2 (respiratory arrest),2019-06-01,26
R09.2 (respiratory arrest),2019-06-08,34
R09.2 (respiratory arrest),2019-06-15,24
R09.2 (respiratory arrest),2019-06-22,27
R09.2 (respiratory arrest),2019-06-29,29
R09.2 (respiratory arrest),2019-07-06,23
R09.2 (respiratory arrest),2019-07-13,28
R09.2 (respiratory arrest),2019-07-20,20
R09.2 (respiratory arrest),2019-07-27,28
R09.2 (respiratory arrest),2019-08-03,23
R09.2 (respiratory arrest),2019-08-10,22
R09.2 (respiratory arrest),2019-08-17,33
R09.2 (respiratory arrest),2019-08-24,30
R09.2 (respiratory arrest),2019-08-31,20
R09.2 (respiratory arrest),2019-09-07,19
R09.2 (respiratory arrest),2019-09-14,29
R09.2 (respiratory arrest),2019-09-21,25
R09.2 (respiratory arrest),2019-09-28,26
R09.2 (respiratory arrest),2019-10-05,29
R09.2 (respiratory arrest),2019-10-12,20
R09.2 (respiratory arrest),2019-10-19,34
R09.2 (respiratory arrest),2019-10-26,27
R09.2 (respiratory arrest),2019-11-02,26
R09.2 (respiratory arrest),2019-11-09,32
R09.2 (respiratory arrest),2019-11-16,21
R09.2 (respiratory arrest),2019-11-23,26
R09.2 (respiratory arrest),2019-11-30,36
R09.2 (respiratory arrest),2019-12-07,30
R09.2 (respiratory arrest),2019-12-14,28
R09.2 (respiratory arrest),2019-12-21,30
R09.2 (respiratory arrest),2019-12-28,30
R09.2 (respiratory arrest),2020-01-04,38
R09.2 (respiratory arrest),2020-01-11,33
R09.2 (respiratory arrest),2020-01-18,34
R09.2 (respiratory arrest),2020-01-25,32
R09.2 (respiratory arrest),2020-02-01,30
R09.2 (respiratory arrest),2020-02-08,34
R09.2 (respiratory arrest),2020-02-15,35
R09.2 (respiratory arrest),2020-02-22,26
R09.2 (respiratory arrest),2020-02-29,30
R09.2 (respiratory arrest),2020-03-07,27
R09.2 (respiratory arrest),2020-03-14,29
R09.2 (respiratory arrest),2020-03-21,30
R09.2 (respiratory arrest),2020-03-28,37
R09.2 (respiratory arrest),2020-04-04,40
R09.2 (respiratory arrest),2020-04-11,52
R09.2 (respiratory arrest),2020-04-18,34
R09.2 (respiratory arrest),2020-04-25,38
R09.2 (respiratory arrest),2020-05-02,35
R09.2 (respiratory arrest),2020-05-09,37
R09.2 (respiratory arrest),2020-05-16,35
R09.2 (respiratory arrest),2020-05-23,27
R09.2 (respiratory arrest),2020-05-30,36
R09.2 (respiratory arrest),2020-06-06,32
R09.2 (respiratory arrest),2020-06-13,43
R09.2 (respiratory arrest),2020-06-20,20
R09.2 (respiratory arrest),2020-06-27,39
R09.2 (respiratory arrest),2020-07-04,37
R09.2 (respiratory arrest),2020-07-11,47
R09.2 (respiratory arrest),2020-07-18,47
R09.2 (respiratory arrest),2020-07-25,24
R09.2 (respiratory arrest),2020-08-01,36
R09.2 (respiratory arrest),2020-08-08,43
R09.2 (respiratory arrest),2020-08-15,40
R09.2 (respiratory arrest),2020-08-22,43
R09.2 (respiratory arrest),2020-08-29,38
R09.2 (respiratory arrest),2020-09-05,43
R09.2 (respiratory arrest),2020-09-12,37
R09.2 (respiratory arrest),2020-09-19,27
R09.2 (respiratory arrest),2020-09-26,27
R09.2 (respiratory arrest),2020-10-03,27
R09.2 (respiratory arrest),2020-10-10,37
R09.2 (respiratory arrest),2020-10-17,28
R09.2 (respiratory arrest),2020-10-24,34
R09.2 (respiratory arrest),2020-10-31,38
R09.2 (respiratory arrest),2020-11-07,37
R09.2 (respiratory arrest),2020-11-14,44
R09.2 (respiratory arrest),2020-11-21,28
R09.2 (respiratory arrest),2020-11-28,39
R09.2 (respiratory arrest),2020-12-05,34
R09.2 (respiratory arrest),2020-12-12,39
R09.2 (respiratory arrest),2020-12-19,45
R09.2 (respiratory arrest),2020-12-26,58
R09.2 (respiratory arrest),2021-01-02,43
R09.2 (respiratory arrest),2021-01-09,52
R09.2 (respiratory arrest),2021-01-16,36
R09.2 (respiratory arrest),2021-01-23,36
R09.2 (respiratory arrest),2021-01-30,51
R09.2 (respiratory arrest),2021-02-06,46
R09.2 (respiratory arrest),2021-02-13,30
R09.2 (respiratory arrest),2021-02-20,32
R09.2 (respiratory arrest),2021-02-27,42
R09.2 (respiratory arrest),2021-03-06,42
R09.2 (respiratory arrest),2021-03-13,35
R09.2 (respiratory arrest),2021-03-20,39
R09.2 (respiratory arrest),2021-03-27,31
R09.2 (respiratory arrest),2021-04-03,45
R09.2 (respiratory arrest),2021-04-10,37
R09.2 (respiratory arrest),2021-04-17,43
R09.2 (respiratory arrest),2021-04-24,35
R09.2 (respiratory arrest),2021-05-01,38
R09.2 (respiratory arrest),2021-05-08,40
R09.2 (respiratory arrest),2021-05-15,37
R09.2 (respiratory arrest),2021-05-22,34
R09.2 (respiratory arrest),2021-05-29,36
R09.2 (respiratory arrest),2021-06-05,30
R09.2 (respiratory arrest),2021-06-12,33
R09.2 (respiratory arrest),2021-06-19,33
R09.2 (respiratory arrest),2021-06-26,36
R09.2 (respiratory arrest),2021-07-03,27
R09.2 (respiratory arrest),2021-07-10,38
R09.2 (respiratory arrest),2021-07-17,33
R09.2 (respiratory arrest),2021-07-24,41
R09.2 (respiratory arrest),2021-07-31,39
R09.2 (respiratory arrest),2021-08-07,50
R09.2 (respiratory arrest),2021-08-14,61
R09.2 (respiratory arrest),2021-08-21,62
R09.2 (respiratory arrest),2021-08-28,76
R09.2 (respiratory arrest),2021-09-04,66
R09.2 (respiratory arrest),2021-09-11,67
R09.2 (respiratory arrest),2021-09-18,58
R09.2 (respiratory arrest),2021-09-25,73
R09.2 (respiratory arrest),2021-10-02,61
R09.2 (respiratory arrest),2021-10-09,57
R09.2 (respiratory arrest),2021-10-16,58
R09.2 (respiratory arrest),2021-10-23,44
R09.2 (respiratory arrest),2021-10-30,49
R09.2 (respiratory arrest),2021-11-06,42
R09.2 (respiratory arrest),2021-11-13,37
R09.2 (respiratory arrest),2021-11-20,35
R09.2 (respiratory arrest),2021-11-27,45
R09.2 (respiratory arrest),2021-12-04,46
R09.2 (respiratory arrest),2021-12-11,48
R09.2 (respiratory arrest),2021-12-18,51
R09.2 (respiratory arrest),2021-12-25,42
R09.2 (respiratory arrest),2022-01-01,48
R09.2 (respiratory arrest),2022-01-08,45
R09.2 (respiratory arrest),2022-01-15,62
R09.2 (respiratory arrest),2022-01-22,43
R09.2 (respiratory arrest),2022-01-29,48
R09.2 (respiratory arrest),2022-02-05,60
R09.2 (respiratory arrest),2022-02-12,44
R09.2 (respiratory arrest),2022-02-19,34
R09.2 (respiratory arrest),2022-02-26,26
R09.2 (respiratory arrest),2022-03-05,33
R09.2 (respiratory arrest),2022-03-12,27
R09.2 (respiratory arrest),2022-03-19,34
R09.2 (respiratory arrest),2022-03-26,32
R09.2 (respiratory arrest),2022-04-02,31
R09.2 (respiratory arrest),2022-04-09,32
R09.2 (respiratory arrest),2022-04-16,42
R09.2 (respiratory arrest),2022-04-23,34
R09.2 (respiratory arrest),2022-04-30,25
R09.2 (respiratory arrest),2022-05-07,29
R09.2 (respiratory arrest),2022-05-14,27
R09.2 (respiratory arrest),2022-05-21,32
R09.2 (respiratory arrest),2022-05-28,27
R09.2 (respiratory arrest),2022-06-04,30
R09.2 (respiratory arrest),2022-06-11,51
R09.2 (respiratory arrest),2022-06-18,31
R09.2 (respiratory arrest),2022-06-25,50
R09.2 (respiratory arrest),2022-07-02,37
R09.2 (respiratory arrest),2022-07-09,29
R09.2 (respiratory arrest),2022-07-16,26
R09.2 (respiratory arrest),2022-07-23,30
R09.2 (respiratory arrest),2022-07-30,30
R09.2 (respiratory arrest),2022-08-06,35
R09.2 (respiratory arrest),2022-08-13,33
R09.2 (respiratory arrest),2022-08-20,39
R09.2 (respiratory arrest),2022-08-27,23
R09.2 (respiratory arrest),2022-09-03,34
R09.2 (respiratory arrest),2022-09-10,30
R09.2 (respiratory arrest),2022-09-17,35
R09.2 (respiratory arrest),2022-09-24,34
R09.2 (respiratory arrest),2022-10-01,33
R09.2 (respiratory arrest),2022-10-08,31
R09.2 (respiratory arrest),2022-10-15,24
R09.2 (respiratory arrest),2022-10-22,31
R09.2 (respiratory arrest),2022-10-29,30
R09.2 (respiratory arrest),2022-11-05,43
R09.2 (respiratory arrest),2022-11-12,28
R09.2 (respiratory arrest),2022-11-19,29
R09.2 (respiratory arrest),2022-11-26,42
R09.2 (respiratory arrest),2022-12-03,44
R09.2 (respiratory arrest),2022-12-10,33
R09.2 (respiratory arrest),2022-12-17,31
R09.2 (respiratory arrest),2022-12-24,37
R09.2 (respiratory arrest),2022-12-31,52
R09.2 (respiratory arrest),2023-01-07,47
R09.2 (respiratory arrest),2023-01-14,33
R09.2 (respiratory arrest),2023-01-21,33
R09.2 (respiratory arrest),2023-01-28,31
R09.2 (respiratory arrest),2023-02-04,33
R09.2 (respiratory arrest),2023-02-11,21
R09.2 (respiratory arrest),2023-02-18,26
R09.2 (respiratory arrest),2023-02-25,33
R09.2 (respiratory arrest),2023-03-04,33
R09.2 (respiratory arrest),2023-03-11,24
R09.2 (respiratory arrest),2023-03-18,30
R09.2 (respiratory arrest),2023-03-25,30
R09.2 (respiratory arrest),2023-04-01,33
R09.2 (respiratory arrest),2023-04-08,35
R09.2 (respiratory arrest),2023-04-15,29
R09.2 (respiratory arrest),2023-04-22,24
R09.2 (respiratory arrest),2023-04-29,42
R09.2 (respiratory arrest),2023-05-06,21
R09.2 (respiratory arrest),2023-05-13,40
R09.2 (respiratory arrest),2023-05-20,31
R09.2 (respiratory arrest),2023-05-27,27
R09.2 (respiratory arrest),2023-06-03,27
