cause,year,dead
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2021,1036
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2022,1087
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2023,1078
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2024,1067
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2025,557
Diseases of the digestive system (K00-K92),2018,556
Diseases of the digestive system (K00-K92),2019,535
Diseases of the digestive system (K00-K92),2020,517
Diseases of the digestive system (K00-K92),2021,536
Diseases of the digestive system (K00-K92),2022,577
Diseases of the digestive system (K00-K92),2023,564
Diseases of the digestive system (K00-K92),2024,576
Diseases of the digestive system (K00-K92),2025,324
"Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",2018,89
"Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",2019,95
"Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",2020,81
"Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",2021,85
"Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",2022,96
"Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",2023,101
"Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",2024,87
"Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",2025,45
"Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)",2018,79
"Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)",2019,71
"Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)",2020,62
"Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)",2021,80
"Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)",2022,80
"Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)",2023,77
"Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)",2024,63
"Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)",2025,37
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2018,427
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2019,398
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2020,404
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2021,415
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2022,441
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2023,429
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2024,461
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2025,262
Diseases of the genitourinary system (N00-N95),2018,541
Diseases of the genitourinary system (N00-N95),2019,566
Diseases of the genitourinary system (N00-N95),2020,524
Diseases of the genitourinary system (N00-N95),2021,575
Diseases of the genitourinary system (N00-N95),2022,458
Diseases of the genitourinary system (N00-N95),2023,480
Diseases of the genitourinary system (N00-N95),2024,503
Diseases of the genitourinary system (N00-N95),2025,258
"Renal failure and other disorders of kidney (N17-N19,N25,N27)",2018,408
"Renal failure and other disorders of kidney (N17-N19,N25,N27)",2019,408
"Renal failure and other disorders of kidney (N17-N19,N25,N27)",2020,367
"Renal failure and other disorders of kidney (N17-N19,N25,N27)",2021,432
"Renal failure and other disorders of kidney (N17-N19,N25,N27)",2022,355
"Renal failure and other disorders of kidney (N17-N19,N25,N27)",2023,380
"Renal failure and other disorders of kidney (N17-N19,N25,N27)",2024,402
"Renal failure and other disorders of kidney (N17-N19,N25,N27)",2025,207
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2018,142
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2019,167
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2020,174
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2021,161
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2022,111
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2023,115
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2024,111
"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)",2025,57
Certain conditions originating in the perinatal period (P00-P96),2018,13837
Certain conditions originating in the perinatal period (P00-P96),2019,13413
Certain conditions originating in the perinatal period (P00-P96),2020,12413
Certain conditions originating in the perinatal period (P00-P96),2021,12480
Certain conditions originating in the perinatal period (P00-P96),2022,12876
Certain conditions originating in the perinatal period (P00-P96),2023,12744
Certain conditions originating in the perinatal period (P00-P96),2024,12928
Certain conditions originating in the perinatal period (P00-P96),2025,6969
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2018,2856
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2019,2676
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2020,2562
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2021,2524
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2022,2714
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2023,2485
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2024,2605
"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)",2025,1377
Newborn affected by maternal hypertensive disorders (P00.0),2018,89
Newborn affected by maternal hypertensive disorders (P00.0),2019,101
Newborn affected by maternal hypertensive disorders (P00.0),2020,86
Newborn affected by maternal hypertensive disorders (P00.0),2021,85
Newborn affected by maternal hypertensive disorders (P00.0),2022,103
Newborn affected by maternal hypertensive disorders (P00.0),2023,92
Newborn affected by maternal hypertensive disorders (P00.0),2024,106
Newborn affected by maternal hypertensive disorders (P00.0),2025,44
Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9),2018,129
Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9),2019,120
Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9),2020,164
Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9),2021,159
Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9),2022,162
Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9),2023,169
Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9),2024,113
Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9),2025,60
Newborn affected by maternal complications of pregnancy (P01),2018,1725
Newborn affected by maternal complications of pregnancy (P01),2019,1586
Newborn affected by maternal complications of pregnancy (P01),2020,1472
Newborn affected by maternal complications of pregnancy (P01),2021,1447
Newborn affected by maternal complications of pregnancy (P01),2022,1569
Newborn affected by maternal complications of pregnancy (P01),2023,1486
Newborn affected by maternal complications of pregnancy (P01),2024,1540
Newborn affected by maternal complications of pregnancy (P01),2025,852
Newborn affected by incompetent cervix (P01.0),2018,426
Newborn affected by incompetent cervix (P01.0),2019,408
Newborn affected by incompetent cervix (P01.0),2020,352
Newborn affected by incompetent cervix (P01.0),2021,378
Newborn affected by incompetent cervix (P01.0),2022,353
Newborn affected by incompetent cervix (P01.0),2023,356
Newborn affected by incompetent cervix (P01.0),2024,349
Newborn affected by incompetent cervix (P01.0),2025,229
Newborn affected by premature rupture of membranes (P01.1),2018,923
