year,sex,race,dead,pop,type
2016,Male,Black or African American,3942,316141,born
2016,Male,White,8143,1485445,born
2017,Female,American Indian or Alaska Native,150,17785,born
2017,Female,Black or African American,3128,307729,born
2017,Female,White,6123,1372205,born
2017,Male,American Indian or Alaska Native,186,18597,born
2017,Male,Black or African American,3971,318298,born
2017,Male,White,7744,1440062,born
2018,Female,American Indian or Alaska Native,121,17893,born
2018,Female,Asian,348,122480,born
2018,Female,Black or African American,2814,296198,born
2018,Female,More than one race,381,48869,born
2018,Female,Native Hawaiian or Other Pacific Islander,39,6151,born
2018,Female,White,5696,1361942,born
2018,Male,American Indian or Alaska Native,142,18591,born
2018,Male,Asian,392,130405,born
2018,Male,Black or African American,3645,304735,born
2018,Male,More than one race,548,51701,born
2018,Male,Native Hawaiian or Other Pacific Islander,49,6250,born
2018,Male,White,7292,1426497,born
2019,Female,American Indian or Alaska Native,121,17908,born
2019,Female,Asian,281,121415,born
2019,Female,Black or African American,2880,295190,born
2019,Female,More than one race,414,49588,born
2019,Female,Native Hawaiian or Other Pacific Islander,35,6319,born
2019,Female,White,5516,1339674,born
2019,Male,American Indian or Alaska Native,145,18473,born
2019,Male,Asian,378,130684,born
2019,Male,Black or African American,3533,305091,born
2019,Male,More than one race,494,51685,born
2019,Male,Native Hawaiian or Other Pacific Islander,54,6617,born
2019,Male,White,7070,1404896,born
2020,Female,American Indian or Alaska Native,105,17200,born
2020,Female,Asian,245,112407,born
2020,Female,Black or African American,2711,287602,born
2020,Female,More than one race,365,49803,born
2020,Female,Native Hawaiian or Other Pacific Islander,39,6260,born
2020,Female,White,5258,1292283,born
2020,Male,American Indian or Alaska Native,133,17973,born
2020,Male,Asian,309,119382,born
2020,Male,Black or African American,3340,297377,born
2020,Male,More than one race,517,51691,born
2020,Male,Native Hawaiian or Other Pacific Islander,45,6522,born
2020,Male,White,6515,1355147,born
2021,Female,American Indian or Alaska Native,107,17033,born
2021,Female,Asian,295,110121,born
2021,Female,Black or African American,2687,284257,born
2021,Female,More than one race,445,50800,born
2021,Female,Native Hawaiian or Other Pacific Islander,26,6435,born
2021,Female,White,5451,1322230,born
2021,Male,American Indian or Alaska Native,131,17823,born
2021,Male,Asian,375,116965,born
2021,Male,Black or African American,3319,292784,born
2021,Male,More than one race,500,53331,born
2021,Male,Native Hawaiian or Other Pacific Islander,54,6765,born
2021,Male,White,6530,1385748,born
2022,Female,American Indian or Alaska Native,107,17625,born
2022,Female,Asian,292,112940,born
2022,Female,Black or African American,2743,282222,born
2022,Female,More than one race,463,51858,born
2022,Female,Native Hawaiian or Other Pacific Islander,43,7057,born
2022,Female,White,5534,1321610,born
2022,Male,American Indian or Alaska Native,147,18176,born
2022,Male,Asian,377,119796,born
2022,Male,Black or African American,3431,291700,born
2022,Male,More than one race,514,53701,born
2022,Male,Native Hawaiian or Other Pacific Islander,57,7526,born
2022,Male,White,6845,1383547,born
2023,Female,American Indian or Alaska Native,123,17217,born
2023,Female,Asian,281,110802,born
2023,Female,Black or African American,2700,272546,born
2023,Female,More than one race,464,51776,born
2023,Female,Native Hawaiian or Other Pacific Islander,46,6970,born
2023,Female,White,5424,1296912,born
2023,Male,American Indian or Alaska Native,137,17897,born
2023,Male,Asian,357,118413,born
2023,Male,Black or African American,3194,282187,born
2023,Male,More than one race,573,54400,born
2023,Male,Native Hawaiian or Other Pacific Islander,54,7164,born
2023,Male,White,6792,1359733,born
2024,Female,American Indian or Alaska Native,101,17009,born
2024,Female,Asian,353,116970,born
2024,Female,Black or African American,2615,263582,born
2024,Female,More than one race,425,53461,born
2024,Female,Native Hawaiian or Other Pacific Islander,39,7435,born
2024,Female,White,5616,1311205,born
2024,Male,American Indian or Alaska Native,155,18047,born
2024,Male,Asian,381,124105,born
2024,Male,Black or African American,3154,272593,born
2024,Male,More than one race,576,55721,born
2024,Male,Native Hawaiian or Other Pacific Islander,52,7691,born
2024,Male,White,6583,1370448,born
2025,Female,American Indian or Alaska Native,60,9592,born
2025,Female,Asian,179,67038,born
2025,Female,Black or African American,1430,147803,born
2025,Female,More than one race,255,31745,born
2025,Female,Native Hawaiian or Other Pacific Islander,28,4282,born
2025,Female,White,3073,756974,born
2025,Male,American Indian or Alaska Native,60,10112,born
2025,Male,Asian,220,70986,born
2025,Male,Black or African American,1596,152888,born
2025,Male,More than one race,331,33357,born
2025,Male,Native Hawaiian or Other Pacific Islander,34,4478,born
2025,Male,White,3675,793529,born
2017,Female,American Indian or Alaska Native,137,17785,linked
2017,Female,Asian,475,130961,linked
2017,Female,Black or African American,2924,307729,linked
2017,Female,Native Hawaiian or Other Pacific Islander,38,5510,linked
2017,Female,White,5997,1372205,linked
2017,Female,More than one race,302,48425,linked
2017,Male,American Indian or Alaska Native,177,18597,linked
2017,Male,Asian,604,139247,linked
2017,Male,Black or African American,3674,318298,linked
2017,Male,Native Hawaiian or Other Pacific Islander,45,6070,linked
2017,Male,White,7596,1440062,linked
2017,Male,More than one race,371,50611,linked
2018,Female,American Indian or Alaska Native,124,17893,linked
2018,Female,Asian,429,122480,linked
2018,Female,Black or African American,2720,296198,linked
2018,Female,Native Hawaiian or Other Pacific Islander,44,6151,linked
2018,Female,White,5774,1361942,linked
2018,Female,More than one race,302,48869,linked
2018,Male,American Indian or Alaska Native,157,18591,linked
2018,Male,Asian,535,130405,linked
2018,Male,Black or African American,3587,304735,linked
2018,Male,Native Hawaiian or Other Pacific Islander,59,6250,linked
2018,Male,White,7384,1426497,linked
2018,Male,More than one race,382,51701,linked
2019,Female,American Indian or Alaska Native,120,17908,linked
2019,Female,Asian,386,121415,linked
2019,Female,Black or African American,2827,295190,linked
2019,Female,Native Hawaiian or Other Pacific Islander,34,6319,linked
2019,Female,White,5612,1339674,linked
2019,Female,More than one race,286,49588,linked
2019,Male,American Indian or Alaska Native,157,18473,linked
2019,Male,Asian,499,130684,linked
2019,Male,Black or African American,3429,305091,linked
2019,Male,Native Hawaiian or Other Pacific Islander,66,6617,linked
2019,Male,White,7175,1404896,linked
2019,Male,More than one race,336,51685,linked
2020,Female,American Indian or Alaska Native,120,17200,linked
2020,Female,Asian,349,112407,linked
2020,Female,Black or African American,2641,287602,linked
2020,Female,Native Hawaiian or Other Pacific Islander,36,6260,linked
2020,Female,White,5312,1292283,linked
2020,Female,More than one race,276,49803,linked
2020,Male,American Indian or Alaska Native,150,17973,linked
2020,Male,Asian,430,119382,linked
2020,Male,Black or African American,3221,297377,linked
2020,Male,Native Hawaiian or Other Pacific Islander,50,6522,linked
2020,Male,White,6611,1355147,linked
2020,Male,More than one race,381,51691,linked
2021,Female,American Indian or Alaska Native,115,17033,linked
2021,Female,Asian,391,110121,linked
2021,Female,Black or African American,2601,284257,linked
2021,Female,Native Hawaiian or Other Pacific Islander,38,6435,linked
2021,Female,White,5565,1322230,linked
2021,Female,More than one race,288,50800,linked
2021,Male,American Indian or Alaska Native,129,17823,linked
2021,Male,Asian,502,116965,linked
2021,Male,Black or African American,3234,292784,linked
2021,Male,Native Hawaiian or Other Pacific Islander,48,6765,linked
2021,Male,White,6671,1385748,linked
2021,Male,More than one race,346,53331,linked
2022,Female,American Indian or Alaska Native,121,17625,linked
2022,Female,Asian,385,112940,linked
2022,Female,Black or African American,2691,282222,linked
2022,Female,Native Hawaiian or Other Pacific Islander,51,7057,linked
2022,Female,White,5618,1321610,linked
2022,Female,More than one race,319,51858,linked
2022,Male,American Indian or Alaska Native,166,18176,linked
2022,Male,Asian,498,119796,linked
2022,Male,Black or African American,3300,291700,linked
2022,Male,Native Hawaiian or Other Pacific Islander,64,7526,linked
2022,Male,White,6993,1383547,linked
2022,Male,More than one race,370,53701,linked
2023,Female,American Indian or Alaska Native,119,17217,linked
2023,Female,Asian,374,110802,linked
2023,Female,Black or African American,2703,272546,linked
2023,Female,Native Hawaiian or Other Pacific Islander,57,6970,linked
2023,Female,White,5500,1296912,linked
2023,Female,More than one race,291,51776,linked
2023,Male,American Indian or Alaska Native,171,17897,linked
2023,Male,Asian,482,118413,linked
2023,Male,Black or African American,3142,282187,linked
2023,Male,Native Hawaiian or Other Pacific Islander,53,7164,linked
2023,Male,White,6910,1359733,linked
2023,Male,More than one race,360,54400,linked
2007,Female,American Indian or Alaska Native,201,24266,linked
2007,Female,Asian or Pacific Islander,534,123188,linked
2007,Female,Black or African American,3902,332397,linked
2007,Female,White,8242,1628311,linked
2007,Male,American Indian or Alaska Native,255,25177,linked
2007,Male,Asian or Pacific Islander,682,131300,linked
2007,Male,Black or African American,4830,343279,linked
2007,Male,White,10506,1708315,linked
2008,Female,American Indian or Alaska Native,150,24341,linked
2008,Female,Asian or Pacific Islander,516,122594,linked
2008,Female,Black or African American,3646,329924,linked
2008,Female,White,8075,1597458,linked
2008,Male,American Indian or Alaska Native,267,25196,linked
2008,Male,Asian or Pacific Islander,627,130590,linked
2008,Male,Black or African American,4656,340887,linked
2008,Male,White,10139,1676736,linked
2009,Female,American Indian or Alaska Native,180,23913,linked
2009,Female,Asian or Pacific Islander,499,121563,linked
2009,Female,Black or African American,3455,323476,linked
2009,Female,White,7463,1547857,linked
2009,Male,American Indian or Alaska Native,232,24752,linked
2009,Male,Asian or Pacific Islander,605,129526,linked
2009,Male,Black or African American,4513,334142,linked
2009,Male,White,9460,1625436,linked
2010,Female,American Indian or Alaska Native,170,23088,linked
2010,Female,Asian or Pacific Islander,425,119049,linked
2010,Female,Black or African American,3159,312469,linked
2010,Female,White,7100,1497845,linked
2010,Male,American Indian or Alaska Native,217,23672,linked
2010,Male,Asian or Pacific Islander,628,127837,linked
2010,Male,Black or African American,3975,323956,linked
2010,Male,White,8897,1571470,linked
2011,Female,American Indian or Alaska Native,173,22689,linked
2011,Female,Asian or Pacific Islander,493,123186,linked
2011,Female,Black or African American,3131,311235,linked
2011,Female,White,6877,1472428,linked
2011,Male,American Indian or Alaska Native,208,23730,linked
2011,Male,Asian or Pacific Islander,616,130729,linked
2011,Male,Black or African American,3927,321666,linked
2011,Male,White,8576,1547927,linked
2012,Female,American Indian or Alaska Native,184,22590,linked
2012,Female,Asian or Pacific Islander,470,132212,linked
2012,Female,Black or African American,3004,311962,linked
2012,Female,White,6826,1464643,linked
2012,Male,American Indian or Alaska Native,203,23503,linked
2012,Male,Asian or Pacific Islander,637,140590,linked
2012,Male,Black or African American,3892,322164,linked
2012,Male,White,8438,1535177,linked
2013,Female,American Indian or Alaska Native,154,22382,linked
2013,Female,Asian or Pacific Islander,467,128665,linked
2013,Female,Black or African American,3125,312395,linked
2013,Female,White,6593,1455785,linked
2013,Male,American Indian or Alaska Native,197,23609,linked
2013,Male,Asian or Pacific Islander,615,137008,linked
2013,Male,Black or African American,3737,322365,linked
2013,Male,White,8559,1529972,linked
2014,Female,American Indian or Alaska Native,146,22120,linked
2014,Female,Asian or Pacific Islander,484,137076,linked
2014,Female,Black or African American,3101,315741,linked
2014,Female,White,6590,1472438,linked
2014,Male,American Indian or Alaska Native,195,22808,linked
