cause,year,month,status,dead,pop,asmr,asmr_low,asmr_high
Non-COVID-19 deaths,2021,May,Within 21 days of second dose,2908,456008,774.3,740.5,808.0
Non-COVID-19 deaths,2021,May,21 days or more after second dose,18623,801816,844.4,693.1,995.6
Non-COVID-19 deaths,2021,June,Unvaccinated,2106,918234,1450.0,1382.4,1517.6
Non-COVID-19 deaths,2021,June,Within 21 days of first dose,63,166875,1231.7,856.8,1684.0
Non-COVID-19 deaths,2021,June,21 days or more after first dose,3314,375294,5265.0,5061.6,5468.5
Non-COVID-19 deaths,2021,June,Within 21 days of second dose,823,349615,1415.6,1286.0,1545.2
Non-COVID-19 deaths,2021,June,21 days or more after second dose,23632,1413751,776.1,765.1,787.1
Non-COVID-19 deaths,2021,July,Unvaccinated,1820,763000,1273.7,1210.5,1336.8
Non-COVID-19 deaths,2021,July,Within 21 days of first dose,25,107578,775.7,426.0,1247.6
Non-COVID-19 deaths,2021,July,21 days or more after first dose,2012,371045,4560.1,4343.7,4776.5
Non-COVID-19 deaths,2021,July,Within 21 days of second dose,252,166522,1719.3,1459.9,1978.6
Non-COVID-19 deaths,2021,July,21 days or more after second dose,28616,1920382,852.1,841.6,862.7
Non-COVID-19 deaths,2021,August,Unvaccinated,1595,705504,1186.0,1123.8,1248.2
Non-COVID-19 deaths,2021,August,Within 21 days of first dose,20,35897,1405.8,795.9,2259.1
Non-COVID-19 deaths,2021,August,21 days or more after first dose,1306,267917,3364.6,3168.5,3560.8
Non-COVID-19 deaths,2021,August,Within 21 days of second dose,80,156761,1327.1,1001.9,1711.3
Non-COVID-19 deaths,2021,August,21 days or more after second dose,28492,2159570,848.8,806.7,890.9
Non-COVID-19 deaths,2021,September,Unvaccinated,1477,634100,1141.0,1078.9,1203.1
Non-COVID-19 deaths,2021,September,Within 21 days of first dose,8,30010,,,
Non-COVID-19 deaths,2021,September,21 days or more after first dose,1006,151660,3025.5,2826.5,3224.6
Non-COVID-19 deaths,2021,September,Within 21 days of second dose,27,97004,731.9,429.0,1136.1
Non-COVID-19 deaths,2021,September,21 days or more after second dose,28850,2302796,873.0,840.2,905.8
Non-COVID-19 deaths,2021,October,Unvaccinated,1416,609332,1075.9,1016.2,1135.5
Non-COVID-19 deaths,2021,October,Within 21 days of first dose,16,34429,1673.5,920.2,2770.7
Non-COVID-19 deaths,2021,October,21 days or more after first dose,921,144136,2801.7,2609.2,2994.3
Non-COVID-19 deaths,2021,October,Within 21 days of second dose,32,30692,1483.9,988.9,2128.8
Non-COVID-19 deaths,2021,October,21 days or more after second dose,30851,2501224,892.9,866.7,919.1
