cause,year,month,age,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,May,80-89,"Second dose, at least 21 days ago",8288,165052,5017.6,,4909.6,5125.6
All causes,2021,May,80-89,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,80-89,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,90+,Unvaccinated,322,1338,24070.6,,21512.9,26848.7
All causes,2021,May,90+,"First dose, less than 21 days ago",7,49,14226.3,u,5699.4,29313.1
All causes,2021,May,90+,"First dose, at least 21 days ago",1046,1367,76529.3,,71961.1,81311.5
All causes,2021,May,90+,"Second dose, less than 21 days ago",484,2898,16698.9,,15244.1,18255.1
All causes,2021,May,90+,"Second dose, at least 21 days ago",5353,33565,15948.3,,15523.9,16381.3
All causes,2021,May,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,90+,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,June,18-39,Unvaccinated,215,513393,50.3,,43.1,57.5
All causes,2021,June,18-39,"First dose, less than 21 days ago",26,194468,13.1,,8.4,19.4
All causes,2021,June,18-39,"First dose, at least 21 days ago",113,170530,72.5,,55.7,89.3
All causes,2021,June,18-39,"Second dose, less than 21 days ago",24,65707,34.5,,21.7,51.7
All causes,2021,June,18-39,"Second dose, at least 21 days ago",122,184469,64.2,,52.3,76.1
All causes,2021,June,18-39,"Third dose or booster, less than 21 days ago",<3,5,,,,
All causes,2021,June,18-39,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,40-49,Unvaccinated,218,78315,293.1,,253.8,332.4
All causes,2021,June,40-49,"First dose, less than 21 days ago",13,19373,97.0,u,50.7,167.4
All causes,2021,June,40-49,"First dose, at least 21 days ago",222,203891,110.8,,96.2,125.4
All causes,2021,June,40-49,"Second dose, less than 21 days ago",66,84857,74.6,,57.4,95.3
All causes,2021,June,40-49,"Second dose, at least 21 days ago",275,152959,176.5,,155.5,197.5
All causes,2021,June,40-49,"Third dose or booster, less than 21 days ago",<3,7,,,,
All causes,2021,June,40-49,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,50-59,Unvaccinated,333,45407,751.1,,670.2,832.1
All causes,2021,June,50-59,"First dose, less than 21 days ago",10,3172,327.4,u,154.4,606.3
All causes,2021,June,50-59,"First dose, at least 21 days ago",443,64246,719.8,,652.3,787.3
All causes,2021,June,50-59,"Second dose, less than 21 days ago",204,181220,112.0,,96.6,127.4
All causes,2021,June,50-59,"Second dose, at least 21 days ago",973,300450,317.4,,297.4,337.4
All causes,2021,June,50-59,"Third dose or booster, less than 21 days ago",<3,9,,,,
All causes,2021,June,50-59,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,60-69,Unvaccinated,368,22227,1701.0,,1524.8,1877.2
All causes,2021,June,60-69,"First dose, less than 21 days ago",10,1042,984.3,u,454.8,1838.1
All causes,2021,June,60-69,"First dose, at least 21 days ago",738,15218,5865.6,,5408.1,6323.2
All causes,2021,June,60-69,"Second dose, less than 21 days ago",238,68515,534.0,,452.2,615.8
All causes,2021,June,60-69,"Second dose, at least 21 days ago",2488,367507,666.7,,640.4,693.0
All causes,2021,June,60-69,"Third dose or booster, less than 21 days ago",<3,7,,,,
All causes,2021,June,60-69,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,June,70-79,Unvaccinated,464,10548,4478.3,,4068.1,4888.4
All causes,2021,June,70-79,"First dose, less than 21 days ago",18,322,5823.1,u,3423.1,9242.9
All causes,2021,June,70-79,"First dose, at least 21 days ago",889,3656,24807.6,,23166.4,26448.8
All causes,2021,June,70-79,"Second dose, less than 21 days ago",191,3843,5372.3,,4588.9,6155.6
All causes,2021,June,70-79,"Second dose, at least 21 days ago",6444,365385,1781.1,,1737.6,1824.6
All causes,2021,June,70-79,"Third dose or booster, less than 21 days ago",<3,12,,,,
All causes,2021,June,70-79,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,80-89,Unvaccinated,461,4717,9717.9,,8830.5,10605.4
All causes,2021,June,80-89,"First dose, less than 21 days ago",8,123,6504.0,u,2807.9,12815.6
All causes,2021,June,80-89,"First dose, at least 21 days ago",826,1757,46107.5,,42936.5,49278.5
All causes,2021,June,80-89,"Second dose, less than 21 days ago",153,1291,11687.4,,9827.7,13547.2
All causes,2021,June,80-89,"Second dose, at least 21 days ago",9685,171187,5645.5,,5533.1,5758.0
All causes,2021,June,80-89,"Third dose or booster, less than 21 days ago",<3,6,,,,
All causes,2021,June,80-89,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,June,90+,Unvaccinated,289,1247,23183.1,,20587.0,26016.1
All causes,2021,June,90+,"First dose, less than 21 days ago",7,27,25991.1,u,10412.7,53554.4
All causes,2021,June,90+,"First dose, at least 21 days ago",463,577,80213.4,,73072.2,87863.9
All causes,2021,June,90+,"Second dose, less than 21 days ago",100,383,26109.2,,21242.9,31756.2
All causes,2021,June,90+,"Second dose, at least 21 days ago",5698,36009,15824.0,,15415.8,16240.3
All causes,2021,June,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,90+,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,July,18-39,Unvaccinated,218,326758,73.4,,63.4,83.4
All causes,2021,July,18-39,"First dose, less than 21 days ago",37,117189,48.9,,30.4,72.6
All causes,2021,July,18-39,"First dose, at least 21 days ago",136,353123,37.9,,31.5,44.4
All causes,2021,July,18-39,"Second dose, less than 21 days ago",13,84143,17.5,u,7.4,32.8
All causes,2021,July,18-39,"Second dose, at least 21 days ago",220,284555,73.9,,63.8,84.1
All causes,2021,July,18-39,"Third dose or booster, less than 21 days ago",<3,5,,,,
All causes,2021,July,18-39,"Third dose or booster, at least 21 days ago",<3,10,,,,
All causes,2021,July,40-49,Unvaccinated,205,71505,295.4,,254.6,336.2
All causes,2021,July,40-49,"First dose, less than 21 days ago",5,5880,93.1,u,28.9,219.9
All causes,2021,July,40-49,"First dose, at least 21 days ago",158,81830,216.2,,181.5,250.8
All causes,2021,July,40-49,"Second dose, less than 21 days ago",59,104140,56.9,,43.3,73.4
All causes,2021,July,40-49,"Second dose, at least 21 days ago",507,293832,168.9,,154.0,183.7
All causes,2021,July,40-49,"Third dose or booster, less than 21 days ago",<3,6,,,,
All causes,2021,July,40-49,"Third dose or booster, at least 21 days ago",<3,14,,,,
All causes,2021,July,50-59,Unvaccinated,357,43919,817.3,,732.3,902.3
All causes,2021,July,50-59,"First dose, less than 21 days ago",6,2051,303.4,u,108.5,665.6
All causes,2021,July,50-59,"First dose, at least 21 days ago",282,16290,1816.7,,1601.8,2031.6
All causes,2021,July,50-59,"Second dose, less than 21 days ago",40,19121,227.9,,161.2,312.3
All causes,2021,July,50-59,"Second dose, at least 21 days ago",1545,533152,287.1,,272.7,301.4
All causes,2021,July,50-59,"Third dose or booster, less than 21 days ago",<3,8,,,,
All causes,2021,July,50-59,"Third dose or booster, at least 21 days ago",<3,17,,,,
All causes,2021,July,60-69,Unvaccinated,440,22015,2081.2,,1884.2,2278.1
All causes,2021,July,60-69,"First dose, less than 21 days ago",5,685,827.9,u,253.6,1962.3
All causes,2021,July,60-69,"First dose, at least 21 days ago",431,6255,7494.8,,6770.7,8218.9
All causes,2021,July,60-69,"Second dose, less than 21 days ago",63,4236,1705.5,,1282.4,2216.1
All causes,2021,July,60-69,"Second dose, at least 21 days ago",3385,457936,743.5,,718.4,768.5
All causes,2021,July,60-69,"Third dose or booster, less than 21 days ago",<3,6,,,,
All causes,2021,July,60-69,"Third dose or booster, at least 21 days ago",<3,13,,,,
All causes,2021,July,70-79,Unvaccinated,456,10598,4406.4,,3999.4,4813.5
All causes,2021,July,70-79,"First dose, less than 21 days ago",4,220,1895.2,u,499.4,4889.0
All causes,2021,July,70-79,"First dose, at least 21 days ago",522,2490,21296.0,,19460.2,23131.8
All causes,2021,July,70-79,"Second dose, less than 21 days ago",56,941,6133.5,,4618.7,7982.5
All causes,2021,July,70-79,"Second dose, at least 21 days ago",7872,383265,2073.0,,2027.2,2118.8
All causes,2021,July,70-79,"Third dose or booster, less than 21 days ago",<3,16,,,,
All causes,2021,July,70-79,"Third dose or booster, at least 21 days ago",<3,26,,,,
All causes,2021,July,80-89,Unvaccinated,528,4729,11087.2,,10141.1,12033.3
All causes,2021,July,80-89,"First dose, less than 21 days ago",12,81,14903.1,u,7699.8,26033.9
All causes,2021,July,80-89,"First dose, at least 21 days ago",517,1232,41085.7,,37513.9,44657.5
All causes,2021,July,80-89,"Second dose, less than 21 days ago",59,395,14694.3,,11169.5,18974.7
All causes,2021,July,80-89,"Second dose, at least 21 days ago",11432,178778,6373.2,,6256.3,6490.0
All causes,2021,July,80-89,"Third dose or booster, less than 21 days ago",<3,4,,,,
All causes,2021,July,80-89,"Third dose or booster, at least 21 days ago",<3,12,,,,
All causes,2021,July,90+,Unvaccinated,317,1253,25295.7,,22587.3,28239.4
All causes,2021,July,90+,"First dose, less than 21 days ago",<3,18,,,,
All causes,2021,July,90+,"First dose, at least 21 days ago",281,406,69227.0,,61368.3,77813.0
All causes,2021,July,90+,"Second dose, less than 21 days ago",35,114,30643.2,,21340.9,42618.8
All causes,2021,July,90+,"Second dose, at least 21 days ago",7059,37952,18599.6,,18168.2,19038.7
All causes,2021,July,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,90+,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,August,18-39,Unvaccinated,171,282744,65.9,,55.8,76.0
All causes,2021,August,18-39,"First dose, less than 21 days ago",3,24840,10.1,u,1.4,31.3
All causes,2021,August,18-39,"First dose, at least 21 days ago",96,264915,50.2,,40.0,62.1
All causes,2021,August,18-39,"Second dose, less than 21 days ago",30,164324,19.1,,12.8,27.4
All causes,2021,August,18-39,"Second dose, at least 21 days ago",253,428811,57.5,,49.7,65.3
All causes,2021,August,18-39,"Third dose or booster, less than 21 days ago",<3,5,,,,
All causes,2021,August,18-39,"Third dose or booster, at least 21 days ago",<3,16,,,,
All causes,2021,August,40-49,Unvaccinated,221,67302,342.4,,296.8,387.9
All causes,2021,August,40-49,"First dose, less than 21 days ago",6,2732,244.4,u,87.2,536.4
All causes,2021,August,40-49,"First dose, at least 21 days ago",112,27708,437.5,,355.0,520.1
All causes,2021,August,40-49,"Second dose, less than 21 days ago",18,30972,60.4,u,34.4,97.5
All causes,2021,August,40-49,"Second dose, at least 21 days ago",493,428382,113.3,,103.2,123.3
All causes,2021,August,40-49,"Third dose or booster, less than 21 days ago",<3,4,,,,
All causes,2021,August,40-49,"Third dose or booster, at least 21 days ago",<3,21,,,,
All causes,2021,August,50-59,Unvaccinated,368,42252,885.6,,794.9,976.3
All causes,2021,August,50-59,"First dose, less than 21 days ago",4,1137,362.1,u,95.7,933.5
All causes,2021,August,50-59,"First dose, at least 21 days ago",188,11612,1686.8,,1443.7,1929.8
All causes,2021,August,50-59,"Second dose, less than 21 days ago",17,4496,333.3,u,192.2,536.6
All causes,2021,August,50-59,"Second dose, at least 21 days ago",1650,555259,293.2,,279.1,307.4
All causes,2021,August,50-59,"Third dose or booster, less than 21 days ago",<3,7,,,,
All causes,2021,August,50-59,"Third dose or booster, at least 21 days ago",<3,28,,,,
All causes,2021,August,60-69,Unvaccinated,422,21458,2057.3,,1858.6,2256.1
All causes,2021,August,60-69,"First dose, less than 21 days ago",8,414,1824.5,u,756.3,3648.4
All causes,2021,August,60-69,"First dose, at least 21 days ago",267,4838,5773.8,,5066.0,6481.5
All causes,2021,August,60-69,"Second dose, less than 21 days ago",13,1447,956.0,u,493.5,1658.5
All causes,2021,August,60-69,"Second dose, at least 21 days ago",3614,463799,784.8,,759.2,810.4
All causes,2021,August,60-69,"Third dose or booster, less than 21 days ago",<3,7,,,,
All causes,2021,August,60-69,"Third dose or booster, at least 21 days ago",<3,21,,,,
All causes,2021,August,70-79,Unvaccinated,523,10413,5151.9,,4707.7,5596.2
All causes,2021,August,70-79,"First dose, less than 21 days ago",6,129,4910.5,u,1750.9,10783.4
All causes,2021,August,70-79,"First dose, at least 21 days ago",308,2057,15328.6,,13608.9,17048.4
All causes,2021,August,70-79,"Second dose, less than 21 days ago",26,444,6168.7,,4012.3,9061.8
All causes,2021,August,70-79,"Second dose, at least 21 days ago",8166,385258,2135.5,,2089.1,2181.8
All causes,2021,August,70-79,"Third dose or booster, less than 21 days ago",<3,6,,,,
All causes,2021,August,70-79,"Third dose or booster, at least 21 days ago",<3,43,,,,
All causes,2021,August,80-89,Unvaccinated,510,4627,10958.3,,10006.9,11909.8
All causes,2021,August,80-89,"First dose, less than 21 days ago",7,51,13920.3,u,5595.2,28683.7
All causes,2021,August,80-89,"First dose, at least 21 days ago",349,1019,33533.5,,29985.9,37081.1
All causes,2021,August,80-89,"Second dose, less than 21 days ago",18,180,9977.9,u,5906.3,15779.5
All causes,2021,August,80-89,"Second dose, at least 21 days ago",11579,179546,6424.1,,6307.1,6541.1
All causes,2021,August,80-89,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2021,August,80-89,"Third dose or booster, at least 21 days ago",<3,16,,,,
All causes,2021,August,90+,Unvaccinated,306,1229,24900.0,,22187.8,27852.1
All causes,2021,August,90+,"First dose, less than 21 days ago",4,10,38386.7,u,10327.2,98278.5
All causes,2021,August,90+,"First dose, at least 21 days ago",199,337,58985.9,,51074.2,67775.7
All causes,2021,August,90+,"Second dose, less than 21 days ago",9,47,18963.1,u,8653.1,36000.2
All causes,2021,August,90+,"Second dose, at least 21 days ago",7289,38291,19035.8,,18601.3,19477.9
All causes,2021,August,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,90+,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,September,18-39,Unvaccinated,179,254518,77.3,,65.8,88.8
All causes,2021,September,18-39,"First dose, less than 21 days ago",3,13052,27.1,u,4.0,83.2
All causes,2021,September,18-39,"First dose, at least 21 days ago",73,113402,82.5,,63.7,105.0
All causes,2021,September,18-39,"Second dose, less than 21 days ago",16,105813,15.2,u,7.8,25.8
All causes,2021,September,18-39,"Second dose, at least 21 days ago",301,640278,44.9,,39.7,50.2
All causes,2021,September,18-39,"Third dose or booster, less than 21 days ago",<3,920,,,,
All causes,2021,September,18-39,"Third dose or booster, at least 21 days ago",<3,24,,,,
All causes,2021,September,40-49,Unvaccinated,167,62782,277.5,,235.0,319.9
All causes,2021,September,40-49,"First dose, less than 21 days ago",5,1727,314.1,u,98.2,740.5
All causes,2021,September,40-49,"First dose, at least 21 days ago",85,18130,504.9,,402.0,625.7
All causes,2021,September,40-49,"Second dose, less than 21 days ago",4,7042,68.1,u,17.6,176.3
All causes,2021,September,40-49,"Second dose, at least 21 days ago",621,448505,137.4,,126.5,148.2
All causes,2021,September,40-49,"Third dose or booster, less than 21 days ago",<3,965,,,,
All causes,2021,September,40-49,"Third dose or booster, at least 21 days ago",<3,27,,,,
All causes,2021,September,50-59,Unvaccinated,353,39886,897.5,,803.7,991.4
All causes,2021,September,50-59,"First dose, less than 21 days ago",3,741,357.2,u,73.7,1044.0
All causes,2021,September,50-59,"First dose, at least 21 days ago",142,9348,1590.7,,1327.5,1854.0
All causes,2021,September,50-59,"Second dose, less than 21 days ago",8,2184,363.6,u,153.8,721.9
All causes,2021,September,50-59,"Second dose, at least 21 days ago",1810,540800,331.4,,316.2,346.7
All causes,2021,September,50-59,"Third dose or booster, less than 21 days ago",<3,1905,,,,
All causes,2021,September,50-59,"Third dose or booster, at least 21 days ago",<3,37,,,,
All causes,2021,September,60-69,Unvaccinated,426,20453,2160.9,,1953.2,2368.7
All causes,2021,September,60-69,"First dose, less than 21 days ago",<3,265,,,,
All causes,2021,September,60-69,"First dose, at least 21 days ago",213,4052,5718.5,,4935.6,6501.3
All causes,2021,September,60-69,"Second dose, less than 21 days ago",11,761,1721.2,u,843.1,3105.1
All causes,2021,September,60-69,"Second dose, at least 21 days ago",3799,450054,850.8,,823.7,877.9
All causes,2021,September,60-69,"Third dose or booster, less than 21 days ago",5,1408,354.6,u,112.4,832.9
All causes,2021,September,60-69,"Third dose or booster, at least 21 days ago",<3,31,,,,
All causes,2021,September,70-79,Unvaccinated,490,9972,5013.7,,4567.1,5460.2
All causes,2021,September,70-79,"First dose, less than 21 days ago",<3,79,,,,
All causes,2021,September,70-79,"First dose, at least 21 days ago",257,1768,14899.6,,13069.9,16729.2
All causes,2021,September,70-79,"Second dose, less than 21 days ago",3,246,1204.7,u,238.5,3544.9
All causes,2021,September,70-79,"Second dose, at least 21 days ago",8499,372236,2297.5,,2248.7,2346.4
All causes,2021,September,70-79,"Third dose or booster, less than 21 days ago",12,1682,607.4,u,303.2,1077.5
All causes,2021,September,70-79,"Third dose or booster, at least 21 days ago",<3,50,,,,
All causes,2021,September,80-89,Unvaccinated,492,4414,11065.7,,10087.5,12043.8
All causes,2021,September,80-89,"First dose, less than 21 days ago",<3,28,,,,
All causes,2021,September,80-89,"First dose, at least 21 days ago",276,883,30553.5,,26914.6,34192.4
All causes,2021,September,80-89,"Second dose, less than 21 days ago",6,92,6485.1,u,2378.6,14117.7
All causes,2021,September,80-89,"Second dose, at least 21 days ago",11970,170333,6997.1,,6871.7,7122.5
All causes,2021,September,80-89,"Third dose or booster, less than 21 days ago",38,3927,971.4,,687.4,1333.4
All causes,2021,September,80-89,"Third dose or booster, at least 21 days ago",<3,17,,,,
All causes,2021,September,90+,Unvaccinated,255,1174,21719.6,,19135.2,24555.6
All causes,2021,September,90+,"First dose, less than 21 days ago",<3,7,,,,
All causes,2021,September,90+,"First dose, at least 21 days ago",184,297,61955.3,,53325.8,71583.3
All causes,2021,September,90+,"Second dose, less than 21 days ago",5,20,24635.8,u,7939.2,57491.5
All causes,2021,September,90+,"Second dose, at least 21 days ago",7431,36676,20261.0,,19803.0,20727.0
All causes,2021,September,90+,"Third dose or booster, less than 21 days ago",30,604,4967.8,,3351.1,7092.1
All causes,2021,September,90+,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,October,18-39,Unvaccinated,154,250743,65.5,,55.0,76.1
All causes,2021,October,18-39,"First dose, less than 21 days ago",<3,8502,,,,
All causes,2021,October,18-39,"First dose, at least 21 days ago",60,81130,87.6,,65.9,113.8
All causes,2021,October,18-39,"Second dose, less than 21 days ago",7,30792,27.6,u,10.3,58.3
All causes,2021,October,18-39,"Second dose, at least 21 days ago",305,771386,38.2,,33.9,42.5
All causes,2021,October,18-39,"Third dose or booster, less than 21 days ago",10,18380,49.9,u,22.6,93.8
All causes,2021,October,18-39,"Third dose or booster, at least 21 days ago",<3,4512,,,,
All causes,2021,October,40-49,Unvaccinated,162,63099,264.6,,223.5,305.7
All causes,2021,October,40-49,"First dose, less than 21 days ago",<3,1346,,,,
All causes,2021,October,40-49,"First dose, at least 21 days ago",82,15746,567.0,,449.8,705.0
All causes,2021,October,40-49,"Second dose, less than 21 days ago",3,3461,84.4,u,15.8,250.5
All causes,2021,October,40-49,"Second dose, at least 21 days ago",583,452067,128.3,,117.8,138.7
All causes,2021,October,40-49,"Third dose or booster, less than 21 days ago",10,16798,58.9,u,28.1,108.7
All causes,2021,October,40-49,"Third dose or booster, at least 21 days ago",5,4492,110.2,u,35.3,258.2
All causes,2021,October,50-59,Unvaccinated,320,40480,802.6,,714.5,890.7
All causes,2021,October,50-59,"First dose, less than 21 days ago",<3,579,,,,
All causes,2021,October,50-59,"First dose, at least 21 days ago",127,8660,1484.2,,1224.5,1743.9
All causes,2021,October,50-59,"Second dose, less than 21 days ago",4,1369,301.0,u,79.4,776.2
All causes,2021,October,50-59,"Second dose, at least 21 days ago",1870,523471,352.9,,336.9,369.0
All causes,2021,October,50-59,"Third dose or booster, less than 21 days ago",40,31428,124.3,,88.6,169.4
All causes,2021,October,50-59,"Third dose or booster, at least 21 days ago",16,8813,185.9,u,106.0,302.2
