year,code,cause,dead
2018,C06.0,Cheek mucosa - Malignant neoplasms,70
2018,C06.2,Retromolar area - Malignant neoplasms,25
2018,C06.9,"Mouth, unspecified - Malignant neoplasms",1090
2018,C07,Malignant neoplasm of parotid gland,678
2018,C08.0,Submandibular gland - Malignant neoplasms,59
2018,C08.9,"Major salivary gland, unspecified - Malignant neoplasms",286
2018,C09.0,Tonsillar fossa - Malignant neoplasms,27
2018,C09.9,"Tonsil, unspecified - Malignant neoplasms",1069
2018,C10.9,"Oropharynx, unspecified - Malignant neoplasms",1193
2018,C11.1,Posterior wall of nasopharynx - Malignant neoplasms,14
2018,C11.9,"Nasopharynx, unspecified - Malignant neoplasms",696
2018,C12,Malignant neoplasm of pyriform sinus,89
2018,C13.9,"Hypopharynx, unspecified - Malignant neoplasms",313
2018,C14.0,"Pharynx, unspecified - Malignant neoplasms",1440
2018,C15.3,Upper third of oesophagus - Malignant neoplasms,16
2018,C15.4,Middle third of oesophagus - Malignant neoplasms,12
2018,C15.5,Lower third of oesophagus - Malignant neoplasms,199
2018,C15.9,"Oesophagus, unspecified - Malignant neoplasms",15183
2018,C16.0,Cardia - Malignant neoplasms,1051
2018,C16.1,Fundus of stomach - Malignant neoplasms,21
2018,C16.2,Body of stomach - Malignant neoplasms,23
2018,C16.3,Pyloric antrum - Malignant neoplasms,53
2018,C16.4,Pylorus - Malignant neoplasms,15
2018,C16.9,"Stomach, unspecified - Malignant neoplasms",9871
2018,C17.0,Duodenum - Malignant neoplasms,957
2018,C17.1,Jejunum - Malignant neoplasms,70
2018,C17.2,Ileum - Malignant neoplasms,85
2018,C17.9,"Small intestine, unspecified - Malignant neoplasms",574
2018,C18.0,Caecum - Malignant neoplasms,669
2018,C18.1,Appendix - Malignant neoplasms,891
2018,C18.2,Ascending colon - Malignant neoplasms,319
2018,C18.3,Hepatic flexure - Malignant neoplasms,28
2018,C18.4,Transverse colon - Malignant neoplasms,147
2018,C18.5,Splenic flexure - Malignant neoplasms,19
2018,C18.6,Descending colon - Malignant neoplasms,84
2018,C18.7,Sigmoid colon - Malignant neoplasms,698
2018,C18.8,Overlapping lesion of colon - Malignant neoplasms,12
2018,C18.9,"Colon, unspecified - Malignant neoplasms",38363
2018,C19,Malignant neoplasm of rectosigmoid junction,3104
2018,C20,Malignant neoplasm of rectum,7557
2018,C21.0,"Anus, unspecified - Malignant neoplasms",952
2018,C21.1,Anal canal - Malignant neoplasms,101
2018,C21.8,"Overlapping lesion of rectum, anus and anal canal - Malignant neoplasms",148
2018,C22.0,Liver cell carcinoma - Malignant neoplasms,11769
2018,C22.1,Intrahepatic bile duct carcinoma - Malignant neoplasms,7463
2018,C22.2,Hepatoblastoma - Malignant neoplasms,23
2018,C22.3,Angiosarcoma of liver - Malignant neoplasms,36
2018,C22.9,"Liver, unspecified - Malignant neoplasms",8391
2018,C23,Malignant neoplasm of gallbladder,2180
2018,C24.0,Extrahepatic bile duct - Malignant neoplasms,928
2018,C24.1,Ampulla of Vater - Malignant neoplasms,271
2018,C24.9,"Biliary tract, unspecified - Malignant neoplasms",738
2018,C25.0,Head of pancreas - Malignant neoplasms,466
2018,C25.1,Body of pancreas - Malignant neoplasms,75
2018,C25.2,Tail of pancreas - Malignant neoplasms,132
2018,C25.3,Pancreatic duct - Malignant neoplasms,214
2018,C25.4,Endocrine pancreas - Malignant neoplasms,22
2018,C25.8,Overlapping lesion of pancreas - Malignant neoplasms,16
2018,C25.9,"Pancreas, unspecified - Malignant neoplasms",43985
2018,C26.0,"Intestinal tract, part unspecified - Malignant neoplasms",272
2018,C26.1,Spleen - Malignant neoplasms,33
2018,C26.8,Overlapping lesion of digestive system - Malignant neoplasms,17
2018,C26.9,Ill-defined sites within the digestive system - Malignant neoplasms,1580
2018,C30.0,Nasal cavity - Malignant neoplasms,109
2018,C31.0,Maxillary sinus - Malignant neoplasms,189
2018,C31.1,Ethmoidal sinus - Malignant neoplasms,30
2018,C31.3,Sphenoidal sinus - Malignant neoplasms,17
2018,C31.9,"Accessory sinus, unspecified - Malignant neoplasms",187
2018,C32.0,Glottis - Malignant neoplasms,167
2018,C32.1,Supraglottis - Malignant neoplasms,379
2018,C32.2,Subglottis - Malignant neoplasms,24
2018,C32.3,Laryngeal cartilage - Malignant neoplasms,17
2018,C32.9,"Larynx, unspecified - Malignant neoplasms",3190
2018,C33,Malignant neoplasm of trachea,80
2018,C34.0,Main bronchus - Malignant neoplasms,236
2018,C34.1,"Upper lobe, bronchus or lung - Malignant neoplasms",1804
2018,C34.2,"Middle lobe, bronchus or lung - Malignant neoplasms",128
2018,C34.3,"Lower lobe, bronchus or lung - Malignant neoplasms",861
2018,C34.8,Overlapping lesion of bronchus and lung - Malignant neoplasms,42
2018,C34.9,"Bronchus or lung, unspecified - Malignant neoplasms",139010
2018,C37,Malignant neoplasm of thymus,330
2018,C38.0,Heart - Malignant neoplasms,60
2018,C38.3,"Mediastinum, part unspecified - Malignant neoplasms",127
2018,C38.4,Pleura - Malignant neoplasms,56
2018,C39.9,Ill-defined sites within the respiratory system - Malignant neoplasms,77
2018,C40.0,Scapula and long bones of upper limb - Malignant neoplasms,23
2018,C40.2,Long bones of lower limb - Malignant neoplasms,90
2018,C41.0,Bones of skull and face - Malignant neoplasms,74
2018,C41.1,Mandible - Malignant neoplasms,175
2018,C41.2,Vertebral column - Malignant neoplasms,99
2018,C41.3,"Ribs, sternum and clavicle - Malignant neoplasms",14
2018,C41.4,"Pelvic bones, sacrum and coccyx - Malignant neoplasms",83
2018,C41.9,"Bone and articular cartilage, unspecified - Malignant neoplasms",1258
2018,C43.2,Malignant melanoma of ear and external auricular canal - Malignant neoplasms,28
2018,C43.3,Malignant melanoma of other and unspecified parts of face - Malignant neoplasms,104
2018,C43.4,Malignant melanoma of scalp and neck - Malignant neoplasms,162
2018,C43.5,Malignant melanoma of trunk - Malignant neoplasms,179
2018,C43.6,"Malignant melanoma of upper limb, including shoulder - Malignant neoplasms",133
2018,C43.7,"Malignant melanoma of lower limb, including hip - Malignant neoplasms",125
2018,C43.9,"Malignant melanoma of skin, unspecified - Malignant neoplasms",7456
2018,C44.1,"Skin of eyelid, including canthus - Malignant neoplasms",20
2018,C44.2,Skin of ear and external auricular canal - Malignant neoplasms,155
2018,C44.3,Skin of other and unspecified parts of face - Malignant neoplasms,330
2018,C44.4,Skin of scalp and neck - Malignant neoplasms,1394
2018,C44.5,Skin of trunk - Malignant neoplasms,97
2018,C44.6,"Skin of upper limb, including shoulder - Malignant neoplasms",60
2018,C44.7,"Skin of lower limb, including hip - Malignant neoplasms",72
2018,C44.9,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",2029
2018,C45.0,Mesothelioma of pleura - Malignant neoplasms,286
2018,C45.1,Mesothelioma of peritoneum - Malignant neoplasms,157
2018,C45.7,Mesothelioma of other sites - Malignant neoplasms,234
2018,C45.9,"Mesothelioma, unspecified - Malignant neoplasms",1748
2018,C46.7,Kaposi sarcoma of other sites,13
2018,C46.9,"Kaposi sarcoma, unspecified",46
2018,C47.9,"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms",77
2018,C48.0,Retroperitoneum - Malignant neoplasms,319
2018,C48.1,Specified parts of peritoneum - Malignant neoplasms,56
2018,C48.2,"Peritoneum, unspecified - Malignant neoplasms",862
2018,C49.0,"Connective and soft tissue of head, face and neck - Malignant neoplasms",118
2018,C49.1,"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms",77
2018,C49.2,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",358
2018,C49.3,Connective and soft tissue of thorax - Malignant neoplasms,84
2018,C49.4,Connective and soft tissue of abdomen - Malignant neoplasms,418
2018,C49.5,Connective and soft tissue of pelvis - Malignant neoplasms,135
2018,C49.6,"Connective and soft tissue of trunk, unspecified - Malignant neoplasms",11
2018,C49.9,"Connective and soft tissue, unspecified - Malignant neoplasms",3693
2018,C50.0,Nipple and areola - Malignant neoplasms,36
2018,C50.1,Central portion of breast - Malignant neoplasms,19
2018,C50.4,Upper-outer quadrant of breast - Malignant neoplasms,44
2018,C50.8,Overlapping lesion of breast - Malignant neoplasms,30
2018,C50.9,"Breast, unspecified - Malignant neoplasms",42795
2018,C51.0,Labium majus - Malignant neoplasms,13
2018,C51.9,"Vulva, unspecified - Malignant neoplasms",1299
2018,C52,Malignant neoplasm of vagina,392
2018,C53.0,Endocervix - Malignant neoplasms,62
2018,C53.9,"Cervix uteri, unspecified - Malignant neoplasms",4067
2018,C54.1,Endometrium - Malignant neoplasms,6349
2018,C54.9,"Corpus uteri, unspecified - Malignant neoplasms",61
2018,C55,"Malignant neoplasm of uterus, part unspecified",4822
2018,C56,Malignant neoplasm of ovary,13748
2018,C57.0,Fallopian tube - Malignant neoplasms,470
2018,C57.4,"Uterine adnexa, unspecified - Malignant neoplasms",20
2018,C57.7,Other specified female genital organs - Malignant neoplasms,17
2018,C57.8,Overlapping lesion of female genital organs - Malignant neoplasms,20
2018,C57.9,"Female genital organ, unspecified - Malignant neoplasms",316
2018,C58,Malignant neoplasm of placenta,11
2018,C60.9,"Penis, unspecified - Malignant neoplasms",343
2018,C61,Malignant neoplasm of prostate,31489
2018,C62.9,"Testis, unspecified - Malignant neoplasms",401
2018,C63.2,Scrotum - Malignant neoplasms,16
2018,C63.9,"Male genital organ, unspecified - Malignant neoplasms",39
2018,C64,"Malignant neoplasm of kidney, except renal pelvis",13944
2018,C65,Malignant neoplasm of renal pelvis,190
2018,C66,Malignant neoplasm of ureter,417
2018,C67.0,Trigone of bladder - Malignant neoplasms,17
2018,C67.2,Lateral wall of bladder - Malignant neoplasms,11
2018,C67.7,Urachus - Malignant neoplasms,22
2018,C67.8,Overlapping lesion of bladder - Malignant neoplasms,10
2018,C67.9,"Bladder, unspecified - Malignant neoplasms",16559
2018,C68.0,Urethra - Malignant neoplasms,244
2018,C68.9,"Urinary organ, unspecified - Malignant neoplasms",216
2018,C69.2,Retina - Malignant neoplasms,12
2018,C69.3,Choroid - Malignant neoplasms,72
2018,C69.4,Ciliary body - Malignant neoplasms,21
2018,C69.5,Lacrimal gland and duct - Malignant neoplasms,22
2018,C69.6,Orbit - Malignant neoplasms,29
2018,C69.9,"Eye, unspecified - Malignant neoplasms",189
2018,C70.0,Cerebral meninges - Malignant neoplasms,34
2018,C70.9,"Meninges, unspecified - Malignant neoplasms",148
2018,C71.0,"Cerebrum, except lobes and ventricles - Malignant neoplasms",165
2018,C71.1,Frontal lobe - Malignant neoplasms,345
2018,C71.2,Temporal lobe - Malignant neoplasms,257
2018,C71.3,Parietal lobe - Malignant neoplasms,161
2018,C71.4,Occipital lobe - Malignant neoplasms,41
2018,C71.5,Cerebral ventricle - Malignant neoplasms,13
2018,C71.6,Cerebellum - Malignant neoplasms,188
2018,C71.7,Brain stem - Malignant neoplasms,213
2018,C71.8,Overlapping lesion of brain - Malignant neoplasms,58
2018,C71.9,"Brain, unspecified - Malignant neoplasms",15357
2018,C72.0,Spinal cord - Malignant neoplasms,71
2018,C72.9,"Central nervous system, unspecified - Malignant neoplasms",55
2018,C73,Malignant neoplasm of thyroid gland,2025
2018,C74.0,Cortex of adrenal gland - Malignant neoplasms,90
2018,C74.1,Medulla of adrenal gland - Malignant neoplasms,34
2018,C74.9,"Adrenal gland, unspecified - Malignant neoplasms",447
2018,C75.0,Parathyroid gland - Malignant neoplasms,22
2018,C75.1,Pituitary gland - Malignant neoplasms,34
2018,C75.3,Pineal gland - Malignant neoplasms,24
2018,C75.5,Aortic body and other paraganglia - Malignant neoplasms,24
2018,C75.9,"Endocrine gland, unspecified - Malignant neoplasms",35
2018,C76.0,"Head, face and neck - Malignant neoplasms",573
2018,C76.1,Thorax - Malignant neoplasms,90
2018,C76.2,Abdomen - Malignant neoplasms,578
2018,C76.3,Pelvis - Malignant neoplasms,269
2018,C76.4,Upper limb - Malignant neoplasms,18
2018,C76.5,Lower limb - Malignant neoplasms,35
2018,C76.7,Other ill-defined sites - Malignant neoplasms,160
2018,C77.0,"Lymph nodes of head, face and neck - Malignant neoplasms",23
2018,C77.9,"Lymph node, unspecified - Malignant neoplasms",38
2018,C78.0,Secondary malignant neoplasm of lung - Malignant neoplasms,278
2018,C78.1,Secondary malignant neoplasm of mediastinum - Malignant neoplasms,10
2018,C78.2,Secondary malignant neoplasm of pleura - Malignant neoplasms,178
2018,C78.5,Secondary malignant neoplasm of large intestine and rectum - Malignant neoplasms,20
2018,C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,766
2018,C78.7,Secondary malignant neoplasm of liver - Malignant neoplasms,2105
2018,C78.8,Secondary malignant neoplasm of other and unspecified digestive organs - Malignant neoplasms,56
2018,C79.1,Secondary malignant neoplasm of bladder and other and unspecified urinary organs - Malignant neoplasms,21
2018,C79.3,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,719
2018,C79.4,Secondary malignant neoplasm of other and unspecified parts of nervous system - Malignant neoplasms,11
2018,C79.5,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,516
2018,C79.8,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,2708
2018,C80,Malignant neoplasm without specification of site,28260
2018,C81.1,Hodgkin nodular sclerosis,15
2018,C81.9,"Hodgkin disease, unspecified",1011
2018,C82.9,"Follicular non-Hodgkin lymphoma, unspecified",692
2018,C83.0,Non-Hodgkin lymphoma small cell (diffuse),171
2018,C83.1,Non-Hodgkin lymphoma small cleaved cell (diffuse),1220
2018,C83.3,Non-Hodgkin lymphoma large cell (diffuse),4090
2018,C83.5,Non-Hodgkin lymphoma lymphoblastic (diffuse),75
2018,C83.7,Burkitt tumor,173
2018,C83.8,Other types of diffuse non-Hodgkin lymphoma,63
2018,C83.9,"Diffuse non-Hodgkin lymphoma, unspecified",43
2018,C84.0,Mycosis fungoides - Malignant neoplasms,77
2018,C84.1,STzary disease,29
2018,C84.4,Peripheral T-cell lymphoma - Malignant neoplasms,281
2018,C84.5,Other and unspecified T-cell lymphomas - Malignant neoplasms,1093
2018,C85.1,"B-cell lymphoma, unspecified - Malignant neoplasms",3457
2018,C85.9,"Non-Hodgkin lymphoma, unspecified type",8798
2018,C88.0,Waldenstr÷m macroglobulinemia,335
2018,C90.0,Multiple myeloma - Malignant neoplasms,12227
2018,C90.1,Plasma cell leukaemia - Malignant neoplasms,145
2018,C90.2,"Plasmacytoma, extramedullary - Malignant neoplasms",99
2018,C91.0,Acute lymphoblastic leukaemia - Malignant neoplasms,1603
2018,C91.1,Chronic lymphocytic leukaemia - Malignant neoplasms,4272
2018,C91.3,Prolymphocytic leukaemia - Malignant neoplasms,44
2018,C91.4,Hairy-cell leukaemia - Malignant neoplasms,108
2018,C91.5,Adult T-cell leukaemia - Malignant neoplasms,162
2018,C91.7,Other lymphoid leukaemia - Malignant neoplasms,51
2018,C91.9,"Lymphoid leukaemia, unspecified - Malignant neoplasms",265
2018,C92.0,Acute myeloid leukaemia - Malignant neoplasms,10318
2018,C92.1,Chronic myeloid leukaemia - Malignant neoplasms,1174
2018,C92.3,Myeloid sarcoma - Malignant neoplasms,67
2018,C92.4,Acute promyelocytic leukaemia - Malignant neoplasms,154
2018,C92.5,Acute myelomonocytic leukaemia - Malignant neoplasms,205
2018,C92.7,Other myeloid leukaemia - Malignant neoplasms,667
2018,C92.9,"Myeloid leukaemia, unspecified - Malignant neoplasms",294
2018,C93.0,Acute monocytic leukaemia - Malignant neoplasms,96
2018,C93.9,"Monocytic leukaemia, unspecified - Malignant neoplasms",10
2018,C94.2,Acute megakaryoblastic leukaemia - Malignant neoplasms,20
2018,C94.7,Other specified leukaemias - Malignant neoplasms,46
2018,C95.0,Acute leukaemia of unspecified cell type - Malignant neoplasms,1272
2018,C95.1,Chronic leukaemia of unspecified cell type - Malignant neoplasms,150
2018,C95.9,"Leukaemia, unspecified - Malignant neoplasms",2351
2018,C96.7,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue - Malignant neoplasms",19
2018,C96.9,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified - Malignant neoplasms",88
2018,C97,Malignant neoplasms of independent (primary) multiple sites,5328
2018,D32.0,Cerebral meninges - Benign neoplasms,12
2018,D32.9,"Meninges, unspecified - Benign neoplasms",29
2018,D37.6,"Liver, gallbladder and bile ducts - Uncertain neoplasms",17
2018,D37.7,Other digestive organs - Uncertain neoplasms,22
2018,D38.1,"Trachea, bronchus and lung - Uncertain neoplasms",47
2018,D43.0,"Brain, supratentorial - Uncertain neoplasms",12
2018,D43.2,"Brain, unspecified - Uncertain neoplasms",98
2018,D45,Polycythaemia vera,15
2018,D46.9,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",288
2018,D47.1,Chronic myeloproliferative disease - Uncertain neoplasms,58
2018,D47.2,Monoclonal gammopathy - Uncertain neoplasms,13
2018,D48.1,Connective and other soft tissue - Uncertain neoplasms,31
2018,D48.7,Other specified sites - Uncertain neoplasms,17
2018,D61.9,"Aplastic anaemia, unspecified",127
2018,D62,Acute posthaemorrhagic anaemia,27
2018,D64.9,"Anaemia, unspecified",24
2018,D65,Disseminated intravascular coagulation [defibrination syndrome],48
2018,D68.9,"Coagulation defect, unspecified",57
2018,D69.3,Idiopathic thrombocytopenic purpura,17
2018,D69.4,Other primary thrombocytopenia,10
2018,D70,Agranulocytosis,123
2018,D72.8,Other specified disorders of white blood cells,12
2018,D76.1,Haemophagocytic lymphohistiocytosis,70
2018,D84.9,"Immunodeficiency, unspecified",13
2018,D86.9,"Sarcoidosis, unspecified",18
2018,D89.9,"Disorder involving the immune mechanism, unspecified",52
2018,E03.9,"Hypothyroidism, unspecified",56
2018,E10.1,"Insulin-dependent diabetes mellitus, with ketoacidosis",10
2018,E10.2,"Insulin-dependent diabetes mellitus, with renal complications",28
2018,E10.9,"Insulin-dependent diabetes mellitus, without complications",43
2018,E11.1,"Non-insulin-dependent diabetes mellitus, with ketoacidosis",12
2018,E11.2,"Non-insulin-dependent diabetes mellitus, with renal complications",395
2018,E11.5,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",58
2018,E11.7,"Non-insulin-dependent diabetes mellitus, with multiple complications",59
2018,E11.9,"Non-insulin-dependent diabetes mellitus, without complications",556
2018,E14.1,"Unspecified diabetes mellitus, with ketoacidosis",66
2018,E14.2,"Unspecified diabetes mellitus, with renal complications",435
2018,E14.5,"Unspecified diabetes mellitus, with peripheral circulatory complications",53
2018,E14.6,"Unspecified diabetes mellitus, with other specified complications",11
2018,E14.7,"Unspecified diabetes mellitus, with multiple complications",67
2018,E14.9,"Unspecified diabetes mellitus, without complications",771
2018,E22.2,Syndrome of inappropriate secretion of antidiuretic hormone,10
2018,E66.2,Extreme obesity with alveolar hypoventilation,26
2018,E66.8,Other obesity,57
2018,E66.9,"Obesity, unspecified",39
2018,E72.2,Disorders of urea cycle metabolism,23
2018,E78.0,Pure hypercholesterolaemia,77
2018,E78.2,Mixed hyperlipidaemia,10
2018,E78.5,"Hyperlipidaemia, unspecified",441
2018,E78.9,"Disorder of lipoprotein metabolism, unspecified",37
2018,E83.5,Disorders of calcium metabolism,48
2018,E85.4,Organ-limited amyloidosis,57
2018,E85.9,"Amyloidosis, unspecified",28
2018,E87.0,Hyperosmolality and hypernatraemia,22
2018,E87.1,Hypo-osmolality and hyponatraemia,27
2018,E87.2,Acidosis,174
2018,E87.5,Hyperkalaemia,31
2018,E87.7,Fluid overload,18
2018,E87.8,"Other disorders of electrolyte and fluid balance, not elsewhere classified",30
2018,E88.0,"Disorders of plasma-protein metabolism, not elsewhere classified",24
2018,E88.9,"Metabolic disorder, unspecified",129
2018,F01.1,Multi-infarct dementia,15
2018,F01.9,"Vascular dementia, unspecified",373
2018,F03,Unspecified dementia,2398
2018,F05.1,Delirium superimposed on dementia,21
2018,F05.9,"Delirium, unspecified",205
2018,F10.1,"Mental and behavioural disorders due to use of alcohol, harmful use",55
2018,F10.2,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",76
2018,F10.7,"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder",13
2018,F41.9,"Anxiety disorder, unspecified",11
2018,F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,13
2018,G03.9,"Meningitis, unspecified",14
2018,G04.9,"Encephalitis, myelitis and encephalomyelitis, unspecified",17
2018,G12.2,Motor neuron disease,116
2018,G20,Parkinson disease,873
2018,G23.1,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],23
2018,G30.1,Alzheimer disease with late onset,118
2018,G30.9,"Alzheimer disease, unspecified",2354
2018,G31.0,Circumscribed brain atrophy,32
2018,G31.1,"Senile degeneration of brain, not elsewhere classified",300
2018,G31.8,Other specified degenerative diseases of nervous system,133
2018,G31.9,"Degenerative disease of nervous system, unspecified",43
2018,G35,Multiple sclerosis,65
2018,G40.9,"Epilepsy, unspecified",30
2018,G41.9,"Status epilepticus, unspecified",66
2018,G47.3,Sleep apnoea,34
2018,G61.0,Guillain-Barre syndrome,10
2018,G70.0,Myasthenia gravis,33
2018,G80.9,"Infantile cerebral palsy, unspecified",14
2018,G82.2,"Paraplegia, unspecified",18
2018,G82.5,"Tetraplegia, unspecified",11
2018,G91.2,Normal-pressure hydrocephalus,10
2018,G91.9,"Hydrocephalus, unspecified",39
2018,G92,Toxic encephalopathy,21
2018,G93.1,"Anoxic brain damage, not elsewhere classified",148
2018,G93.4,"Encephalopathy, unspecified",100
2018,G93.9,"Disorder of brain, unspecified",34
2018,G96.1,"Disorders of meninges, not elsewhere classified",28
2018,I05.0,Mitral stenosis,21
2018,I05.9,"Mitral valve disease, unspecified",29
2018,I07.1,Tricuspid insufficiency,17
2018,I07.8,Other tricuspid valve diseases,10
2018,I08.0,Disorders of both mitral and aortic valves,25
2018,I08.1,Disorders of both mitral and tricuspid valves,10
2018,I10,Essential (primary) hypertension,805
2018,I11.0,Hypertensive heart disease with (congestive) heart failure,564
2018,I11.9,Hypertensive heart disease without (congestive) heart failure,730
2018,I12.0,Hypertensive renal disease with renal failure,462
2018,I12.9,Hypertensive renal disease without renal failure,15
2018,I13.0,Hypertensive heart and renal disease with (congestive) heart failure,22
2018,I13.1,Hypertensive heart and renal disease with renal failure,87
2018,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,148
2018,I13.9,"Hypertensive heart and renal disease, unspecified",13
2018,I21.4,Acute subendocardial myocardial infarction,321
2018,I21.9,"Acute myocardial infarction, unspecified",3176
2018,I24.8,Other forms of acute ischaemic heart disease,47
2018,I24.9,"Acute ischaemic heart disease, unspecified",79
2018,I25.0,"Atherosclerotic cardiovascular disease, so described",1512
2018,I25.1,Atherosclerotic heart disease,6079
2018,I25.5,Ischaemic cardiomyopathy,435
2018,I25.8,Other forms of chronic ischaemic heart disease,59
2018,I25.9,"Chronic ischaemic heart disease, unspecified",316
2018,I26.9,Pulmonary embolism without mention of acute cor pulmonale,11
2018,I27.2,Other secondary pulmonary hypertension,285
2018,I27.9,"Pulmonary heart disease, unspecified",57
2018,I31.3,Pericardial effusion (noninflammatory),26
2018,I31.9,"Disease of pericardium, unspecified",12
2018,I33.0,Acute and subacute infective endocarditis,38
2018,I34.0,Mitral (valve) insufficiency,80
2018,I35.0,Aortic (valve) stenosis,536
2018,I35.1,Aortic (valve) insufficiency,29
2018,I35.8,Other aortic valve disorders,10
2018,I35.9,"Aortic valve disorder, unspecified",47
2018,I38,"Endocarditis, valve unspecified",187
2018,I42.0,Dilated cardiomyopathy,72
2018,I42.2,Other hypertrophic cardiomyopathy,17
2018,I42.5,Other restrictive cardiomyopathy,28
2018,I42.6,Alcoholic cardiomyopathy,10
2018,I42.8,Other cardiomyopathies,15
2018,I42.9,"Cardiomyopathy, unspecified",455
2018,I44.2,"Atrioventricular block, complete",19
2018,I45.8,Other specified conduction disorders,65
2018,I47.2,Ventricular tachycardia,22
2018,I48,Atrial fibrillation and flutter,1053
2018,I49.0,Ventricular fibrillation and flutter,53
2018,I49.5,Sick sinus syndrome,34
2018,I49.9,"Cardiac arrhythmia, unspecified",230
2018,I50.0,Congestive heart failure,1206
2018,I50.1,Left ventricular failure,16
2018,I50.9,"Heart failure, unspecified",349
2018,I51.6,"Cardiovascular disease, unspecified",160
2018,I51.7,Cardiomegaly,28
2018,I51.8,Other ill-defined heart diseases,48
2018,I51.9,"Heart disease, unspecified",123
2018,I60.9,"Subarachnoid haemorrhage, unspecified",78
2018,I61.0,"Intracerebral haemorrhage in hemisphere, subcortical",12
2018,I61.1,"Intracerebral haemorrhage in hemisphere, cortical",21
2018,I61.4,Intracerebral haemorrhage in cerebellum,15
2018,I61.5,"Intracerebral haemorrhage, intraventricular",18
2018,I61.9,"Intracerebral haemorrhage, unspecified",248
2018,I62.0,Subdural haemorrhage (acute)(nontraumatic),77
2018,I62.9,"Intracranial haemorrhage (nontraumatic), unspecified",173
2018,I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,31
2018,I63.3,Cerebral infarction due to thrombosis of cerebral arteries,22
2018,I63.4,Cerebral infarction due to embolism of cerebral arteries,201
2018,I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,17
2018,I63.9,"Cerebral infarction, unspecified",426
2018,I64,"Stroke, not specified as haemorrhage or infarction",1460
2018,I67.1,"Cerebral aneurysm, nonruptured",10
2018,I67.2,Cerebral atherosclerosis,115
2018,I67.8,Other specified cerebrovascular diseases,32
2018,I67.9,"Cerebrovascular disease, unspecified",151
