cause,year,month,age,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,April,80-89,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,80-89,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,80-89,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,90+,Unvaccinated,388,1385,28016.8,,25298.0,30948.2
All causes,2021,April,90+,"First dose, less than 21 days ago",41,138,29754.7,,21350.0,40366.9
All causes,2021,April,90+,"First dose, at least 21 days ago",2666,7598,35086.3,,33766.9,36444.0
All causes,2021,April,90+,"Second dose, less than 21 days ago",1542,14194,10863.9,,10328.4,11420.0
All causes,2021,April,90+,"Second dose, at least 21 days ago",1994,14639,13621.0,,13029.7,14232.3
All causes,2021,April,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,90+,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,90+,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,90+,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,18-39,Unvaccinated,245,799581,32.6,,28.5,36.8
All causes,2021,May,18-39,"First dose, less than 21 days ago",17,72506,26.5,u,9.8,50.5
All causes,2021,May,18-39,"First dose, at least 21 days ago",113,137698,78.7,,63.8,93.7
All causes,2021,May,18-39,"Second dose, less than 21 days ago",36,62215,51.3,,35.6,71.3
All causes,2021,May,18-39,"Second dose, at least 21 days ago",67,96707,71.8,,54.4,92.8
All causes,2021,May,18-39,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,18-39,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,18-39,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,18-39,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,40-49,Unvaccinated,254,127425,222.7,,194.5,250.9
All causes,2021,May,40-49,"First dose, less than 21 days ago",45,106044,44.9,,32.5,60.5
All causes,2021,May,40-49,"First dose, at least 21 days ago",320,199583,159.1,,141.2,177.1
All causes,2021,May,40-49,"Second dose, less than 21 days ago",75,55529,129.5,,101.7,162.6
All causes,2021,May,40-49,"Second dose, at least 21 days ago",125,70303,174.8,,144.1,205.6
All causes,2021,May,40-49,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2021,May,40-49,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,40-49,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,40-49,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,50-59,Unvaccinated,362,51861,714.1,,640.3,788.0
All causes,2021,May,50-59,"First dose, less than 21 days ago",12,5079,222.7,u,111.1,395.1
All causes,2021,May,50-59,"First dose, at least 21 days ago",959,336096,284.7,,266.7,302.7
All causes,2021,May,50-59,"Second dose, less than 21 days ago",263,119681,214.4,,188.3,240.4
All causes,2021,May,50-59,"Second dose, at least 21 days ago",394,102357,376.8,,339.5,414.2
All causes,2021,May,50-59,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2021,May,50-59,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,50-59,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,50-59,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,60-69,Unvaccinated,527,24566,2273.2,,2076.4,2469.9
All causes,2021,May,60-69,"First dose, less than 21 days ago",21,1490,1590.1,,970.4,2449.9
All causes,2021,May,60-69,"First dose, at least 21 days ago",1623,152099,1426.7,,1350.4,1503.0
All causes,2021,May,60-69,"Second dose, less than 21 days ago",649,179875,356.5,,328.8,384.2
All causes,2021,May,60-69,"Second dose, at least 21 days ago",1109,132568,829.5,,779.2,879.8
All causes,2021,May,60-69,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,60-69,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,60-69,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,60-69,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,70-79,Unvaccinated,584,11385,5273.9,,4843.3,5704.5
All causes,2021,May,70-79,"First dose, less than 21 days ago",28,458,6081.6,,4021.8,8815.3
All causes,2021,May,70-79,"First dose, at least 21 days ago",2128,12877,18467.9,,17656.7,19279.1
All causes,2021,May,70-79,"Second dose, less than 21 days ago",1106,95155,1379.1,,1291.7,1466.5
All causes,2021,May,70-79,"Second dose, at least 21 days ago",4238,276962,1493.9,,1448.8,1539.1
All causes,2021,May,70-79,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2021,May,70-79,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,70-79,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,70-79,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,80-89,Unvaccinated,546,5087,10665.5,,9770.5,11560.4
All causes,2021,May,80-89,"First dose, less than 21 days ago",25,181,13457.9,,8701.3,19877.4
All causes,2021,May,80-89,"First dose, at least 21 days ago",1965,4280,45067.9,,43061.7,47074.1
All causes,2021,May,80-89,"Second dose, less than 21 days ago",777,10194,7557.7,,7026.0,8089.5
All causes,2021,May,80-89,"Second dose, at least 21 days ago",8361,165856,5036.9,,4929.0,5144.9
All causes,2021,May,80-89,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,80-89,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,80-89,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,80-89,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,90+,Unvaccinated,322,1339,24045.6,,21490.5,26820.8
All causes,2021,May,90+,"First dose, less than 21 days ago",7,49,14206.5,u,5691.5,29272.4
All causes,2021,May,90+,"First dose, at least 21 days ago",1054,1374,76696.5,,72135.4,81470.3
All causes,2021,May,90+,"Second dose, less than 21 days ago",486,2917,16660.1,,15211.6,18209.3
All causes,2021,May,90+,"Second dose, at least 21 days ago",5386,33788,15940.6,,15517.6,16372.1
All causes,2021,May,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,90+,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,90+,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,90+,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,June,18-39,Unvaccinated,225,513848,52.1,,44.8,59.4
All causes,2021,June,18-39,"First dose, less than 21 days ago",27,194814,13.9,,9.0,20.3
All causes,2021,June,18-39,"First dose, at least 21 days ago",117,170947,76.3,,58.9,93.7
All causes,2021,June,18-39,"Second dose, less than 21 days ago",24,65854,34.4,,21.7,51.6
All causes,2021,June,18-39,"Second dose, at least 21 days ago",130,184996,68.2,,56.0,80.5
All causes,2021,June,18-39,"Third dose or booster, less than 21 days ago",<3,5,,,,
All causes,2021,June,18-39,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,18-39,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,18-39,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,June,40-49,Unvaccinated,222,78352,299.0,,259.3,338.7
All causes,2021,June,40-49,"First dose, less than 21 days ago",13,19413,96.8,u,50.6,167.1
All causes,2021,June,40-49,"First dose, at least 21 days ago",229,204295,114.1,,99.3,128.9
All causes,2021,June,40-49,"Second dose, less than 21 days ago",66,85022,74.5,,57.3,95.2
All causes,2021,June,40-49,"Second dose, at least 21 days ago",277,153395,177.3,,156.3,198.3
All causes,2021,June,40-49,"Third dose or booster, less than 21 days ago",<3,7,,,,
All causes,2021,June,40-49,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,40-49,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,40-49,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,June,50-59,Unvaccinated,336,45423,757.3,,676.1,838.6
All causes,2021,June,50-59,"First dose, less than 21 days ago",10,3178,326.7,u,154.1,605.1
All causes,2021,June,50-59,"First dose, at least 21 days ago",449,64360,728.1,,660.2,795.9
All causes,2021,June,50-59,"Second dose, less than 21 days ago",206,181537,112.9,,97.5,128.3
All causes,2021,June,50-59,"Second dose, at least 21 days ago",986,301258,320.7,,300.6,340.8
All causes,2021,June,50-59,"Third dose or booster, less than 21 days ago",<3,9,,,,
All causes,2021,June,50-59,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,50-59,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,50-59,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,June,60-69,Unvaccinated,371,22233,1712.2,,1535.5,1888.8
All causes,2021,June,60-69,"First dose, less than 21 days ago",10,1044,982.2,u,453.8,1833.9
All causes,2021,June,60-69,"First dose, at least 21 days ago",742,15248,5886.2,,5428.3,6344.1
All causes,2021,June,60-69,"Second dose, less than 21 days ago",240,68642,537.8,,455.8,619.8
All causes,2021,June,60-69,"Second dose, at least 21 days ago",2502,368468,668.6,,642.3,694.9
All causes,2021,June,60-69,"Third dose or booster, less than 21 days ago",<3,7,,,,
All causes,2021,June,60-69,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,June,60-69,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,60-69,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,June,70-79,Unvaccinated,464,10552,4476.2,,4066.2,4886.2
All causes,2021,June,70-79,"First dose, less than 21 days ago",18,323,5814.2,u,3418.0,9228.6
All causes,2021,June,70-79,"First dose, at least 21 days ago",893,3663,24878.4,,23236.2,26520.6
All causes,2021,June,70-79,"Second dose, less than 21 days ago",193,3855,5424.3,,4637.7,6211.0
All causes,2021,June,70-79,"Second dose, at least 21 days ago",6489,366692,1786.9,,1743.4,1830.4
All causes,2021,June,70-79,"Third dose or booster, less than 21 days ago",<3,12,,,,
All causes,2021,June,70-79,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,70-79,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,70-79,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,June,80-89,Unvaccinated,461,4723,9704.7,,8818.5,10591.0
All causes,2021,June,80-89,"First dose, less than 21 days ago",9,123,7282.5,u,3329.9,13824.5
All causes,2021,June,80-89,"First dose, at least 21 days ago",832,1761,46341.8,,43166.1,49517.5
All causes,2021,June,80-89,"Second dose, less than 21 days ago",155,1296,11787.9,,9924.2,13651.5
All causes,2021,June,80-89,"Second dose, at least 21 days ago",9756,172013,5659.2,,5546.9,5771.6
All causes,2021,June,80-89,"Third dose or booster, less than 21 days ago",<3,6,,,,
All causes,2021,June,80-89,"Third dose or booster, at least 21 days ago",<3,2,,,,
All causes,2021,June,80-89,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,80-89,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,June,90+,Unvaccinated,289,1248,23159.6,,20566.0,25989.7
All causes,2021,June,90+,"First dose, less than 21 days ago",7,27,25930.5,u,10388.4,53429.5
All causes,2021,June,90+,"First dose, at least 21 days ago",466,579,80510.9,,73365.8,88163.9
All causes,2021,June,90+,"Second dose, less than 21 days ago",101,385,26200.6,,21340.3,31836.5
All causes,2021,June,90+,"Second dose, at least 21 days ago",5746,36246,15852.6,,15445.3,16267.9
All causes,2021,June,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,90+,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,June,90+,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,June,90+,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,July,18-39,Unvaccinated,230,326894,77.5,,67.2,87.7
All causes,2021,July,18-39,"First dose, less than 21 days ago",38,117389,49.5,,30.9,73.1
All causes,2021,July,18-39,"First dose, at least 21 days ago",139,353704,38.6,,32.1,45.1
All causes,2021,July,18-39,"Second dose, less than 21 days ago",13,84412,17.4,u,7.3,32.7
All causes,2021,July,18-39,"Second dose, at least 21 days ago",225,285315,75.3,,65.1,85.5
All causes,2021,July,18-39,"Third dose or booster, less than 21 days ago",<3,5,,,,
All causes,2021,July,18-39,"Third dose or booster, at least 21 days ago",<3,10,,,,
All causes,2021,July,18-39,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,18-39,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,July,40-49,Unvaccinated,206,71525,296.5,,255.7,337.4
All causes,2021,July,40-49,"First dose, less than 21 days ago",5,5892,92.9,u,28.9,219.4
All causes,2021,July,40-49,"First dose, at least 21 days ago",160,81994,219.0,,184.1,253.9
All causes,2021,July,40-49,"Second dose, less than 21 days ago",60,104365,57.6,,44.0,74.2
All causes,2021,July,40-49,"Second dose, at least 21 days ago",513,294531,170.4,,155.5,185.2
All causes,2021,July,40-49,"Third dose or booster, less than 21 days ago",<3,6,,,,
All causes,2021,July,40-49,"Third dose or booster, at least 21 days ago",<3,14,,,,
All causes,2021,July,40-49,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,40-49,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,July,50-59,Unvaccinated,360,43929,823.5,,738.1,908.8
All causes,2021,July,50-59,"First dose, less than 21 days ago",6,2056,302.7,u,108.2,664.0
All causes,2021,July,50-59,"First dose, at least 21 days ago",285,16316,1836.0,,1620.1,2052.0
All causes,2021,July,50-59,"Second dose, less than 21 days ago",40,19163,227.4,,160.8,311.6
All causes,2021,July,50-59,"Second dose, at least 21 days ago",1565,534372,290.1,,275.7,304.5
All causes,2021,July,50-59,"Third dose or booster, less than 21 days ago",<3,8,,,,
All causes,2021,July,50-59,"Third dose or booster, at least 21 days ago",<3,18,,,,
All causes,2021,July,50-59,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,50-59,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,July,60-69,Unvaccinated,441,22018,2084.7,,1887.6,2281.8
All causes,2021,July,60-69,"First dose, less than 21 days ago",5,687,825.5,u,252.8,1956.5
All causes,2021,July,60-69,"First dose, at least 21 days ago",435,6262,7561.9,,6834.7,8289.0
All causes,2021,July,60-69,"Second dose, less than 21 days ago",63,4247,1700.4,,1278.6,2209.4
All causes,2021,July,60-69,"Second dose, at least 21 days ago",3408,459073,746.6,,721.5,771.7
All causes,2021,July,60-69,"Third dose or booster, less than 21 days ago",<3,6,,,,
All causes,2021,July,60-69,"Third dose or booster, at least 21 days ago",<3,13,,,,
All causes,2021,July,60-69,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,60-69,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,July,70-79,Unvaccinated,460,10602,4447.7,,4038.7,4856.8
All causes,2021,July,70-79,"First dose, less than 21 days ago",4,221,1889.7,u,498.2,4874.3
All causes,2021,July,70-79,"First dose, at least 21 days ago",523,2492,21311.0,,19475.7,23146.3
All causes,2021,July,70-79,"Second dose, less than 21 days ago",56,944,6113.6,,4603.7,7956.6
All causes,2021,July,70-79,"Second dose, at least 21 days ago",7935,384626,2082.0,,2036.2,2127.9
All causes,2021,July,70-79,"Third dose or booster, less than 21 days ago",<3,16,,,,
All causes,2021,July,70-79,"Third dose or booster, at least 21 days ago",<3,26,,,,
All causes,2021,July,70-79,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,70-79,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,July,80-89,Unvaccinated,528,4735,11073.4,,10128.4,12018.3
All causes,2021,July,80-89,"First dose, less than 21 days ago",12,81,14834.4,u,7664.6,25913.5
All causes,2021,July,80-89,"First dose, at least 21 days ago",520,1234,41253.0,,37677.2,44828.9
All causes,2021,July,80-89,"Second dose, less than 21 days ago",60,397,14878.6,,11337.1,19172.1
All causes,2021,July,80-89,"Second dose, at least 21 days ago",11490,179637,6374.4,,6257.8,6491.0
All causes,2021,July,80-89,"Third dose or booster, less than 21 days ago",<3,4,,,,
All causes,2021,July,80-89,"Third dose or booster, at least 21 days ago",<3,12,,,,
All causes,2021,July,80-89,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,80-89,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,July,90+,Unvaccinated,317,1255,25266.2,,22560.9,28206.4
All causes,2021,July,90+,"First dose, less than 21 days ago",<3,18,,,,
All causes,2021,July,90+,"First dose, at least 21 days ago",284,406,69946.2,,62046.6,78572.8
All causes,2021,July,90+,"Second dose, less than 21 days ago",35,115,30470.1,,21220.3,42378.1
All causes,2021,July,90+,"Second dose, at least 21 days ago",7117,38201,18630.2,,18199.8,19068.1
All causes,2021,July,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,90+,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,July,90+,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,July,90+,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,August,18-39,Unvaccinated,178,282801,68.3,,58.1,78.6
All causes,2021,August,18-39,"First dose, less than 21 days ago",4,24874,11.9,u,2.3,32.5
All causes,2021,August,18-39,"First dose, at least 21 days ago",101,265320,52.4,,41.5,63.4
All causes,2021,August,18-39,"Second dose, less than 21 days ago",31,164592,19.7,,13.2,28.1
All causes,2021,August,18-39,"Second dose, at least 21 days ago",258,429989,58.5,,50.7,66.4
All causes,2021,August,18-39,"Third dose or booster, less than 21 days ago",<3,5,,,,
All causes,2021,August,18-39,"Third dose or booster, at least 21 days ago",<3,16,,,,
All causes,2021,August,18-39,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,18-39,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,August,40-49,Unvaccinated,227,67313,351.8,,305.7,398.0
All causes,2021,August,40-49,"First dose, less than 21 days ago",6,2736,244.0,u,87.1,535.6
All causes,2021,August,40-49,"First dose, at least 21 days ago",114,27749,444.4,,361.3,527.5
All causes,2021,August,40-49,"Second dose, less than 21 days ago",19,31028,62.7,u,36.3,100.0
All causes,2021,August,40-49,"Second dose, at least 21 days ago",501,429389,114.9,,104.8,125.0
All causes,2021,August,40-49,"Third dose or booster, less than 21 days ago",<3,4,,,,
All causes,2021,August,40-49,"Third dose or booster, at least 21 days ago",<3,21,,,,
All causes,2021,August,40-49,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,40-49,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,August,50-59,Unvaccinated,372,42258,895.3,,804.1,986.5
All causes,2021,August,50-59,"First dose, less than 21 days ago",5,1139,465.3,u,147.9,1092.0
All causes,2021,August,50-59,"First dose, at least 21 days ago",191,11625,1714.8,,1469.7,1959.8
All causes,2021,August,50-59,"Second dose, less than 21 days ago",17,4506,332.6,u,191.8,535.3
All causes,2021,August,50-59,"Second dose, at least 21 days ago",1671,556529,296.4,,282.1,310.6
All causes,2021,August,50-59,"Third dose or booster, less than 21 days ago",<3,7,,,,
All causes,2021,August,50-59,"Third dose or booster, at least 21 days ago",<3,28,,,,
All causes,2021,August,50-59,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,50-59,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,August,60-69,Unvaccinated,422,21459,2057.1,,1858.4,2255.8
All causes,2021,August,60-69,"First dose, less than 21 days ago",8,414,1821.5,u,755.2,3642.3
All causes,2021,August,60-69,"First dose, at least 21 days ago",267,4841,5770.2,,5062.9,6477.6
All causes,2021,August,60-69,"Second dose, less than 21 days ago",13,1450,953.7,u,492.3,1654.3
All causes,2021,August,60-69,"Second dose, at least 21 days ago",3641,464949,788.7,,763.1,814.3
All causes,2021,August,60-69,"Third dose or booster, less than 21 days ago",<3,7,,,,
All causes,2021,August,60-69,"Third dose or booster, at least 21 days ago",<3,21,,,,
All causes,2021,August,60-69,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,60-69,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,August,70-79,Unvaccinated,525,10416,5172.3,,4727.2,5617.4
All causes,2021,August,70-79,"First dose, less than 21 days ago",6,129,4890.1,u,1744.9,10735.8
All causes,2021,August,70-79,"First dose, at least 21 days ago",308,2059,15319.1,,13600.4,17037.7
All causes,2021,August,70-79,"Second dose, less than 21 days ago",26,445,6154.2,,4002.8,9040.5
All causes,2021,August,70-79,"Second dose, at least 21 days ago",8214,386621,2140.3,,2094.0,2186.6
All causes,2021,August,70-79,"Third dose or booster, less than 21 days ago",<3,6,,,,
All causes,2021,August,70-79,"Third dose or booster, at least 21 days ago",<3,43,,,,
All causes,2021,August,70-79,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,70-79,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,August,80-89,Unvaccinated,513,4632,11010.7,,10057.5,11963.9
All causes,2021,August,80-89,"First dose, less than 21 days ago",7,51,13881.2,u,5579.8,28602.4
All causes,2021,August,80-89,"First dose, at least 21 days ago",350,1018,33653.6,,30098.9,37208.2
All causes,2021,August,80-89,"Second dose, less than 21 days ago",18,181,9901.0,u,5861.0,15657.7
All causes,2021,August,80-89,"Second dose, at least 21 days ago",11654,180407,6434.4,,6317.6,6551.2
All causes,2021,August,80-89,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2021,August,80-89,"Third dose or booster, at least 21 days ago",<3,16,,,,
All causes,2021,August,80-89,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,80-89,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,August,90+,Unvaccinated,308,1231,25029.7,,22312.0,27987.1
All causes,2021,August,90+,"First dose, less than 21 days ago",4,10,38356.5,u,10319.1,98201.1
All causes,2021,August,90+,"First dose, at least 21 days ago",201,337,59673.1,,51707.8,68517.9
All causes,2021,August,90+,"Second dose, less than 21 days ago",9,48,18843.5,u,8598.5,35773.2
All causes,2021,August,90+,"Second dose, at least 21 days ago",7347,38541,19062.8,,18629.4,19503.8
All causes,2021,August,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,90+,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,August,90+,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,August,90+,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,September,18-39,Unvaccinated,188,254550,80.7,,69.0,92.4
All causes,2021,September,18-39,"First dose, less than 21 days ago",3,13067,27.1,u,4.0,83.1
All causes,2021,September,18-39,"First dose, at least 21 days ago",80,113549,88.6,,69.2,111.5
All causes,2021,September,18-39,"Second dose, less than 21 days ago",18,105995,16.3,u,8.8,27.0
