year,week,ending,dead,type
2019,10,2019-03-09,1749,All
2019,11,2019-03-16,1722,All
2019,12,2019-03-23,1648,All
2019,13,2019-03-30,1567,All
2019,14,2019-04-06,1637,All
2019,15,2019-04-13,1685,All
2019,16,2019-04-20,1565,All
2019,17,2019-04-27,1545,All
2019,18,2019-05-04,1555,All
2019,19,2019-05-11,1549,All
2019,20,2019-05-18,1563,All
2019,21,2019-05-25,1516,All
2019,22,2019-06-01,1590,All
2019,23,2019-06-08,1628,All
2019,24,2019-06-15,1567,All
2019,25,2019-06-22,1531,All
2019,26,2019-06-29,1513,All
2019,27,2019-07-06,1608,All
2019,28,2019-07-13,1481,All
2019,29,2019-07-20,1563,All
2019,30,2019-07-27,1593,All
2019,31,2019-08-03,1531,All
2019,32,2019-08-10,1580,All
2019,33,2019-08-17,1535,All
2019,34,2019-08-24,1554,All
2019,35,2019-08-31,1549,All
2019,36,2019-09-07,1551,All
2019,37,2019-09-14,1526,All
2019,38,2019-09-21,1483,All
2019,39,2019-09-28,1518,All
2019,40,2019-10-05,1563,All
2019,41,2019-10-12,1590,All
2019,42,2019-10-19,1619,All
2019,43,2019-10-26,1565,All
2019,44,2019-11-02,1634,All
2019,45,2019-11-09,1708,All
2019,46,2019-11-16,1650,All
2019,47,2019-11-23,1601,All
2019,48,2019-11-30,1663,All
2019,49,2019-12-07,1757,All
2019,50,2019-12-14,1687,All
2019,51,2019-12-21,1732,All
2019,52,2019-12-28,1805,All
2020,1,2020-01-04,1865,All
2020,2,2020-01-11,1816,All
2020,3,2020-01-18,1737,All
2020,4,2020-01-25,1710,All
2020,5,2020-02-01,1734,All
2020,6,2020-02-08,1775,All
2020,7,2020-02-15,1687,All
2020,8,2020-02-22,1749,All
2020,9,2020-02-29,1771,All
2020,10,2020-03-07,1822,All
2020,11,2020-03-14,1763,All
2020,12,2020-03-21,1802,All
2020,13,2020-03-28,1909,All
2020,14,2020-04-04,2259,All
2020,15,2020-04-11,2346,All
2020,16,2020-04-18,2131,All
2020,17,2020-04-25,2199,All
2020,18,2020-05-02,2209,All
2020,19,2020-05-09,2202,All
2020,20,2020-05-16,2219,All
2020,21,2020-05-23,2203,All
2020,22,2020-05-30,2037,All
2020,23,2020-06-06,2115,All
2020,24,2020-06-13,2026,All
2020,25,2020-06-20,2068,All
2020,26,2020-06-27,2013,All
2020,27,2020-07-04,2087,All
2020,28,2020-07-11,2198,All
2020,29,2020-07-18,2171,All
2020,30,2020-07-25,2214,All
2020,31,2020-08-01,2117,All
2020,32,2020-08-08,2143,All
2020,33,2020-08-15,2098,All
2020,34,2020-08-22,2080,All
2020,35,2020-08-29,2090,All
2020,36,2020-09-05,2063,All
2020,37,2020-09-12,1979,All
2020,38,2020-09-19,1963,All
2020,39,2020-09-26,2042,All
2020,40,2020-10-03,1923,All
2020,41,2020-10-10,2005,All
2020,42,2020-10-17,1914,All
2020,43,2020-10-24,1938,All
2020,44,2020-10-31,1940,All
2020,45,2020-11-07,2187,All
2020,46,2020-11-14,2049,All
2020,47,2020-11-21,2056,All
2020,48,2020-11-28,2129,All
2020,49,2020-12-05,2218,All
2020,50,2020-12-12,2248,All
2020,51,2020-12-19,2367,All
2020,52,2020-12-26,2535,All
2020,53,2021-01-02,2534,All
2021,1,2021-01-09,2667,All
2021,2,2021-01-16,2562,All
2021,3,2021-01-23,2413,All
2021,4,2021-01-30,2401,All
2021,5,2021-02-06,2419,All
2021,6,2021-02-13,2372,All
2021,7,2021-02-20,2235,All
2021,8,2021-02-27,2227,All
2021,9,2021-03-06,2184,All
2021,10,2021-03-13,2131,All
2021,11,2021-03-20,2292,All
2021,12,2021-03-27,2315,All
2021,13,2021-04-03,2292,All
2021,14,2021-04-10,2221,All
2021,15,2021-04-17,2312,All
2021,16,2021-04-24,2282,All
2021,17,2021-05-01,2221,All
2021,18,2021-05-08,2179,All
2021,19,2021-05-15,2147,All
2021,20,2021-05-22,2166,All
2021,21,2021-05-29,2125,All
2021,22,2021-06-05,2202,All
2021,23,2021-06-12,2123,All
2021,24,2021-06-19,2112,All
2021,25,2021-06-26,2136,All
2021,26,2021-07-03,2141,All
2021,27,2021-07-10,2136,All
2021,28,2021-07-17,2108,All
2021,29,2021-07-24,2145,All
2021,30,2021-07-31,2295,All
2021,31,2021-08-07,2486,All
2021,32,2021-08-14,2578,All
2021,33,2021-08-21,2628,All
2021,34,2021-08-28,2806,All
2021,35,2021-09-04,2870,All
2021,36,2021-09-11,2826,All
2021,37,2021-09-18,2665,All
2021,38,2021-09-25,2697,All
2021,39,2021-10-02,2644,All
2021,40,2021-10-09,2605,All
2021,41,2021-10-16,2444,All
2021,42,2021-10-23,2361,All
2021,43,2021-10-30,2342,All
2021,44,2021-11-06,2390,All
2021,45,2021-11-13,2305,All
2021,46,2021-11-20,2249,All
2021,47,2021-11-27,2454,All
2021,48,2021-12-04,2356,All
2021,49,2021-12-11,2493,All
2021,50,2021-12-18,2496,All
2021,51,2021-12-25,2543,All
2021,52,2022-01-01,2649,All
2022,1,2022-01-08,2641,All
2022,2,2022-01-15,2641,All
2022,3,2022-01-22,2629,All
2022,4,2022-01-29,2485,All
2022,5,2022-02-05,2526,All
2022,6,2022-02-12,2459,All
2022,7,2022-02-19,2312,All
2022,8,2022-02-26,2161,All
2022,9,2022-03-05,2225,All
2022,10,2022-03-12,2124,All
2022,11,2022-03-19,2074,All
2022,12,2022-03-26,2033,All
2022,13,2022-04-02,2031,All
2022,14,2022-04-09,2082,All
2022,15,2022-04-16,2014,All
2022,16,2022-04-23,1965,All
2022,17,2022-04-30,1985,All
2022,18,2022-05-07,2038,All
2022,19,2022-05-14,1927,All
2022,20,2022-05-21,1912,All
2022,21,2022-05-28,1950,All
2022,22,2022-06-04,1957,All
2022,23,2022-06-11,2106,All
2022,24,2022-06-18,2092,All
2022,25,2022-06-25,2062,All
2022,26,2022-07-02,2045,All
2022,27,2022-07-09,2109,All
2022,28,2022-07-16,2165,All
2022,29,2022-07-23,2092,All
2022,30,2022-07-30,2075,All
2022,31,2022-08-06,2028,All
2022,32,2022-08-13,2003,All
2022,33,2022-08-20,1922,All
2022,34,2022-08-27,2016,All
2022,35,2022-09-03,1986,All
2022,36,2022-09-10,2187,All
2022,37,2022-09-17,1987,All
2022,38,2022-09-24,2028,All
2022,39,2022-10-01,1986,All
2022,40,2022-10-08,2071,All
2022,41,2022-10-15,2043,All
2022,42,2022-10-22,2014,All
2022,43,2022-10-29,2100,All
2022,44,2022-11-05,2121,All
2022,45,2022-11-12,2145,All
2022,46,2022-11-19,2095,All
2022,47,2022-11-26,2167,All
2022,48,2022-12-03,2281,All
2022,49,2022-12-10,2277,All
2022,50,2022-12-17,2284,All
2022,51,2022-12-24,2262,All
2022,52,2022-12-31,2400,All
2023,1,2023-01-07,2201,All
2023,2,2023-01-14,2122,All
2023,3,2023-01-21,2046,All
2023,4,2023-01-28,2092,All
2023,5,2023-02-04,2083,All
2023,6,2023-02-11,2117,All
2023,7,2023-02-18,2038,All
2023,8,2023-02-25,2019,All
2023,9,2023-03-04,2115,All
2023,10,2023-03-11,2031,All
2023,11,2023-03-18,1987,All
2023,12,2023-03-25,2063,All
2023,13,2023-04-01,2075,All
2023,14,2023-04-08,2034,All
2023,15,2023-04-15,2034,All
2023,16,2023-04-22,2007,All
2023,17,2023-04-29,1980,All
2023,18,2023-05-06,2109,All
2023,19,2023-05-13,2018,All
2023,20,2023-05-20,1940,All
2023,21,2023-05-27,1992,All
2023,22,2023-06-03,2008,All
2023,23,2023-06-10,2000,All
2023,24,2023-06-17,1961,All
2023,25,2023-06-24,1847,All
2023,26,2023-07-01,1922,All
2023,27,2023-07-08,2064,All
2023,28,2023-07-15,1978,All
2023,29,2023-07-22,1964,All
2023,30,2023-07-29,1929,All
2023,31,2023-08-05,2020,All
2023,32,2023-08-12,1985,All
2023,33,2023-08-19,2002,All
2023,34,2023-08-26,1954,All
2023,35,2023-09-02,1932,All
2023,36,2023-09-09,1949,All
2023,37,2023-09-16,1919,All
2023,38,2023-09-23,1944,All
2023,39,2023-09-30,1906,All
2023,40,2023-10-07,1974,All
2023,41,2023-10-14,1948,All
2023,42,2023-10-21,1830,All
2023,43,2023-10-28,1877,All
2023,44,2023-11-04,1924,All
2023,45,2023-11-11,1897,All
2023,46,2023-11-18,1942,All
2023,47,2023-11-25,1988,All
2023,48,2023-12-02,1987,All
2023,49,2023-12-09,1963,All
2023,50,2023-12-16,2066,All
2023,51,2023-12-23,2047,All
2023,52,2023-12-30,2138,All
2024,1,2024-01-06,2101,All
2024,2,2024-01-13,2028,All
2024,3,2024-01-20,1955,All
2024,4,2024-01-27,1892,All
2024,5,2024-02-03,1995,All
2024,6,2024-02-10,1956,All
2024,7,2024-02-17,1896,All
2024,8,2024-02-24,1888,All
2024,9,2024-03-02,1935,All
2024,10,2024-03-09,1921,All
2024,11,2024-03-16,1821,All
2024,12,2024-03-23,1778,All
2024,13,2024-03-30,1787,All
2024,14,2024-04-06,1846,All
2024,15,2024-04-13,1919,All
2024,16,2024-04-20,1806,All
2024,17,2024-04-27,1798,All
2024,18,2024-05-04,1784,All
2024,19,2024-05-11,1797,All
2024,20,2024-05-18,1754,All
2024,21,2024-05-25,1742,All
2024,22,2024-06-01,1768,All
2024,23,2024-06-08,1817,All
2024,24,2024-06-15,1723,All
2024,25,2024-06-22,1777,All
2024,26,2024-06-29,1790,All
2024,27,2024-07-06,1762,All
2024,28,2024-07-13,1769,All
2024,29,2024-07-20,1661,All
2024,30,2024-07-27,1627,All
2024,31,2024-08-03,1720,All
2024,32,2024-08-10,1661,All
2024,33,2024-08-17,1602,All
2024,34,2024-08-24,1624,All
2024,35,2024-08-31,1666,All
2024,36,2024-09-07,1648,All
2024,37,2024-09-14,1524,All
2024,38,2024-09-21,1601,All
2024,39,2024-09-28,1586,All
2024,40,2024-10-05,1635,All
2024,41,2024-10-12,1693,All
2024,42,2024-10-19,1672,All
2024,43,2024-10-26,1597,All
2024,44,2024-11-02,1596,All
2024,45,2024-11-09,1769,All
2024,46,2024-11-16,1638,All
2024,47,2024-11-23,1669,All
2024,48,2024-11-30,1724,All
2024,49,2024-12-07,1767,All
2024,50,2024-12-14,1713,All
2024,51,2024-12-21,1745,All
2024,52,2024-12-28,1843,All
2025,1,2025-01-04,1527,All
2025,2,2025-01-11,1589,All
2025,3,2025-01-18,1558,All
2025,4,2025-01-25,1607,All
2025,5,2025-02-01,1676,All
2025,6,2025-02-08,1614,All
2025,7,2025-02-15,1609,All
2025,8,2025-02-22,1718,All
2025,9,2025-03-01,1606,All
2025,10,2025-03-08,1662,All
2025,11,2025-03-15,1732,All
2025,12,2025-03-22,1741,All
2025,13,2025-03-29,1724,All
2025,14,2025-04-05,1759,All
2025,15,2025-04-12,1804,All
2025,16,2025-04-19,1875,All
2025,17,2025-04-26,1962,All
2025,18,2025-05-03,2039,All
2025,19,2025-05-10,2209,All
2025,20,2025-05-17,2359,All
2025,21,2025-05-24,2307,All
2025,22,2025-05-31,2285,All
2025,23,2025-06-07,2342,All
2025,24,2025-06-14,1951,All
2025,25,2025-06-21,1244,All
2018,1,2018-01-06,1646,Not COVID
2018,2,2018-01-13,1911,Not COVID
2018,3,2018-01-20,1731,Not COVID
2018,4,2018-01-27,1701,Not COVID
2018,5,2018-02-03,1716,Not COVID
2018,6,2018-02-10,1770,Not COVID
2018,7,2018-02-17,1711,Not COVID
2018,8,2018-02-24,1636,Not COVID
2018,9,2018-03-03,1710,Not COVID
2018,10,2018-03-10,1731,Not COVID
2018,11,2018-03-17,1702,Not COVID
2018,12,2018-03-24,1606,Not COVID
2018,13,2018-03-31,1548,Not COVID
2018,14,2018-04-07,1674,Not COVID
2018,15,2018-04-14,1596,Not COVID
2018,16,2018-04-21,1575,Not COVID
2018,17,2018-04-28,1521,Not COVID
2018,18,2018-05-05,1620,Not COVID
2018,19,2018-05-12,1681,Not COVID
2018,20,2018-05-19,1520,Not COVID
2018,21,2018-05-26,1569,Not COVID
2018,22,2018-06-02,1590,Not COVID
2018,23,2018-06-09,1613,Not COVID
2018,24,2018-06-16,1564,Not COVID
2018,25,2018-06-23,1544,Not COVID
2018,26,2018-06-30,1607,Not COVID
2018,27,2018-07-07,1554,Not COVID
2018,28,2018-07-14,1581,Not COVID
2018,29,2018-07-21,1578,Not COVID
2018,30,2018-07-28,1561,Not COVID
2018,31,2018-08-04,1493,Not COVID
2018,32,2018-08-11,1666,Not COVID
2018,33,2018-08-18,1529,Not COVID
2018,34,2018-08-25,1548,Not COVID
2018,35,2018-09-01,1522,Not COVID
2018,36,2018-09-08,1610,Not COVID
2018,37,2018-09-15,1640,Not COVID
2018,38,2018-09-22,1587,Not COVID
2018,39,2018-09-29,1526,Not COVID
2018,40,2018-10-06,1586,Not COVID
2018,41,2018-10-13,1597,Not COVID
2018,42,2018-10-20,1549,Not COVID
2018,43,2018-10-27,1638,Not COVID
2018,44,2018-11-03,1666,Not COVID
2018,45,2018-11-10,1600,Not COVID
2018,46,2018-11-17,1588,Not COVID
2018,47,2018-11-24,1638,Not COVID
2018,48,2018-12-01,1576,Not COVID
2018,49,2018-12-08,1706,Not COVID
2018,50,2018-12-15,1727,Not COVID
2018,51,2018-12-22,1616,Not COVID
2018,52,2018-12-29,1672,Not COVID
2019,1,2019-01-05,1770,Not COVID
2019,2,2019-01-12,1595,Not COVID
2019,3,2019-01-19,1568,Not COVID
2019,4,2019-01-26,1630,Not COVID
2019,5,2019-02-02,1709,Not COVID
2019,6,2019-02-09,1641,Not COVID
2019,7,2019-02-16,1608,Not COVID
2019,8,2019-02-23,1598,Not COVID
2019,9,2019-03-02,1694,Not COVID
2019,10,2019-03-09,1749,Not COVID
2019,11,2019-03-16,1722,Not COVID
2019,12,2019-03-23,1648,Not COVID
2019,13,2019-03-30,1567,Not COVID
2019,14,2019-04-06,1637,Not COVID
2019,15,2019-04-13,1685,Not COVID
2019,16,2019-04-20,1565,Not COVID
2019,17,2019-04-27,1545,Not COVID
2019,18,2019-05-04,1555,Not COVID
2019,19,2019-05-11,1549,Not COVID
2019,20,2019-05-18,1563,Not COVID
2019,21,2019-05-25,1516,Not COVID
2019,22,2019-06-01,1590,Not COVID
2019,23,2019-06-08,1628,Not COVID
2019,24,2019-06-15,1567,Not COVID
2019,25,2019-06-22,1531,Not COVID
2019,26,2019-06-29,1513,Not COVID
2019,27,2019-07-06,1608,Not COVID
2019,28,2019-07-13,1481,Not COVID
2019,29,2019-07-20,1563,Not COVID
2019,30,2019-07-27,1593,Not COVID
2019,31,2019-08-03,1531,Not COVID
2019,32,2019-08-10,1580,Not COVID
2019,33,2019-08-17,1535,Not COVID
2019,34,2019-08-24,1554,Not COVID
2019,35,2019-08-31,1549,Not COVID
2019,36,2019-09-07,1551,Not COVID
2019,37,2019-09-14,1526,Not COVID
2019,38,2019-09-21,1483,Not COVID
2019,39,2019-09-28,1518,Not COVID
2019,40,2019-10-05,1563,Not COVID
2019,41,2019-10-12,1590,Not COVID
2019,42,2019-10-19,1619,Not COVID
2019,43,2019-10-26,1565,Not COVID
2019,44,2019-11-02,1634,Not COVID
2019,45,2019-11-09,1708,Not COVID
2019,46,2019-11-16,1650,Not COVID
2019,47,2019-11-23,1601,Not COVID
2019,48,2019-11-30,1663,Not COVID
2019,49,2019-12-07,1757,Not COVID
2019,50,2019-12-14,1687,Not COVID
2019,51,2019-12-21,1732,Not COVID
2019,52,2019-12-28,1805,Not COVID
2020,1,2020-01-04,1865,Not COVID
2020,2,2020-01-11,1816,Not COVID
2020,3,2020-01-18,1737,Not COVID
2020,4,2020-01-25,1710,Not COVID
2020,5,2020-02-01,1734,Not COVID
2020,6,2020-02-08,1775,Not COVID
2020,7,2020-02-15,1687,Not COVID
2020,8,2020-02-22,1749,Not COVID
2020,9,2020-02-29,1771,Not COVID
2020,10,2020-03-07,1822,Not COVID
2020,11,2020-03-14,1763,Not COVID
2020,12,2020-03-21,1784,Not COVID
2020,13,2020-03-28,1815,Not COVID
2020,14,2020-04-04,2003,Not COVID
2020,15,2020-04-11,2060,Not COVID
2020,16,2020-04-18,1869,Not COVID
2020,17,2020-04-25,1966,Not COVID
2020,18,2020-05-02,2033,Not COVID
2020,19,2020-05-09,2046,Not COVID
2020,20,2020-05-16,2068,Not COVID
2020,21,2020-05-23,2096,Not COVID
2020,22,2020-05-30,1942,Not COVID
2020,23,2020-06-06,2021,Not COVID
2020,24,2020-06-13,1935,Not COVID
2020,25,2020-06-20,1987,Not COVID
2020,26,2020-06-27,1922,Not COVID
2020,27,2020-07-04,1964,Not COVID
2020,28,2020-07-11,2061,Not COVID
2020,29,2020-07-18,1996,Not COVID
2020,30,2020-07-25,2044,Not COVID
2020,31,2020-08-01,1954,Not COVID
2020,32,2020-08-08,2000,Not COVID
2020,33,2020-08-15,1966,Not COVID
2020,34,2020-08-22,1937,Not COVID
2020,35,2020-08-29,1987,Not COVID
2020,36,2020-09-05,1965,Not COVID
2020,37,2020-09-12,1877,Not COVID
2020,38,2020-09-19,1901,Not COVID
2020,39,2020-09-26,1959,Not COVID
2020,40,2020-10-03,1852,Not COVID
2020,41,2020-10-10,1927,Not COVID
2020,42,2020-10-17,1848,Not COVID
2020,43,2020-10-24,1860,Not COVID
2020,44,2020-10-31,1843,Not COVID
2020,45,2020-11-07,2064,Not COVID
2020,46,2020-11-14,1918,Not COVID
2020,47,2020-11-21,1883,Not COVID
2020,48,2020-11-28,1930,Not COVID
2020,49,2020-12-05,1987,Not COVID
2020,50,2020-12-12,1977,Not COVID
2020,51,2020-12-19,2055,Not COVID
2020,52,2020-12-26,2159,Not COVID
2020,53,2021-01-02,2106,Not COVID
2021,1,2021-01-09,2189,Not COVID
2021,2,2021-01-16,2159,Not COVID
2021,3,2021-01-23,2018,Not COVID
2021,4,2021-01-30,2030,Not COVID
2021,5,2021-02-06,2110,Not COVID
2021,6,2021-02-13,2105,Not COVID
2021,7,2021-02-20,2019,Not COVID
2021,8,2021-02-27,2037,Not COVID
2021,9,2021-03-06,2044,Not COVID
2021,10,2021-03-13,1985,Not COVID
2021,11,2021-03-20,2147,Not COVID
2021,12,2021-03-27,2214,Not COVID
2021,13,2021-04-03,2180,Not COVID
2021,14,2021-04-10,2097,Not COVID
2021,15,2021-04-17,2178,Not COVID
2021,16,2021-04-24,2127,Not COVID
2021,17,2021-05-01,2084,Not COVID
2021,18,2021-05-08,2059,Not COVID
2021,19,2021-05-15,2036,Not COVID
2021,20,2021-05-22,2062,Not COVID
2021,21,2021-05-29,2042,Not COVID
2021,22,2021-06-05,2116,Not COVID
2021,23,2021-06-12,2059,Not COVID
2021,24,2021-06-19,2050,Not COVID
2021,25,2021-06-26,2066,Not COVID
2021,26,2021-07-03,2083,Not COVID
2021,27,2021-07-10,2059,Not COVID
2021,28,2021-07-17,2017,Not COVID
2021,29,2021-07-24,2012,Not COVID
2021,30,2021-07-31,2103,Not COVID
2021,31,2021-08-07,2167,Not COVID
2021,32,2021-08-14,2141,Not COVID
2021,33,2021-08-21,2076,Not COVID
2021,34,2021-08-28,2190,Not COVID
2021,35,2021-09-04,2173,Not COVID
2021,36,2021-09-11,2204,Not COVID
2021,37,2021-09-18,2093,Not COVID
2021,38,2021-09-25,2126,Not COVID
2021,39,2021-10-02,2169,Not COVID
2021,40,2021-10-09,2223,Not COVID
2021,41,2021-10-16,2074,Not COVID
2021,42,2021-10-23,2083,Not COVID
2021,43,2021-10-30,2074,Not COVID
2021,44,2021-11-06,2174,Not COVID
2021,45,2021-11-13,2100,Not COVID
2021,46,2021-11-20,2043,Not COVID
2021,47,2021-11-27,2242,Not COVID
2021,48,2021-12-04,2114,Not COVID
2021,49,2021-12-11,2220,Not COVID
2021,50,2021-12-18,2182,Not COVID
2021,51,2021-12-25,2218,Not COVID
2021,52,2022-01-01,2282,Not COVID
2022,1,2022-01-08,2170,Not COVID
2022,2,2022-01-15,2133,Not COVID
2022,3,2022-01-22,2126,Not COVID
2022,4,2022-01-29,1996,Not COVID
2022,5,2022-02-05,2122,Not COVID
2022,6,2022-02-12,2139,Not COVID
2022,7,2022-02-19,2075,Not COVID
2022,8,2022-02-26,2012,Not COVID
2022,9,2022-03-05,2120,Not COVID
2022,10,2022-03-12,2047,Not COVID
2022,11,2022-03-19,2009,Not COVID
2022,12,2022-03-26,1982,Not COVID
2022,13,2022-04-02,1983,Not COVID
2022,14,2022-04-09,2042,Not COVID
2022,15,2022-04-16,1975,Not COVID
2022,16,2022-04-23,1929,Not COVID
2022,17,2022-04-30,1953,Not COVID
2022,18,2022-05-07,2005,Not COVID
2022,19,2022-05-14,1888,Not COVID
2022,20,2022-05-21,1869,Not COVID
2022,21,2022-05-28,1907,Not COVID
2022,22,2022-06-04,1925,Not COVID
2022,23,2022-06-11,2064,Not COVID
2022,24,2022-06-18,2051,Not COVID
2022,25,2022-06-25,2025,Not COVID
2022,26,2022-07-02,2002,Not COVID
2022,27,2022-07-09,2057,Not COVID
2022,28,2022-07-16,2102,Not COVID
2022,29,2022-07-23,2051,Not COVID
2022,30,2022-07-30,2009,Not COVID
2022,31,2022-08-06,1969,Not COVID
2022,32,2022-08-13,1938,Not COVID
2022,33,2022-08-20,1864,Not COVID
2022,34,2022-08-27,1964,Not COVID
2022,35,2022-09-03,1933,Not COVID
2022,36,2022-09-10,2136,Not COVID
2022,37,2022-09-17,1938,Not COVID
2022,38,2022-09-24,1993,Not COVID
2022,39,2022-10-01,1950,Not COVID
2022,40,2022-10-08,2044,Not COVID
2022,41,2022-10-15,2014,Not COVID
2022,42,2022-10-22,1983,Not COVID
2022,43,2022-10-29,2073,Not COVID
2022,44,2022-11-05,2088,Not COVID
2022,45,2022-11-12,2107,Not COVID
2022,46,2022-11-19,2059,Not COVID
2022,47,2022-11-26,2122,Not COVID
2022,48,2022-12-03,2254,Not COVID
2022,49,2022-12-10,2229,Not COVID
2022,50,2022-12-17,2232,Not COVID
2022,51,2022-12-24,2208,Not COVID
2022,52,2022-12-31,2346,Not COVID
2023,1,2023-01-07,2157,Not COVID
2023,2,2023-01-14,2074,Not COVID
2023,3,2023-01-21,2000,Not COVID
2023,4,2023-01-28,2053,Not COVID
2023,5,2023-02-04,2046,Not COVID
2023,6,2023-02-11,2084,Not COVID
2023,7,2023-02-18,2011,Not COVID
2023,8,2023-02-25,1985,Not COVID
2023,9,2023-03-04,2089,Not COVID
2023,10,2023-03-11,2012,Not COVID
2023,11,2023-03-18,1966,Not COVID
2023,12,2023-03-25,2036,Not COVID
2023,13,2023-04-01,2058,Not COVID
2023,14,2023-04-08,2017,Not COVID
2023,15,2023-04-15,2017,Not COVID
2023,16,2023-04-22,1991,Not COVID
2023,17,2023-04-29,1965,Not COVID
2023,18,2023-05-06,2097,Not COVID
2023,19,2023-05-13,2018,Not COVID
2023,20,2023-05-20,1930,Not COVID
2023,21,2023-05-27,1979,Not COVID
2023,22,2023-06-03,1997,Not COVID
2023,23,2023-06-10,2000,Not COVID
2023,24,2023-06-17,1961,Not COVID
2023,25,2023-06-24,1847,Not COVID
2023,26,2023-07-01,1922,Not COVID
2023,27,2023-07-08,2064,Not COVID
2023,28,2023-07-15,1978,Not COVID
2023,29,2023-07-22,1964,Not COVID
2023,30,2023-07-29,1929,Not COVID
2023,31,2023-08-05,2020,Not COVID
2023,32,2023-08-12,1985,Not COVID
2023,33,2023-08-19,1983,Not COVID
2023,34,2023-08-26,1941,Not COVID
2023,35,2023-09-02,1921,Not COVID
2023,36,2023-09-09,1929,Not COVID
2023,37,2023-09-16,1901,Not COVID
2023,38,2023-09-23,1929,Not COVID
2023,39,2023-09-30,1887,Not COVID
2023,40,2023-10-07,1963,Not COVID
2023,41,2023-10-14,1931,Not COVID
2023,42,2023-10-21,1811,Not COVID
2023,43,2023-10-28,1866,Not COVID
2023,44,2023-11-04,1912,Not COVID
2023,45,2023-11-11,1883,Not COVID
2023,46,2023-11-18,1929,Not COVID
2023,47,2023-11-25,1969,Not COVID
2023,48,2023-12-02,1968,Not COVID
2023,49,2023-12-09,1940,Not COVID
2023,50,2023-12-16,2046,Not COVID
2023,51,2023-12-23,2018,Not COVID
2023,52,2023-12-30,2118,Not COVID
2024,1,2024-01-06,2070,Not COVID
2024,2,2024-01-13,1998,Not COVID
2024,3,2024-01-20,1926,Not COVID
2024,4,2024-01-27,1860,Not COVID
2024,5,2024-02-03,1979,Not COVID
2024,6,2024-02-10,1931,Not COVID
2024,7,2024-02-17,1879,Not COVID
2024,8,2024-02-24,1870,Not COVID
2024,9,2024-03-02,1915,Not COVID
2024,10,2024-03-09,1911,Not COVID
2024,11,2024-03-16,1810,Not COVID
2024,12,2024-03-23,1762,Not COVID
2024,13,2024-03-30,1775,Not COVID
2024,14,2024-04-06,1846,Not COVID
2024,15,2024-04-13,1919,Not COVID
2024,16,2024-04-20,1796,Not COVID
2024,17,2024-04-27,1798,Not COVID
2024,18,2024-05-04,1784,Not COVID
2024,19,2024-05-11,1797,Not COVID
2024,20,2024-05-18,1754,Not COVID
2024,21,2024-05-25,1742,Not COVID
2024,22,2024-06-01,1768,Not COVID
2024,23,2024-06-08,1817,Not COVID
2024,24,2024-06-15,1723,Not COVID
2024,25,2024-06-22,1777,Not COVID
2024,26,2024-06-29,1790,Not COVID
2024,27,2024-07-06,1762,Not COVID
2024,28,2024-07-13,1769,Not COVID
2024,29,2024-07-20,1661,Not COVID
2024,30,2024-07-27,1627,Not COVID
2024,31,2024-08-03,1708,Not COVID
2024,32,2024-08-10,1661,Not COVID
2024,33,2024-08-17,1585,Not COVID
2024,34,2024-08-24,1606,Not COVID
2024,35,2024-08-31,1643,Not COVID
2024,36,2024-09-07,1632,Not COVID
