"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"59 years"	"59"	"2023 (provisional and partial)"	"2023"	31548	4399318	717.1
"Total"	"59 years"	"59"			234963	26252718	895.0
	"60 years"	"60"	"2018"	"2018"	38701	4259361	908.6
	"60 years"	"60"	"2019"	"2019"	38690	4252663	909.8
	"60 years"	"60"	"2020"	"2020"	46304	4372095	1059.1
	"60 years"	"60"	"2021"	"2021"	50028	4391144	1139.3
	"60 years"	"60"	"2022 (provisional)"	"2022"	43810	4391144	997.7
	"60 years"	"60"	"2023 (provisional and partial)"	"2023"	34243	4391144	779.8
"Total"	"60 years"	"60"			251776	26057551	966.2
	"61 years"	"61"	"2018"	"2018"	41292	4202894	982.5
	"61 years"	"61"	"2019"	"2019"	41522	4215172	985.1
	"61 years"	"61"	"2020"	"2020"	48871	4208976	1161.1
	"61 years"	"61"	"2021"	"2021"	53114	4312796	1231.5
	"61 years"	"61"	"2022 (provisional)"	"2022"	46881	4312796	1087.0
	"61 years"	"61"	"2023 (provisional and partial)"	"2023"	37010	4312796	858.1
"Total"	"61 years"	"61"			268690	25565430	1051.0
	"62 years"	"62"	"2018"	"2018"	42834	4043396	1059.4
	"62 years"	"62"	"2019"	"2019"	43975	4156645	1057.9
	"62 years"	"62"	"2020"	"2020"	51325	4168433	1231.3
	"62 years"	"62"	"2021"	"2021"	56107	4228770	1326.8
	"62 years"	"62"	"2022 (provisional)"	"2022"	49880	4228770	1179.5
	"62 years"	"62"	"2023 (provisional and partial)"	"2023"	40065	4228770	947.4
"Total"	"62 years"	"62"			284186	25054784	1134.3
	"63 years"	"63"	"2018"	"2018"	45095	4000235	1127.3
	"63 years"	"63"	"2019"	"2019"	45361	3996088	1135.1
	"63 years"	"63"	"2020"	"2020"	54811	4106492	1334.7
	"63 years"	"63"	"2021"	"2021"	59156	4190193	1411.8
	"63 years"	"63"	"2022 (provisional)"	"2022"	52746	4190193	1258.8
	"63 years"	"63"	"2023 (provisional and partial)"	"2023"	42535	4190193	1015.1
"Total"	"63 years"	"63"			299704	24673394	1214.7
	"64 years"	"64"	"2018"	"2018"	45951	3825765	1201.1
	"64 years"	"64"	"2019"	"2019"	46936	3950578	1188.1
	"64 years"	"64"	"2020"	"2020"	56010	3944582	1419.9
	"64 years"	"64"	"2021"	"2021"	62158	4112847	1511.3
	"64 years"	"64"	"2022 (provisional)"	"2022"	55873	4112847	1358.5
	"64 years"	"64"	"2023 (provisional and partial)"	"2023"	44339	4112847	1078.1
"Total"	"64 years"	"64"			311267	24059466	1293.7
	"65 years"	"65"	"2018"	"2018"	47257	3669600	1287.8
	"65 years"	"65"	"2019"	"2019"	48159	3774597	1275.9
	"65 years"	"65"	"2020"	"2020"	58027	3897420	1488.9
	"65 years"	"65"	"2021"	"2021"	63017	3928157	1604.2
	"65 years"	"65"	"2022 (provisional)"	"2022"	58242	3928157	1482.7
	"65 years"	"65"	"2023 (provisional and partial)"	"2023"	46764	3928157	1190.5
"Total"	"65 years"	"65"			321466	23126088	1390.1
	"66 years"	"66"	"2018"	"2018"	48642	3516436	1383.3
	"66 years"	"66"	"2019"	"2019"	49560	3618069	1369.8
	"66 years"	"66"	"2020"	"2020"	59907	3720410	1610.2
	"66 years"	"66"	"2021"	"2021"	64542	3834444	1683.2
	"66 years"	"66"	"2022 (provisional)"	"2022"	59342	3834444	1547.6
	"66 years"	"66"	"2023 (provisional and partial)"	"2023"	48938	3834444	1276.3
"Total"	"66 years"	"66"			330931	22358247	1480.1
	"67 years"	"67"	"2018"	"2018"	49857	3398755	1466.9
	"67 years"	"67"	"2019"	"2019"	50719	3464437	1464.0
	"67 years"	"67"	"2020"	"2020"	61164	3562236	1717.0
	"67 years"	"67"	"2021"	"2021"	66260	3695234	1793.1
	"67 years"	"67"	"2022 (provisional)"	"2022"	60877	3695234	1647.4
	"67 years"	"67"	"2023 (provisional and partial)"	"2023"	50158	3695234	1357.4
"Total"	"67 years"	"67"			339035	21511130	1576.1
	"68 years"	"68"	"2018"	"2018"	51107	3307833	1545.0
	"68 years"	"68"	"2019"	"2019"	52212	3345475	1560.7
	"68 years"	"68"	"2020"	"2020"	62889	3407082	1845.8
	"68 years"	"68"	"2021"	"2021"	67828	3537207	1917.6
	"68 years"	"68"	"2022 (provisional)"	"2022"	62929	3537207	1779.1
	"68 years"	"68"	"2023 (provisional and partial)"	"2023"	52118	3537207	1473.4
"Total"	"68 years"	"68"			349083	20672011	1688.7
	"69 years"	"69"	"2018"	"2018"	54383	3194269	1702.5
	"69 years"	"69"	"2019"	"2019"	53762	3252423	1653.0
	"69 years"	"69"	"2020"	"2020"	64401	3286519	1959.6
	"69 years"	"69"	"2021"	"2021"	69337	3399278	2039.8
	"69 years"	"69"	"2022 (provisional)"	"2022"	64743	3399278	1904.6
	"69 years"	"69"	"2023 (provisional and partial)"	"2023"	53588	3399278	1576.5
"Total"	"69 years"	"69"			360214	19931045	1807.3
	"70 years"	"70"	"2018"	"2018"	58141	3144466	1849.0
	"70 years"	"70"	"2019"	"2019"	57343	3136704	1828.1
	"70 years"	"70"	"2020"	"2020"	67279	3192029	2107.7
	"70 years"	"70"	"2021"	"2021"	71438	3229649	2211.9
	"70 years"	"70"	"2022 (provisional)"	"2022"	67108	3229649	2077.9
	"70 years"	"70"	"2023 (provisional and partial)"	"2023"	54895	3229649	1699.7
"Total"	"70 years"	"70"			376204	19162146	1963.3
	"71 years"	"71"	"2018"	"2018"	63825	3260552	1957.5
	"71 years"	"71"	"2019"	"2019"	61396	3083083	1991.4
	"71 years"	"71"	"2020"	"2020"	71049	3074732	2310.7
	"71 years"	"71"	"2021"	"2021"	73244	3076389	2380.8
	"71 years"	"71"	"2022 (provisional)"	"2022"	68646	3076389	2231.4
	"71 years"	"71"	"2023 (provisional and partial)"	"2023"	57075	3076389	1855.3
"Total"	"71 years"	"71"			395235	18647534	2119.5
	"72 years"	"72"	"2018"	"2018"	53943	2392283	2254.9
	"72 years"	"72"	"2019"	"2019"	67130	3191048	2103.7
	"72 years"	"72"	"2020"	"2020"	76103	3017173	2522.3
	"72 years"	"72"	"2021"	"2021"	76986	2988058	2576.5
	"72 years"	"72"	"2022 (provisional)"	"2022"	70834	2988058	2370.6
	"72 years"	"72"	"2023 (provisional and partial)"	"2023"	58490	2988058	1957.5
"Total"	"72 years"	"72"			403486	17564678	2297.1
	"73 years"	"73"	"2018"	"2018"	56033	2344633	2389.8
	"73 years"	"73"	"2019"	"2019"	56853	2334433	2435.4
	"73 years"	"73"	"2020"	"2020"	82553	3117385	2648.1
	"73 years"	"73"	"2021"	"2021"	82282	2917030	2820.7
	"73 years"	"73"	"2022 (provisional)"	"2022"	75156	2917030	2576.5
	"73 years"	"73"	"2023 (provisional and partial)"	"2023"	60821	2917030	2085.0
"Total"	"73 years"	"73"			413698	16547541	2500.1
	"74 years"	"74"	"2018"	"2018"	60590	2263489	2676.8
	"74 years"	"74"	"2019"	"2019"	58425	2283164	2558.9
	"74 years"	"74"	"2020"	"2020"	71135	2274412	3127.6
	"74 years"	"74"	"2021"	"2021"	89332	3060676	2918.7
	"74 years"	"74"	"2022 (provisional)"	"2022"	80631	3060676	2634.4
	"74 years"	"74"	"2023 (provisional and partial)"	"2023"	64330	3060676	2101.8
"Total"	"74 years"	"74"			424443	16003093	2652.3
	"75 years"	"75"	"2018"	"2018"	66524	2293604	2900.4
	"75 years"	"75"	"2019"	"2019"	63147	2198286	2872.6
	"75 years"	"75"	"2020"	"2020"	72225	2219565	3254.0
	"75 years"	"75"	"2021"	"2021"	75408	2157557	3495.1
	"75 years"	"75"	"2022 (provisional)"	"2022"	87873	2157557	4072.8
	"75 years"	"75"	"2023 (provisional and partial)"	"2023"	69006	2157557	3198.3
"Total"	"75 years"	"75"			434183	13184126	3293.2
	"76 years"	"76"	"2018"	"2018"	63365	1978012	3203.5
	"76 years"	"76"	"2019"	"2019"	69019	2222392	3105.6
	"76 years"	"76"	"2020"	"2020"	78100	2130427	3665.9
	"76 years"	"76"	"2021"	"2021"	76850	2060045	3730.5
	"76 years"	"76"	"2022 (provisional)"	"2022"	74104	2060045	3597.2
	"76 years"	"76"	"2023 (provisional and partial)"	"2023"	75009	2060045	3641.1
"Total"	"76 years"	"76"			436447	12510966	3488.5
	"77 years"	"77"	"2018"	"2018"	63017	1786181	3528.0
	"77 years"	"77"	"2019"	"2019"	65894	1911261	3447.7
	"77 years"	"77"	"2020"	"2020"	85310	2147097	3973.3
	"77 years"	"77"	"2021"	"2021"	82078	1992972	4118.4
	"77 years"	"77"	"2022 (provisional)"	"2022"	75864	1992972	3806.6
	"77 years"	"77"	"2023 (provisional and partial)"	"2023"	62095	1992972	3115.7
"Total"	"77 years"	"77"			434258	11823455	3672.9
	"78 years"	"78"	"2018"	"2018"	63188	1666402	3791.9
	"78 years"	"78"	"2019"	"2019"	65124	1720817	3784.5
	"78 years"	"78"	"2020"	"2020"	82048	1839828	4459.5
	"78 years"	"78"	"2021"	"2021"	89267	1997941	4467.9
	"78 years"	"78"	"2022 (provisional)"	"2022"	81790	1997941	4093.7
	"78 years"	"78"	"2023 (provisional and partial)"	"2023"	64417	1997941	3224.2
"Total"	"78 years"	"78"			445834	11220870	3973.3
	"79 years"	"79"	"2018"	"2018"	65651	1542867	4255.1
	"79 years"	"79"	"2019"	"2019"	66309	1599909	4144.5
	"79 years"	"79"	"2020"	"2020"	80508	1649916	4879.5
	"79 years"	"79"	"2021"	"2021"	85264	1696254	5026.6
	"79 years"	"79"	"2022 (provisional)"	"2022"	87931	1696254	5183.8
	"79 years"	"79"	"2023 (provisional and partial)"	"2023"	70097	1696254	4132.5
"Total"	"79 years"	"79"			455760	9881454	4612.3
	"80 years"	"80"	"2018"	"2018"	67987	1451583	4683.6
	"80 years"	"80"	"2019"	"2019"	68349	1475278	4633.0
	"80 years"	"80"	"2020"	"2020"	81661	1526957	5348.0
	"80 years"	"80"	"2021"	"2021"	83293	1507612	5524.8
	"80 years"	"80"	"2022 (provisional)"	"2022"	84504	1507612	5605.2
	"80 years"	"80"	"2023 (provisional and partial)"	"2023"	75923	1507612	5036.0
"Total"	"80 years"	"80"			461717	8976654	5143.5
	"81 years"	"81"	"2018"	"2018"	68584	1311488	5229.5
	"81 years"	"81"	"2019"	"2019"	70621	1381641	5111.4
	"81 years"	"81"	"2020"	"2020"	83337	1400392	5951.0
	"81 years"	"81"	"2021"	"2021"	83194	1366271	6089.1
	"81 years"	"81"	"2022 (provisional)"	"2022"	82199	1366271	6016.3
	"81 years"	"81"	"2023 (provisional and partial)"	"2023"	71105	1366271	5204.3
"Total"	"81 years"	"81"			459040	8192334	5603.3
	"82 years"	"82"	"2018"	"2018"	71290	1224165	5823.6
	"82 years"	"82"	"2019"	"2019"	71124	1241341	5729.6
	"82 years"	"82"	"2020"	"2020"	85630	1303809	6567.7
	"82 years"	"82"	"2021"	"2021"	84204	1254351	6713.0
	"82 years"	"82"	"2022 (provisional)"	"2022"	81877	1254351	6527.4
	"82 years"	"82"	"2023 (provisional and partial)"	"2023"	69985	1254351	5579.4
"Total"	"82 years"	"82"			464110	7532368	6161.5
	"83 years"	"83"	"2018"	"2018"	73173	1143669	6398.1
	"83 years"	"83"	"2019"	"2019"	73524	1151190	6386.8
	"83 years"	"83"	"2020"	"2020"	85649	1163249	7362.9
	"83 years"	"83"	"2021"	"2021"	85763	1156487	7415.8
	"83 years"	"83"	"2022 (provisional)"	"2022"	83777	1156487	7244.1
	"83 years"	"83"	"2023 (provisional and partial)"	"2023"	69375	1156487	5998.8
"Total"	"83 years"	"83"			471261	6927569	6802.7
	"84 years"	"84"	"2018"	"2018"	72426	996403	7268.7
	"84 years"	"84"	"2019"	"2019"	74916	1067757	7016.2
	"84 years"	"84"	"2020"	"2020"	87616	1070307	8186.1
	"84 years"	"84"	"2021"	"2021"	84332	1016585	8295.6
	"84 years"	"84"	"2022 (provisional)"	"2022"	84911	1016585	8352.6
	"84 years"	"84"	"2023 (provisional and partial)"	"2023"	70286	1016585	6913.9
"Total"	"84 years"	"84"			474487	6184222	7672.5
	"85 years"	"85"	"2018"	"2018"	75023	Not Applicable	Not Applicable
	"85 years"	"85"	"2019"	"2019"	73207	Not Applicable	Not Applicable
	"85 years"	"85"	"2020"	"2020"	89658	Not Applicable	Not Applicable
	"85 years"	"85"	"2021"	"2021"	85402	Not Applicable	Not Applicable
	"85 years"	"85"	"2022 (provisional)"	"2022"	83680	Not Applicable	Not Applicable
	"85 years"	"85"	"2023 (provisional and partial)"	"2023"	71263	Not Applicable	Not Applicable
"Total"	"85 years"	"85"			478233	Not Applicable	Not Applicable
	"86 years"	"86"	"2018"	"2018"	76643	Not Applicable	Not Applicable
	"86 years"	"86"	"2019"	"2019"	75293	Not Applicable	Not Applicable
	"86 years"	"86"	"2020"	"2020"	86428	Not Applicable	Not Applicable
	"86 years"	"86"	"2021"	"2021"	85647	Not Applicable	Not Applicable
	"86 years"	"86"	"2022 (provisional)"	"2022"	83709	Not Applicable	Not Applicable
	"86 years"	"86"	"2023 (provisional and partial)"	"2023"	69379	Not Applicable	Not Applicable
"Total"	"86 years"	"86"			477099	Not Applicable	Not Applicable
	"87 years"	"87"	"2018"	"2018"	77989	Not Applicable	Not Applicable
	"87 years"	"87"	"2019"	"2019"	76921	Not Applicable	Not Applicable
	"87 years"	"87"	"2020"	"2020"	87456	Not Applicable	Not Applicable
	"87 years"	"87"	"2021"	"2021"	82347	Not Applicable	Not Applicable
	"87 years"	"87"	"2022 (provisional)"	"2022"	83379	Not Applicable	Not Applicable
	"87 years"	"87"	"2023 (provisional and partial)"	"2023"	68810	Not Applicable	Not Applicable
"Total"	"87 years"	"87"			476902	Not Applicable	Not Applicable
	"88 years"	"88"	"2018"	"2018"	79099	Not Applicable	Not Applicable
	"88 years"	"88"	"2019"	"2019"	76891	Not Applicable	Not Applicable
	"88 years"	"88"	"2020"	"2020"	88017	Not Applicable	Not Applicable
	"88 years"	"88"	"2021"	"2021"	81399	Not Applicable	Not Applicable
	"88 years"	"88"	"2022 (provisional)"	"2022"	79530	Not Applicable	Not Applicable
	"88 years"	"88"	"2023 (provisional and partial)"	"2023"	68393	Not Applicable	Not Applicable
"Total"	"88 years"	"88"			473329	Not Applicable	Not Applicable
	"89 years"	"89"	"2018"	"2018"	76362	Not Applicable	Not Applicable
	"89 years"	"89"	"2019"	"2019"	76604	Not Applicable	Not Applicable
	"89 years"	"89"	"2020"	"2020"	87692	Not Applicable	Not Applicable
	"89 years"	"89"	"2021"	"2021"	80105	Not Applicable	Not Applicable
	"89 years"	"89"	"2022 (provisional)"	"2022"	78108	Not Applicable	Not Applicable
	"89 years"	"89"	"2023 (provisional and partial)"	"2023"	63476	Not Applicable	Not Applicable
"Total"	"89 years"	"89"			462347	Not Applicable	Not Applicable
	"90 years"	"90"	"2018"	"2018"	74794	Not Applicable	Not Applicable
	"90 years"	"90"	"2019"	"2019"	72782	Not Applicable	Not Applicable
	"90 years"	"90"	"2020"	"2020"	85205	Not Applicable	Not Applicable
	"90 years"	"90"	"2021"	"2021"	78350	Not Applicable	Not Applicable
	"90 years"	"90"	"2022 (provisional)"	"2022"	76137	Not Applicable	Not Applicable
	"90 years"	"90"	"2023 (provisional and partial)"	"2023"	62376	Not Applicable	Not Applicable
"Total"	"90 years"	"90"			449644	Not Applicable	Not Applicable
	"91 years"	"91"	"2018"	"2018"	70835	Not Applicable	Not Applicable
	"91 years"	"91"	"2019"	"2019"	69883	Not Applicable	Not Applicable
	"91 years"	"91"	"2020"	"2020"	79355	Not Applicable	Not Applicable
	"91 years"	"91"	"2021"	"2021"	74304	Not Applicable	Not Applicable
	"91 years"	"91"	"2022 (provisional)"	"2022"	72651	Not Applicable	Not Applicable
	"91 years"	"91"	"2023 (provisional and partial)"	"2023"	59803	Not Applicable	Not Applicable
"Total"	"91 years"	"91"			426831	Not Applicable	Not Applicable
	"92 years"	"92"	"2018"	"2018"	64200	Not Applicable	Not Applicable
	"92 years"	"92"	"2019"	"2019"	64861	Not Applicable	Not Applicable
	"92 years"	"92"	"2020"	"2020"	74460	Not Applicable	Not Applicable
	"92 years"	"92"	"2021"	"2021"	67808	Not Applicable	Not Applicable
	"92 years"	"92"	"2022 (provisional)"	"2022"	68162	Not Applicable	Not Applicable
	"92 years"	"92"	"2023 (provisional and partial)"	"2023"	56234	Not Applicable	Not Applicable
"Total"	"92 years"	"92"			395725	Not Applicable	Not Applicable
	"93 years"	"93"	"2018"	"2018"	58805	Not Applicable	Not Applicable
	"93 years"	"93"	"2019"	"2019"	58116	Not Applicable	Not Applicable
	"93 years"	"93"	"2020"	"2020"	67957	Not Applicable	Not Applicable
	"93 years"	"93"	"2021"	"2021"	61964	Not Applicable	Not Applicable
	"93 years"	"93"	"2022 (provisional)"	"2022"	60643	Not Applicable	Not Applicable
	"93 years"	"93"	"2023 (provisional and partial)"	"2023"	51187	Not Applicable	Not Applicable
"Total"	"93 years"	"93"			358672	Not Applicable	Not Applicable
	"94 years"	"94"	"2018"	"2018"	51435	Not Applicable	Not Applicable
	"94 years"	"94"	"2019"	"2019"	51841	Not Applicable	Not Applicable
	"94 years"	"94"	"2020"	"2020"	58709	Not Applicable	Not Applicable
	"94 years"	"94"	"2021"	"2021"	54499	Not Applicable	Not Applicable
	"94 years"	"94"	"2022 (provisional)"	"2022"	54404	Not Applicable	Not Applicable
	"94 years"	"94"	"2023 (provisional and partial)"	"2023"	44440	Not Applicable	Not Applicable
"Total"	"94 years"	"94"			315328	Not Applicable	Not Applicable
	"95 years"	"95"	"2018"	"2018"	43573	Not Applicable	Not Applicable
	"95 years"	"95"	"2019"	"2019"	43876	Not Applicable	Not Applicable
	"95 years"	"95"	"2020"	"2020"	50701	Not Applicable	Not Applicable
	"95 years"	"95"	"2021"	"2021"	46243	Not Applicable	Not Applicable
	"95 years"	"95"	"2022 (provisional)"	"2022"	46758	Not Applicable	Not Applicable
	"95 years"	"95"	"2023 (provisional and partial)"	"2023"	38570	Not Applicable	Not Applicable
"Total"	"95 years"	"95"			269721	Not Applicable	Not Applicable
	"96 years"	"96"	"2018"	"2018"	36338	Not Applicable	Not Applicable
	"96 years"	"96"	"2019"	"2019"	36034	Not Applicable	Not Applicable
	"96 years"	"96"	"2020"	"2020"	42141	Not Applicable	Not Applicable
	"96 years"	"96"	"2021"	"2021"	38138	Not Applicable	Not Applicable
	"96 years"	"96"	"2022 (provisional)"	"2022"	38212	Not Applicable	Not Applicable
	"96 years"	"96"	"2023 (provisional and partial)"	"2023"	32028	Not Applicable	Not Applicable
"Total"	"96 years"	"96"			222891	Not Applicable	Not Applicable
	"97 years"	"97"	"2018"	"2018"	28908	Not Applicable	Not Applicable
	"97 years"	"97"	"2019"	"2019"	28978	Not Applicable	Not Applicable
	"97 years"	"97"	"2020"	"2020"	33368	Not Applicable	Not Applicable
	"97 years"	"97"	"2021"	"2021"	30531	Not Applicable	Not Applicable
	"97 years"	"97"	"2022 (provisional)"	"2022"	30878	Not Applicable	Not Applicable
	"97 years"	"97"	"2023 (provisional and partial)"	"2023"	25819	Not Applicable	Not Applicable
"Total"	"97 years"	"97"			178482	Not Applicable	Not Applicable
	"98 years"	"98"	"2018"	"2018"	21307	Not Applicable	Not Applicable
	"98 years"	"98"	"2019"	"2019"	22195	Not Applicable	Not Applicable
	"98 years"	"98"	"2020"	"2020"	25839	Not Applicable	Not Applicable
	"98 years"	"98"	"2021"	"2021"	23085	Not Applicable	Not Applicable
	"98 years"	"98"	"2022 (provisional)"	"2022"	23967	Not Applicable	Not Applicable
	"98 years"	"98"	"2023 (provisional and partial)"	"2023"	20092	Not Applicable	Not Applicable
"Total"	"98 years"	"98"			136485	Not Applicable	Not Applicable
	"99 years"	"99"	"2018"	"2018"	14720	Not Applicable	Not Applicable
	"99 years"	"99"	"2019"	"2019"	15533	Not Applicable	Not Applicable
	"99 years"	"99"	"2020"	"2020"	19187	Not Applicable	Not Applicable
	"99 years"	"99"	"2021"	"2021"	17462	Not Applicable	Not Applicable
	"99 years"	"99"	"2022 (provisional)"	"2022"	17573	Not Applicable	Not Applicable
	"99 years"	"99"	"2023 (provisional and partial)"	"2023"	14775	Not Applicable	Not Applicable
"Total"	"99 years"	"99"			99250	Not Applicable	Not Applicable
	"100+ years"	"100"	"2018"	"2018"	30249	Not Applicable	Not Applicable
	"100+ years"	"100"	"2019"	"2019"	30731	Not Applicable	Not Applicable
	"100+ years"	"100"	"2020"	"2020"	36632	Not Applicable	Not Applicable
	"100+ years"	"100"	"2021"	"2021"	33496	Not Applicable	Not Applicable
	"100+ years"	"100"	"2022 (provisional)"	"2022"	35442	Not Applicable	Not Applicable
	"100+ years"	"100"	"2023 (provisional and partial)"	"2023"	29570	Not Applicable	Not Applicable
"Total"	"100+ years"	"100"			196120	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2018"	"2018"	144	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2019"	"2019"	147	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2020"	"2020"	116	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2021"	"2021"	93	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2022 (provisional)"	"2022"	103	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2023 (provisional and partial)"	"2023"	50	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"			653	Not Applicable	Not Applicable
"Total"					18516879	1980572315	934.9
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Group By: Single-Year Ages; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Dec 13, 2023 4:02:08 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2021,"
"and from provisional data for years 2022-2023, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Dec 13, 2023 4:02:08"
"AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Ages 85-100."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"3. The population figures for years 2021 and later are single-race estimates of the July 1 resident population, based on the"
"Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021"
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates"
"of the July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census"
"Bureau on July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from"
"the Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"5. Deaths occurring through November 25, 2023 as of December 03, 2023."
