year,age,dead,cause
2004,85,14392,MCD malignant neoplasms
2004,86,13553,MCD malignant neoplasms
2004,87,12138,MCD malignant neoplasms
2004,88,10905,MCD malignant neoplasms
2004,89,9473,MCD malignant neoplasms
2004,90,8127,MCD malignant neoplasms
2004,91,6777,MCD malignant neoplasms
2004,92,5524,MCD malignant neoplasms
2004,93,4449,MCD malignant neoplasms
2004,94,3470,MCD malignant neoplasms
2004,95,2640,MCD malignant neoplasms
2004,96,1987,MCD malignant neoplasms
2004,97,1389,MCD malignant neoplasms
2004,98,1004,MCD malignant neoplasms
2004,99,637,MCD malignant neoplasms
2004,100,1115,MCD malignant neoplasms
2005,0,81,MCD malignant neoplasms
2005,1,89,MCD malignant neoplasms
2005,2,106,MCD malignant neoplasms
2005,3,95,MCD malignant neoplasms
2005,4,103,MCD malignant neoplasms
2005,5,93,MCD malignant neoplasms
2005,6,99,MCD malignant neoplasms
2005,7,114,MCD malignant neoplasms
2005,8,104,MCD malignant neoplasms
2005,9,93,MCD malignant neoplasms
2005,10,85,MCD malignant neoplasms
2005,11,95,MCD malignant neoplasms
2005,12,102,MCD malignant neoplasms
2005,13,114,MCD malignant neoplasms
2005,14,140,MCD malignant neoplasms
2005,15,134,MCD malignant neoplasms
2005,16,131,MCD malignant neoplasms
2005,17,150,MCD malignant neoplasms
2005,18,168,MCD malignant neoplasms
2005,19,180,MCD malignant neoplasms
2005,20,166,MCD malignant neoplasms
2005,21,210,MCD malignant neoplasms
2005,22,214,MCD malignant neoplasms
2005,23,204,MCD malignant neoplasms
2005,24,220,MCD malignant neoplasms
2005,25,272,MCD malignant neoplasms
2005,26,252,MCD malignant neoplasms
2005,27,271,MCD malignant neoplasms
2005,28,282,MCD malignant neoplasms
2005,29,309,MCD malignant neoplasms
2005,30,358,MCD malignant neoplasms
2005,31,382,MCD malignant neoplasms
2005,32,462,MCD malignant neoplasms
2005,33,513,MCD malignant neoplasms
2005,34,628,MCD malignant neoplasms
2005,35,723,MCD malignant neoplasms
2005,36,781,MCD malignant neoplasms
2005,37,800,MCD malignant neoplasms
2005,38,1015,MCD malignant neoplasms
2005,39,1184,MCD malignant neoplasms
2005,40,1447,MCD malignant neoplasms
2005,41,1784,MCD malignant neoplasms
2005,42,2099,MCD malignant neoplasms
2005,43,2380,MCD malignant neoplasms
2005,44,2760,MCD malignant neoplasms
2005,45,3147,MCD malignant neoplasms
2005,46,3521,MCD malignant neoplasms
2005,47,3943,MCD malignant neoplasms
2005,48,4454,MCD malignant neoplasms
2005,49,5011,MCD malignant neoplasms
2005,50,5559,MCD malignant neoplasms
2005,51,5911,MCD malignant neoplasms
2005,52,6533,MCD malignant neoplasms
2005,53,6937,MCD malignant neoplasms
2005,54,7220,MCD malignant neoplasms
2005,55,7974,MCD malignant neoplasms
2005,56,8626,MCD malignant neoplasms
2005,57,9631,MCD malignant neoplasms
2005,58,10690,MCD malignant neoplasms
2005,59,9456,MCD malignant neoplasms
2005,60,10090,MCD malignant neoplasms
2005,61,10964,MCD malignant neoplasms
2005,62,12560,MCD malignant neoplasms
2005,63,12190,MCD malignant neoplasms
2005,64,12138,MCD malignant neoplasms
2005,65,12426,MCD malignant neoplasms
2005,66,13067,MCD malignant neoplasms
2005,67,13689,MCD malignant neoplasms
2005,68,13869,MCD malignant neoplasms
2005,69,14401,MCD malignant neoplasms
2005,70,15387,MCD malignant neoplasms
2005,71,15431,MCD malignant neoplasms
2005,72,16082,MCD malignant neoplasms
2005,73,17371,MCD malignant neoplasms
2005,74,17596,MCD malignant neoplasms
2005,75,18348,MCD malignant neoplasms
2005,76,18469,MCD malignant neoplasms
2005,77,19361,MCD malignant neoplasms
2005,78,19784,MCD malignant neoplasms
2005,79,19446,MCD malignant neoplasms
2005,80,19297,MCD malignant neoplasms
2005,81,19334,MCD malignant neoplasms
2005,82,18399,MCD malignant neoplasms
2005,83,17952,MCD malignant neoplasms
2005,84,16948,MCD malignant neoplasms
2005,85,15665,MCD malignant neoplasms
2005,86,13437,MCD malignant neoplasms
2005,87,12512,MCD malignant neoplasms
2005,88,11132,MCD malignant neoplasms
2005,89,9854,MCD malignant neoplasms
2005,90,8398,MCD malignant neoplasms
2005,91,7268,MCD malignant neoplasms
2005,92,5823,MCD malignant neoplasms
2005,93,4736,MCD malignant neoplasms
2005,94,3497,MCD malignant neoplasms
2005,95,2793,MCD malignant neoplasms
2005,96,1981,MCD malignant neoplasms
2005,97,1541,MCD malignant neoplasms
2005,98,1037,MCD malignant neoplasms
2005,99,680,MCD malignant neoplasms
2005,100,1077,MCD malignant neoplasms
2006,0,86,MCD malignant neoplasms
2006,1,89,MCD malignant neoplasms
2006,2,90,MCD malignant neoplasms
2006,3,115,MCD malignant neoplasms
2006,4,103,MCD malignant neoplasms
