cause,year,month,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,October,"Third dose or booster, less than 21 days ago",3766,256858,396.4,,377.6,415.2
All causes,2021,October,"Third dose or booster, at least 21 days ago",1145,59043,482.2,,440.2,524.2
All causes,2021,October,Ever vaccinated,39436,3159029,1041.2,,1030.9,1051.6
All causes,2021,November,Unvaccinated,2473,639411,1862.9,,1782.6,1943.1
All causes,2021,November,"First dose, less than 21 days ago",33,45076,3740.5,,2468.6,5390.8
All causes,2021,November,"First dose, at least 21 days ago",855,187375,3857.8,,3571.0,4144.7
All causes,2021,November,"Second dose, less than 21 days ago",52,23868,2185.5,,1546.3,2971.6
All causes,2021,November,"Second dose, between 21 days and 6 months ago",3746,1477694,1870.4,,1769.4,1971.3
All causes,2021,November,"Second dose, at least 6 months ago",18885,488331,2835.2,,2793.3,2877.0
All causes,2021,November,"Third dose or booster, less than 21 days ago",4676,433365,587.1,,567.0,607.1
All causes,2021,November,"Third dose or booster, at least 21 days ago",11186,466157,705.4,,686.7,724.0
All causes,2021,November,Ever vaccinated,39433,3121867,1073.8,,1063.2,1084.5
All causes,2021,December,Unvaccinated,2787,623517,2087.7,,2003.2,2172.3
All causes,2021,December,"First dose, less than 21 days ago",19,26486,1473.4,u,781.2,2450.3
All causes,2021,December,"First dose, at least 21 days ago",855,207004,4198.1,,3887.4,4508.7
All causes,2021,December,"Second dose, less than 21 days ago",44,36134,1620.9,,1117.3,2251.7
All causes,2021,December,"Second dose, between 21 days and 6 months ago",1312,778510,2483.2,,2298.9,2667.5
All causes,2021,December,"Second dose, at least 6 months ago",12644,397161,4804.8,,4716.6,4893.1
All causes,2021,December,"Third dose or booster, less than 21 days ago",3512,659719,1037.8,,1000.4,1075.3
All causes,2021,December,"Third dose or booster, at least 21 days ago",24568,1159587,856.4,,840.7,872.0
All causes,2021,December,Ever vaccinated,42954,3264600,1130.6,,1119.8,1141.3
All causes,2022,January,Unvaccinated,2530,594237,2009.7,,1925.2,2094.1
All causes,2022,January,"First dose, less than 21 days ago",32,22056,3176.7,,1977.2,4739.5
All causes,2022,January,"First dose, at least 21 days ago",724,189047,3882.7,,3571.9,4193.4
All causes,2022,January,"Second dose, less than 21 days ago",44,38198,2227.8,,1510.8,3125.8
All causes,2022,January,"Second dose, between 21 days and 6 months ago",591,365852,2747.8,,2469.2,3026.3
All causes,2022,January,"Second dose, at least 6 months ago",6996,273691,5118.1,,4497.5,5738.8
All causes,2022,January,"Third dose or booster, less than 21 days ago",1169,294689,1813.6,,1699.5,1927.8
All causes,2022,January,"Third dose or booster, at least 21 days ago",32122,2111514,918.1,,907.8,928.5
All causes,2022,January,Ever vaccinated,41678,3295046,1095.7,,1085.1,1106.2
All causes,2022,February,Unvaccinated,1748,522411,1531.1,,1453.5,1608.8
All causes,2022,February,"First dose, less than 21 days ago",13,11451,2442.8,u,1020.9,4602.3
All causes,2022,February,"First dose, at least 21 days ago",498,151961,2897.3,,2612.4,3182.3
All causes,2022,February,"Second dose, less than 21 days ago",11,31108,1406.3,u,665.6,2573.7
All causes,2022,February,"Second dose, between 21 days and 6 months ago",326,257098,2009.9,,1734.1,2285.8
All causes,2022,February,"Second dose, at least 6 months ago",3887,288352,3279.9,,3170.6,3389.2
All causes,2022,February,"Third dose or booster, less than 21 days ago",212,41801,2034.7,,1743.7,2325.7
All causes,2022,February,"Third dose or booster, at least 21 days ago",30685,2210123,940.2,,929.5,950.8
All causes,2022,February,Ever vaccinated,35632,2991894,1034.7,,1023.9,1045.4
All causes,2022,March,Unvaccinated,1801,573493,1449.9,,1377.8,1522.1
All causes,2022,March,"First dose, less than 21 days ago",12,5891,5185.8,u,2390.7,9505.0
All causes,2022,March,"First dose, at least 21 days ago",485,154369,2529.0,,2272.6,2785.3
All causes,2022,March,"Second dose, less than 21 days ago",11,20056,1215.1,u,511.7,2323.7
All causes,2022,March,"Second dose, between 21 days and 6 months ago",307,232189,2324.8,,2015.9,2633.6
All causes,2022,March,"Second dose, at least 6 months ago",3515,379908,2756.3,,2658.6,2854.0
All causes,2022,March,"Third dose or booster, less than 21 days ago",103,23931,1972.3,,1575.0,2369.7
All causes,2022,March,"Third dose or booster, at least 21 days ago",34666,2502239,953.1,,943.0,963.3
All causes,2022,March,Ever vaccinated,39099,3318583,1023.7,,1013.5,1033.8
All causes,2022,April,Unvaccinated,1631,553347,1366.3,,1294.9,1437.7
All causes,2022,April,"First dose, less than 21 days ago",6,3930,,,,
All causes,2022,April,"First dose, at least 21 days ago",464,135231,2646.2,,2374.8,2917.5
All causes,2022,April,"Second dose, less than 21 days ago",12,14224,2625.4,u,1261.2,4733.3
All causes,2022,April,"Second dose, between 21 days and 6 months ago",247,201830,2354.6,,2005.9,2703.3
All causes,2022,April,"Second dose, at least 6 months ago",2838,391489,2381.9,,2287.1,2476.7
All causes,2022,April,"Third dose or booster, less than 21 days ago",87,17095,1481.8,,1167.9,1850.0
All causes,2022,April,"Third dose or booster, at least 21 days ago",35052,2450610,989.7,,979.2,1000.1
All causes,2022,April,Ever vaccinated,38706,3214410,1044.2,,1033.8,1054.7
All causes,2022,May,Unvaccinated,1443,571729,1147.5,,1083.4,1211.5
All causes,2022,May,"First dose, less than 21 days ago",3,2811,,,,
All causes,2022,May,"First dose, at least 21 days ago",404,129962,2281.1,,2030.3,2531.8
All causes,2022,May,"Second dose, less than 21 days ago",11,10092,2688.9,u,1197.5,5039.5
All causes,2022,May,"Second dose, between 21 days and 6 months ago",170,194571,1887.6,,1541.7,2233.5
All causes,2022,May,"Second dose, at least 6 months ago",2345,415500,1955.2,,1868.2,2042.1
All causes,2022,May,"Third dose or booster, less than 21 days ago",114,15522,2229.7,,1753.6,2705.9
All causes,2022,May,"Third dose or booster, at least 21 days ago",33116,2554362,922.9,,890.2,955.6
All causes,2022,May,Ever vaccinated,36163,3322820,941.2,,931.5,950.9
All causes,2022,June,Unvaccinated,1342,555298,1089.5,,1026.1,1152.9
All causes,2022,June,"First dose, less than 21 days ago",3,1522,,,,
All causes,2022,June,"First dose, at least 21 days ago",311,119095,1866.5,,1634.3,2098.7
All causes,2022,June,"Second dose, less than 21 days ago",7,6688,,,,
All causes,2022,June,"Second dose, between 21 days and 6 months ago",110,162953,1643.9,,1266.0,2021.9
All causes,2022,June,"Second dose, at least 6 months ago",2019,424743,1759.2,,1673.7,1844.6
All causes,2022,June,"Third dose or booster, less than 21 days ago",69,10105,2555.9,,1907.0,3332.2
All causes,2022,June,"Third dose or booster, at least 21 days ago",31895,2490225,899.4,,880.7,918.1
All causes,2022,June,Ever vaccinated,34414,3215330,923.0,,913.2,932.8
All causes,2022,July,Unvaccinated,1591,576402,1293.7,,1225.4,1362.0
All causes,2022,July,"First dose, less than 21 days ago",2,1221,,,,
All causes,2022,July,"First dose, at least 21 days ago",365,115163,2144.0,,1897.1,2390.9
All causes,2022,July,"Second dose, less than 21 days ago",2,7195,,,,
All causes,2022,July,"Second dose, between 21 days and 6 months ago",88,128355,1993.8,,1528.6,2539.1
All causes,2022,July,"Second dose, at least 6 months ago",1990,475002,1684.9,,1602.3,1767.6
All causes,2022,July,"Third dose or booster, less than 21 days ago",35,9411,1988.9,,1320.5,2849.5
All causes,2022,July,"Third dose or booster, at least 21 days ago",34656,2585234,938.3,,922.3,954.3
All causes,2022,July,Ever vaccinated,37138,3321581,960.8,,951.0,970.6
All causes,2022,August,Unvaccinated,1346,579517,1082.1,,1019.7,1144.4
All causes,2022,August,"First dose, less than 21 days ago",0,923,,,,
All causes,2022,August,"First dose, at least 21 days ago",318,110295,1848.0,,1620.6,2075.3
All causes,2022,August,"Second dose, less than 21 days ago",1,4024,,,,
All causes,2022,August,"Second dose, between 21 days and 6 months ago",65,88111,2123.7,,1565.5,2795.3
All causes,2022,August,"Second dose, at least 6 months ago",1764,514588,1484.1,,1406.4,1561.9
All causes,2022,August,"Third dose or booster, less than 21 days ago",4,6607,,,,
All causes,2022,August,"Third dose or booster, at least 21 days ago",32993,2595715,883.8,,874.2,893.4
All causes,2022,August,Ever vaccinated,35145,3320264,906.7,,897.2,916.2
All causes,2022,September,Unvaccinated,1228,564478,1014.5,,953.5,1075.6
All causes,2022,September,"First dose, less than 21 days ago",1,495,,,,
All causes,2022,September,"First dose, at least 21 days ago",299,105362,1789.8,,1560.7,2018.9
All causes,2022,September,"Second dose, less than 21 days ago",1,1605,,,,
All causes,2022,September,"Second dose, between 21 days and 6 months ago",40,61881,1854.3,,1276.7,2586.0
All causes,2022,September,"Second dose, at least 6 months ago",1710,521618,1480.4,,1401.5,1559.3
All causes,2022,September,"Third dose or booster, less than 21 days ago",3,2469,,,,
All causes,2022,September,"Third dose or booster, at least 21 days ago",31864,2517875,883.1,,869.5,896.6
All causes,2022,September,Ever vaccinated,33918,3211306,901.3,,891.7,910.9
All causes,2022,October ,Unvaccinated,1402,587345,1142.7,,1078.6,1206.9
All causes,2022,October ,"First dose, less than 21 days ago",1,441,,,,
All causes,2022,October,"First dose, at least 21 days ago",338,107708,2071.4,,1827.0,2315.7
All causes,2022,October,"Second dose, less than 21 days ago",1,1339,,,,
All causes,2022,October,"Second dose, between 21 days and 6 months ago",36,45200,2639.0,,1787.5,3731.4
All causes,2022,October,"Second dose, at least 6 months ago",1840,559079,1583.5,,1503.0,1664.1
All causes,2022,October,"Third dose or booster, less than 21 days ago",5,427,,,,
All causes,2022,October,"Third dose or booster, at least 21 days ago",36841,2601771,984.9,,971.5,998.3
All causes,2022,October,Ever vaccinated,39062,3315965,1003.0,,993.0,1012.9
All causes,2022,November,Unvaccinated,1279,572382,1083.9,,1020.3,1147.6
All causes,2022,November,"First dose, less than 21 days ago",2,368,,,,
All causes,2022,November,"First dose, at least 21 days ago",316,103400,1980.1,,1736.8,2223.5
All causes,2022,November,"Second dose, less than 21 days ago",0,991,,,,
All causes,2022,November,"Second dose, between 21 days and 6 months ago",26,31361,2542.4,,1574.9,3840.5
All causes,2022,November,"Second dose, at least 6 months ago",1716,554811,1477.5,,1399.0,1556.0
All causes,2022,November,"Third dose or booster, less than 21 days ago",0,188,,,,
All causes,2022,November,"Third dose or booster, at least 21 days ago",34558,2515455,949.0,,938.9,959.0
All causes,2022,November,Ever vaccinated,36618,3206573,970.1,,960.2,980.1
All causes,2022,December,Unvaccinated,1227,595507,1026.7,,965.4,1088.0
All causes,2022,December,"First dose, less than 21 days ago",2,215,,,,
All causes,2022,December,"First dose, at least 21 days ago",269,106442,1741.1,,1512.0,1970.2
All causes,2022,December,"Second dose, less than 21 days ago",1,590,,,,
All causes,2022,December,"Second dose, between 21 days and 6 months ago",18,23381,2450.6,u,1410.5,3932.7
All causes,2022,December,"Second dose, at least 6 months ago",1670,583410,1453.2,,1375.9,1530.5
All causes,2022,December,"Third dose or booster, less than 21 days ago",0,84,,,,
All causes,2022,December,"Third dose or booster, at least 21 days ago",34905,2596443,935.9,,919.9,952.0
All causes,2022,December,Ever vaccinated,36865,3310566,944.9,,935.2,954.6
Deaths involving COVID-19,2021,April,Unvaccinated,230,1627374,131.1,,112.1,150.1
Deaths involving COVID-19,2021,April,"First dose, less than 21 days ago",16,225906,109.0,u,55.4,187.0
Deaths involving COVID-19,2021,April,"First dose, at least 21 days ago",389,1271496,42.7,,38.1,47.4
Deaths involving COVID-19,2021,April,"Second dose, less than 21 days ago",42,402753,3.0,,2.1,4.0
Deaths involving COVID-19,2021,April,"Second dose, between 21 days and 6 months ago",58,218219,7.0,,4.3,10.2
Deaths involving COVID-19,2021,April,"Second dose, at least 6 months ago",0,0,,,,
Deaths involving COVID-19,2021,April,"Third dose or booster, less than 21 days ago",0,2,,,,
Deaths involving COVID-19,2021,April,"Third dose or booster, at least 21 days ago",0,2,,,,
Deaths involving COVID-19,2021,April,Ever vaccinated,505,2118377,14.1,,12.9,15.4
Deaths involving COVID-19,2021,May,Unvaccinated,84,1440421,49.4,,38.2,62.5
Deaths involving COVID-19,2021,May,"First dose, less than 21 days ago",4,186246,,,,
Deaths involving COVID-19,2021,May,"First dose, at least 21 days ago",105,844993,66.7,,51.3,82.2
Deaths involving COVID-19,2021,May,"Second dose, less than 21 days ago",26,525787,7.4,,4.5,11.3
Deaths involving COVID-19,2021,May,"Second dose, between 21 days and 6 months ago",70,875765,2.5,,1.8,3.2
Deaths involving COVID-19,2021,May,"Second dose, at least 6 months ago",0,0,,,,
Deaths involving COVID-19,2021,May,"Third dose or booster, less than 21 days ago",0,2,,,,
Deaths involving COVID-19,2021,May,"Third dose or booster, at least 21 days ago",0,5,,,,
Deaths involving COVID-19,2021,May,Ever vaccinated,205,2432797,5.5,,4.8,6.3
Deaths involving COVID-19,2021,June,Unvaccinated,100,1081514,55.1,,42.5,67.6
Deaths involving COVID-19,2021,June,"First dose, less than 21 days ago",1,219920,,,,
Deaths involving COVID-19,2021,June,"First dose, at least 21 days ago",48,461837,90.6,,64.0,123.5
Deaths involving COVID-19,2021,June,"Second dose, less than 21 days ago",8,406838,,,,
Deaths involving COVID-19,2021,June,"Second dose, between 21 days and 6 months ago",173,1580685,5.7,,4.7,6.6
Deaths involving COVID-19,2021,June,"Second dose, at least 6 months ago",0,26,,,,
Deaths involving COVID-19,2021,June,"Third dose or booster, less than 21 days ago",0,46,,,,
Deaths involving COVID-19,2021,June,"Third dose or booster, at least 21 days ago",0,11,,,,
Deaths involving COVID-19,2021,June,Ever vaccinated,230,2669362,6.4,,5.6,7.2
Deaths involving COVID-19,2021,July,Unvaccinated,385,898740,239.0,,212.0,266.0
Deaths involving COVID-19,2021,July,"First dose, less than 21 days ago",5,127971,,,,
Deaths involving COVID-19,2021,July,"First dose, at least 21 days ago",75,463938,187.1,,141.2,241.5
Deaths involving COVID-19,2021,July,"Second dose, less than 21 days ago",5,214015,,,,
Deaths involving COVID-19,2021,July,"Second dose, between 21 days and 6 months ago",769,2145514,23.0,,21.3,24.7
Deaths involving COVID-19,2021,July,"Second dose, at least 6 months ago",57,28063,15.4,,11.6,20.0
Deaths involving COVID-19,2021,July,"Third dose or booster, less than 21 days ago",0,43,,,,
Deaths involving COVID-19,2021,July,"Third dose or booster, at least 21 days ago",0,93,,,,
Deaths involving COVID-19,2021,July,Ever vaccinated,911,2979637,24.3,,22.8,25.9
Deaths involving COVID-19,2021,August,Unvaccinated,656,834628,431.2,,394.7,467.7
Deaths involving COVID-19,2021,August,"First dose, less than 21 days ago",7,43541,,,,
Deaths involving COVID-19,2021,August,"First dose, at least 21 days ago",91,315220,294.3,,229.3,370.1
Deaths involving COVID-19,2021,August,"Second dose, less than 21 days ago",5,202848,,,,
Deaths involving COVID-19,2021,August,"Second dose, between 21 days and 6 months ago",1540,2442539,44.8,,42.5,47.0
Deaths involving COVID-19,2021,August,"Second dose, at least 6 months ago",122,41936,66.5,,28.1,104.9
Deaths involving COVID-19,2021,August,"Third dose or booster, less than 21 days ago",0,29,,,,
Deaths involving COVID-19,2021,August,"Third dose or booster, at least 21 days ago",0,145,,,,
Deaths involving COVID-19,2021,August,Ever vaccinated,1765,3046258,46.7,,44.5,48.9
Deaths involving COVID-19,2021,September,Unvaccinated,582,753541,400.9,,364.9,436.9
Deaths involving COVID-19,2021,September,"First dose, less than 21 days ago",3,36815,,,,
Deaths involving COVID-19,2021,September,"First dose, at least 21 days ago",79,174341,298.5,,230.6,378.8
Deaths involving COVID-19,2021,September,"Second dose, less than 21 days ago",2,116941,,,,
Deaths involving COVID-19,2021,September,"Second dose, between 21 days and 6 months ago",1860,2542509,61.4,,58.6,64.2
Deaths involving COVID-19,2021,September,"Second dose, at least 6 months ago",358,122229,88.4,,71.4,105.5
Deaths involving COVID-19,2021,September,"Third dose or booster, less than 21 days ago",0,11415,,,,
Deaths involving COVID-19,2021,September,"Third dose or booster, at least 21 days ago",0,188,,,,
Deaths involving COVID-19,2021,September,Ever vaccinated,2302,3004439,65.2,,59.5,70.9
Deaths involving COVID-19,2021,October,Unvaccinated,529,726117,373.9,,339.1,408.7
Deaths involving COVID-19,2021,October,"First dose, less than 21 days ago",0,43120,,,,
Deaths involving COVID-19,2021,October,"First dose, at least 21 days ago",68,164401,299.2,,227.3,385.3
Deaths involving COVID-19,2021,October,"Second dose, less than 21 days ago",1,38582,,,,
Deaths involving COVID-19,2021,October,"Second dose, between 21 days and 6 months ago",819,2235223,63.2,,57.9,68.4
Deaths involving COVID-19,2021,October,"Second dose, at least 6 months ago",1453,361802,143.0,,133.6,152.3
Deaths involving COVID-19,2021,October,"Third dose or booster, less than 21 days ago",143,256858,14.1,,11.3,17.0
Deaths involving COVID-19,2021,October,"Third dose or booster, at least 21 days ago",33,59043,19.3,,11.0,30.2
Deaths involving COVID-19,2021,October,Ever vaccinated,2517,3159029,66.1,,63.5,68.7
Deaths involving COVID-19,2021,November,Unvaccinated,641,639411,466.5,,427.0,506.0
Deaths involving COVID-19,2021,November,"First dose, less than 21 days ago",3,45076,,,,
Deaths involving COVID-19,2021,November,"First dose, at least 21 days ago",67,187375,322.5,,244.7,415.9
Deaths involving COVID-19,2021,November,"Second dose, less than 21 days ago",2,23868,,,,
Deaths involving COVID-19,2021,November,"Second dose, between 21 days and 6 months ago",212,1477694,112.6,,90.7,134.5
Deaths involving COVID-19,2021,November,"Second dose, at least 6 months ago",1776,488331,263.2,,250.7,275.7
Deaths involving COVID-19,2021,November,"Third dose or booster, less than 21 days ago",154,433365,19.6,,15.8,23.4
Deaths involving COVID-19,2021,November,"Third dose or booster, at least 21 days ago",323,466157,27.2,,21.9,32.5
Deaths involving COVID-19,2021,November,Ever vaccinated,2537,3121867,68.9,,66.2,71.5
Deaths involving COVID-19,2021,December,Unvaccinated,827,623517,601.7,,556.7,646.7
Deaths involving COVID-19,2021,December,"First dose, less than 21 days ago",2,26486,,,,
Deaths involving COVID-19,2021,December,"First dose, at least 21 days ago",91,207004,486.9,,385.1,605.9
Deaths involving COVID-19,2021,December,"Second dose, less than 21 days ago",1,36134,,,,
Deaths involving COVID-19,2021,December,"Second dose, between 21 days and 6 months ago",72,778510,175.7,,127.8,232.7
Deaths involving COVID-19,2021,December,"Second dose, at least 6 months ago",1130,397161,426.4,,400.2,452.7
Deaths involving COVID-19,2021,December,"Third dose or booster, less than 21 days ago",114,659719,34.7,,27.8,41.6
Deaths involving COVID-19,2021,December,"Third dose or booster, at least 21 days ago",734,1159587,26.1,,23.9,28.3
Deaths involving COVID-19,2021,December,Ever vaccinated,2144,3264600,56.1,,53.7,58.5
Deaths involving COVID-19,2022,January,Unvaccinated,788,594237,647.3,,599.3,695.3
Deaths involving COVID-19,2022,January,"First dose, less than 21 days ago",10,22056,940.8,u,357.6,1881.1
Deaths involving COVID-19,2022,January,"First dose, at least 21 days ago",124,189047,705.8,,572.7,838.8
Deaths involving COVID-19,2022,January,"Second dose, less than 21 days ago",7,38198,,,,
Deaths involving COVID-19,2022,January,"Second dose, between 21 days and 6 months ago",72,365852,447.3,,339.3,576.2
Deaths involving COVID-19,2022,January,"Second dose, at least 6 months ago",1166,273691,829.9,,780.6,879.3
Deaths involving COVID-19,2022,January,"Third dose or booster, less than 21 days ago",95,294689,156.7,,124.8,194.0
Deaths involving COVID-19,2022,January,"Third dose or booster, at least 21 days ago",2680,2111514,76.0,,73.0,78.9
Deaths involving COVID-19,2022,January,Ever vaccinated,4154,3295046,108.9,,105.6,112.2
Deaths involving COVID-19,2022,February,Unvaccinated,284,522411,269.4,,236.4,302.4
Deaths involving COVID-19,2022,February,"First dose, less than 21 days ago",2,11451,,,,
Deaths involving COVID-19,2022,February,"First dose, at least 21 days ago",60,151961,378.9,,280.8,497.9
Deaths involving COVID-19,2022,February,"Second dose, less than 21 days ago",1,31108,,,,
Deaths involving COVID-19,2022,February,"Second dose, between 21 days and 6 months ago",17,257098,127.6,u,65.6,216.9
Deaths involving COVID-19,2022,February,"Second dose, at least 6 months ago",395,288352,364.6,,327.4,401.8
Deaths involving COVID-19,2022,February,"Third dose or booster, less than 21 days ago",14,41801,153.7,u,82.1,260.7
Deaths involving COVID-19,2022,February,"Third dose or booster, at least 21 days ago",2102,2210123,63.6,,60.9,66.3
Deaths involving COVID-19,2022,February,Ever vaccinated,2591,2991894,74.9,,72.1,77.8
Deaths involving COVID-19,2022,March,Unvaccinated,231,573493,208.8,,180.7,237.0
Deaths involving COVID-19,2022,March,"First dose, less than 21 days ago",1,5891,,,,
Deaths involving COVID-19,2022,March,"First dose, at least 21 days ago",46,154369,294.9,,210.2,400.4
Deaths involving COVID-19,2022,March,"Second dose, less than 21 days ago",1,20056,,,,
Deaths involving COVID-19,2022,March,"Second dose, between 21 days and 6 months ago",21,232189,193.3,,112.5,305.3
Deaths involving COVID-19,2022,March,"Second dose, at least 6 months ago",279,379908,242.9,,213.2,272.5
Deaths involving COVID-19,2022,March,"Third dose or booster, less than 21 days ago",4,23931,,,,
Deaths involving COVID-19,2022,March,"Third dose or booster, at least 21 days ago",2480,2502239,67.7,,65.1,70.4
Deaths involving COVID-19,2022,March,Ever vaccinated,2832,3318583,74.1,,71.4,76.9
Deaths involving COVID-19,2022,April,Unvaccinated,223,553347,214.9,,185.7,244.0
Deaths involving COVID-19,2022,April,"First dose, less than 21 days ago",1,3930,,,,
Deaths involving COVID-19,2022,April,"First dose, at least 21 days ago",46,135231,292.4,,208.1,397.5
Deaths involving COVID-19,2022,April,"Second dose, less than 21 days ago",0,14224,,,,
Deaths involving COVID-19,2022,April,"Second dose, between 21 days and 6 months ago",14,201830,172.2,u,89.4,296.1
Deaths involving COVID-19,2022,April,"Second dose, at least 6 months ago",254,391489,235.0,,204.6,265.3
Deaths involving COVID-19,2022,April,"Third dose or booster, less than 21 days ago",3,17095,,,,
Deaths involving COVID-19,2022,April,"Third dose or booster, at least 21 days ago",3288,2450610,91.9,,88.8,95.1
Deaths involving COVID-19,2022,April,Ever vaccinated,3606,3214410,97.0,,93.9,100.2
Deaths involving COVID-19,2022,May,Unvaccinated,96,571729,87.9,,70.5,108.2
Deaths involving COVID-19,2022,May,"First dose, less than 21 days ago",0,2811,,,,
Deaths involving COVID-19,2022,May,"First dose, at least 21 days ago",23,129962,144.3,,87.6,221.8
Deaths involving COVID-19,2022,May,"Second dose, less than 21 days ago",0,10092,,,,
Deaths involving COVID-19,2022,May,"Second dose, between 21 days and 6 months ago",8,194571,,,,
Deaths involving COVID-19,2022,May,"Second dose, at least 6 months ago",119,415500,114.6,,93.0,136.2
Deaths involving COVID-19,2022,May,"Third dose or booster, less than 21 days ago",0,15522,,,,
Deaths involving COVID-19,2022,May,"Third dose or booster, at least 21 days ago",1344,2554362,36.3,,34.4,38.3
Deaths involving COVID-19,2022,May,Ever vaccinated,1494,3322820,38.8,,36.9,40.8
Deaths involving COVID-19,2022,June,Unvaccinated,63,555298,61.8,,47.1,79.6
