year,race,hispanic,dead,born
2011,Black or African American,Puerto Rican,84,10837
2011,Black or African American,Central or South American,65,9933
2011,Black or African American,Other and Unknown Hispanic,57,10944
2011,Black or African American,Non-Hispanic Black,6670,582345
2011,Black or African American,Origin unknown or not stated,98,5339
2011,White,Mexican,2708,546597
2011,White,Puerto Rican,423,54243
2011,White,Cuban,64,15979
2011,White,Central or South American,513,123516
2011,White,Other and Unknown Hispanic,630,115604
2011,White,Non-Hispanic White,10886,2146566
2011,White,Origin unknown or not stated,228,17850
2012,American Indian or Alaska Native,Mexican,23,3688
2012,American Indian or Alaska Native,Other and Unknown Hispanic,11,1654
2012,American Indian or Alaska Native,Non-Hispanic other races,340,38959
2012,Asian or Pacific Islander,Mexican,11,3835
2012,Asian or Pacific Islander,Other and Unknown Hispanic,15,2963
2012,Asian or Pacific Islander,Non-Hispanic other races,1022,257822
2012,Asian or Pacific Islander,Origin unknown or not stated,45,4633
2012,Black or African American,Mexican,80,12314
2012,Black or African American,Puerto Rican,71,10805
2012,Black or African American,Central or South American,57,9890
2012,Black or African American,Other and Unknown Hispanic,54,11635
2012,Black or African American,Non-Hispanic Black,6528,583489
2012,Black or African American,Origin unknown or not stated,99,4893
2012,White,Mexican,2675,535986
2012,White,Puerto Rican,379,54355
2012,White,Cuban,80,16125
2012,White,Central or South American,478,119220
2012,White,Other and Unknown Hispanic,677,119230
2012,White,Non-Hispanic White,10759,2134044
2012,White,Origin unknown or not stated,216,20860
2013,American Indian or Alaska Native,Mexican,27,4042
2013,American Indian or Alaska Native,Other and Unknown Hispanic,10,1683
2013,American Indian or Alaska Native,Non-Hispanic other races,297,38478
2013,Asian or Pacific Islander,Mexican,16,3737
2013,Asian or Pacific Islander,Central or South American,11,1803
2013,Asian or Pacific Islander,Other and Unknown Hispanic,22,2920
2013,Asian or Pacific Islander,Non-Hispanic other races,982,252048
2013,Asian or Pacific Islander,Origin unknown or not stated,43,3480
2013,Black or African American,Mexican,80,13141
2013,Black or African American,Puerto Rican,67,11035
2013,Black or African American,Central or South American,54,10270
2013,Black or African American,Other and Unknown Hispanic,65,10645
2013,Black or African American,Non-Hispanic Black,6488,583834
2013,Black or African American,Origin unknown or not stated,98,4696
2013,White,Mexican,2549,524282
2013,White,Puerto Rican,324,55207
2013,White,Cuban,47,17521
2013,White,Central or South American,495,118476
2013,White,Other and Unknown Hispanic,710,122122
2013,White,Non-Hispanic White,10766,2129196
2013,White,Origin unknown or not stated,260,18953
2014,American Indian or Alaska Native,Mexican,26,4116
2014,American Indian or Alaska Native,Other and Unknown Hispanic,12,1545
2014,American Indian or Alaska Native,Non-Hispanic other races,287,37472
2014,Asian or Pacific Islander,Mexican,21,3868
2014,Asian or Pacific Islander,Other and Unknown Hispanic,11,2761
2014,Asian or Pacific Islander,Non-Hispanic other races,986,267854
2014,Asian or Pacific Islander,Origin unknown or not stated,57,4567
2014,Black or African American,Mexican,71,12472
2014,Black or African American,Puerto Rican,106,11128
2014,Black or African American,Central or South American,60,10975
2014,Black or African American,Other and Unknown Hispanic,79,10869
2014,Black or African American,Non-Hispanic Black,6435,588891
2014,Black or African American,Origin unknown or not stated,96,5055
2014,White,Mexican,2527,525521
2014,White,Puerto Rican,388,56735
2014,White,Cuban,71,18796
2014,White,Central or South American,514,122904
2014,White,Other and Unknown Hispanic,665,126215
2014,White,Non-Hispanic White,10515,2149302
2014,White,Origin unknown or not stated,248,20390
2015,American Indian or Alaska Native,Mexican,21,4082
2015,American Indian or Alaska Native,Other and Unknown Hispanic,12,1576
2015,American Indian or Alaska Native,Non-Hispanic other races,316,36825
2015,Asian or Pacific Islander,Mexican,11,3645
2015,Asian or Pacific Islander,Puerto Rican,10,1719
2015,Asian or Pacific Islander,Other and Unknown Hispanic,19,2977
2015,Asian or Pacific Islander,Non-Hispanic other races,1085,265848
2015,Asian or Pacific Islander,Origin unknown or not stated,46,4804
2015,Black or African American,Mexican,69,12495
2015,Black or African American,Puerto Rican,94,11881
2015,Black or African American,Cuban,10,1277
2015,Black or African American,Central or South American,66,9321
2015,Black or African American,Other and Unknown Hispanic,64,11037
2015,Black or African American,Non-Hispanic Black,6624,589047
2015,Black or African American,Origin unknown or not stated,100,5021
2015,White,Mexican,2556,525947
2015,White,Puerto Rican,346,56900
2015,White,Cuban,77,19659
2015,White,Central or South American,496,129926
2015,White,Other and Unknown Hispanic,711,127946
2015,White,Non-Hispanic White,10444,2130279
2015,White,Origin unknown or not stated,253,22198
2016,American Indian or Alaska Native,Mexican,27,4142
2016,American Indian or Alaska Native,Central or South American,10,745
2016,American Indian or Alaska Native,Non-Hispanic other races,319,36213
2016,American Indian or Alaska Native,Origin unknown or not stated,11,398
2016,Asian or Pacific Islander,Mexican,29,7118
2016,Asian or Pacific Islander,Puerto Rican,12,2479
2016,Asian or Pacific Islander,Central or South American,15,5246
2016,Asian or Pacific Islander,Other and Unknown Hispanic,28,5501
2016,Asian or Pacific Islander,Non-Hispanic other races,1061,277083
2016,Asian or Pacific Islander,Origin unknown or not stated,51,4622
2016,Black or African American,Mexican,121,20660
2016,Black or African American,Puerto Rican,109,13640
2016,Black or African American,Cuban,16,1729
2016,Black or African American,Central or South American,89,15065
2016,Black or African American,Other and Unknown Hispanic,72,14337
2016,Black or African American,Non-Hispanic Black,6545,583786
2016,Black or African American,Origin unknown or not stated,91,4850
2016,White,Mexican,2480,504073
2016,White,Puerto Rican,309,53926
2016,White,Cuban,65,20533
2016,White,Central or South American,511,122927
2016,White,Other and Unknown Hispanic,649,124035
2016,White,Non-Hispanic White,10204,2094054
2016,White,Origin unknown or not stated,319,26422
2017,American Indian or Alaska Native,Mexican,21,4185
2017,American Indian or Alaska Native,Other and Unknown Hispanic,10,1430
2017,American Indian or Alaska Native,Non-Hispanic other races,307,34503
2017,Asian or Pacific Islander,Mexican,39,6874
2017,Asian or Pacific Islander,Puerto Rican,15,2482
2017,Asian or Pacific Islander,Central or South American,26,5619
2017,Asian or Pacific Islander,Other and Unknown Hispanic,27,5601
2017,Asian or Pacific Islander,Non-Hispanic other races,1095,271875
2017,Asian or Pacific Islander,Origin unknown or not stated,55,4928
2017,Black or African American,Mexican,121,19848
2017,Black or African American,Puerto Rican,117,13836
2017,Black or African American,Cuban,10,1846
2017,Black or African American,Central or South American,85,15984
2017,Black or African American,Other and Unknown Hispanic,75,14646
2017,Black or African American,Non-Hispanic Black,6390,587357
2017,Black or African American,Origin unknown or not stated,72,4598
2017,White,Mexican,2407,481219
2017,White,Puerto Rican,325,53987
2017,White,Cuban,83,21199
2017,White,Central or South American,537,123157
2017,White,Other and Unknown Hispanic,677,125172
2017,White,Non-Hispanic White,9520,2030493
2017,White,Origin unknown or not stated,316,22618
2018,American Indian or Alaska Native,Mexican,23,4513
2018,American Indian or Alaska Native,Other and Unknown Hispanic,12,1613
2018,American Indian or Alaska Native,Non-Hispanic other races,274,33686
2018,Asian or Pacific Islander,Mexican,18,3709
2018,Asian or Pacific Islander,Central or South American,19,2325
2018,Asian or Pacific Islander,Other and Unknown Hispanic,18,3062
2018,Asian or Pacific Islander,Non-Hispanic other races,1021,263816
2018,Asian or Pacific Islander,Origin unknown or not stated,60,6572
2018,Black or African American,Mexican,90,12338
2018,Black or African American,Puerto Rican,97,13206
2018,Black or African American,Central or South American,43,9375
2018,Black or African American,Other and Unknown Hispanic,83,13194
2018,Black or African American,Non-Hispanic Black,6152,579174
2018,Black or African American,Origin unknown or not stated,85,4810
2018,White,Mexican,2294,475271
2018,White,Puerto Rican,292,56147
2018,White,Cuban,82,21806
2018,White,Central or South American,526,134460
2018,White,Other and Unknown Hispanic,679,129995
2018,White,Non-Hispanic White,9334,1994985
2018,White,Origin unknown or not stated,263,22049
2019,American Indian or Alaska Native,Mexican,30,4730
2019,American Indian or Alaska Native,Central or South American,10,1593
2019,American Indian or Alaska Native,Non-Hispanic other races,253,32805
2019,Asian or Pacific Islander,Mexican,24,4060
2019,Asian or Pacific Islander,Central or South American,11,2723
2019,Asian or Pacific Islander,Other and Unknown Hispanic,18,2924
2019,Asian or Pacific Islander,Non-Hispanic other races,934,261643
2019,Asian or Pacific Islander,Origin unknown or not stated,57,7402
2019,Black or African American,Mexican,103,13145
2019,Black or African American,Puerto Rican,124,13834
2019,Black or African American,Cuban,18,1596
2019,Black or African American,Central or South American,55,10757
2019,Black or African American,Other and Unknown Hispanic,73,13524
2019,Black or African American,Non-Hispanic Black,6035,576685
2019,Black or African American,Origin unknown or not stated,98,5101
2019,White,Mexican,2304,474781
2019,White,Puerto Rican,302,54646
2019,White,Cuban,80,21850
2019,White,Central or South American,672,150156
2019,White,Other and Unknown Hispanic,615,112008
2019,White,Non-Hispanic White,8825,1954153
2019,White,Origin unknown or not stated,258,22852
2020,American Indian or Alaska Native,Mexican,31,4317
2020,American Indian or Alaska Native,Central or South American,10,1843
2020,American Indian or Alaska Native,Non-Hispanic other races,206,26813
2020,American Indian or Alaska Native,Origin unknown or not stated,11,410
2020,Asian,Non-Hispanic other races,688,219068
2020,Asian,Origin unknown or not stated,64,6389
2020,Black or African American,Mexican,73,11702
2020,Black or African American,Puerto Rican,86,12875
2020,Black or African American,Central or South American,56,11149
2020,Black or African American,Other and Unknown Hispanic,66,13058
2020,Black or African American,Non-Hispanic other races,5501,529811
2020,Black or African American,Origin unknown or not stated,71,4989
2020,Native Hawaiian or Other Pacific Islander,Non-Hispanic other races,69,9626
2020,White,Mexican,2113,453805
2020,White,Puerto Rican,307,51488
2020,White,Cuban,84,21184
2020,White,Central or South American,577,152552
2020,White,Other and Unknown Hispanic,505,103496
2020,White,Non-Hispanic other races,8115,1843432
2020,White,Origin unknown or not stated,222,21473
2020,More than one race,Mexican,30,7342
2020,More than one race,Puerto Rican,32,3882
2020,More than one race,Other and Unknown Hispanic,22,3758
2020,More than one race,Non-Hispanic other races,563,84238
2021,American Indian or Alaska Native,Mexican,30,4480
2021,American Indian or Alaska Native,Non-Hispanic other races,195,26124
2021,Asian,Mexican,12,2380
2021,Asian,Central or South American,10,1852
2021,Asian,Non-Hispanic other races,788,213813
2021,Asian,Origin unknown or not stated,70,6720
2021,Black or African American,Mexican,66,11950
2021,Black or African American,Puerto Rican,88,13342
2021,Black or African American,Cuban,11,1535
2021,Black or African American,Central or South American,80,12536
2021,Black or African American,Other and Unknown Hispanic,59,14696
2021,Black or African American,Non-Hispanic other races,5463,517889
2021,Black or African American,Origin unknown or not stated,69,5093
2021,Native Hawaiian or Other Pacific Islander,Non-Hispanic other races,74,9531
2021,White,Mexican,2234,457723
2021,White,Puerto Rican,310,52013
2021,White,Cuban,74,22283
2021,White,Central or South American,638,159315
2021,White,Other and Unknown Hispanic,504,105557
2021,White,Non-Hispanic other races,8236,1887656
2021,White,Origin unknown or not stated,241,23431
2021,More than one race,Mexican,34,7433
2021,More than one race,Puerto Rican,25,3733
2021,More than one race,Central or South American,10,1345
2021,More than one race,Other and Unknown Hispanic,20,3855
2021,More than one race,Non-Hispanic other races,541,86982
2022,American Indian or Alaska Native,Mexican,24,5176
2022,American Indian or Alaska Native,Central or South American,18,2552
2022,American Indian or Alaska Native,Non-Hispanic other races,233,25721
2022,Asian,Mexican,16,2746
2022,Asian,Other and Unknown Hispanic,11,1494
2022,Asian,Non-Hispanic other races,768,218994
2022,Asian,Origin unknown or not stated,75,6259
2022,Black or African American,Mexican,78,12693
2022,Black or African American,Puerto Rican,102,13454
2022,Black or African American,Cuban,15,1579
2022,Black or African American,Central or South American,75,14530
2022,Black or African American,Other and Unknown Hispanic,82,15459
2022,Black or African American,Non-Hispanic other races,5573,511439
2022,Black or African American,Origin unknown or not stated,65,4768
2022,Native Hawaiian or Other Pacific Islander,Mexican,11,1355
2022,Native Hawaiian or Other Pacific Islander,Central or South American,10,1745
2022,Native Hawaiian or Other Pacific Islander,Non-Hispanic other races,86,10122
2022,White,Mexican,2271,480568
2022,White,Puerto Rican,292,50454
2022,White,Cuban,87,24203
2022,White,Central or South American,787,185235
2022,White,Other and Unknown Hispanic,574,101244
2022,White,Non-Hispanic other races,8324,1840739
2022,White,Origin unknown or not stated,276,22714
2022,More than one race,Mexican,41,7656
2022,More than one race,Puerto Rican,35,3682
2022,More than one race,Other and Unknown Hispanic,15,3669
2022,More than one race,Non-Hispanic other races,584,88381
2023,American Indian or Alaska Native,Mexican,32,5288
2023,American Indian or Alaska Native,Central or South American,12,2743
2023,American Indian or Alaska Native,Other and Unknown Hispanic,10,1461
2023,American Indian or Alaska Native,Non-Hispanic other races,226,24571
2023,Asian,Mexican,17,2839
2023,Asian,Central or South American,11,2317
2023,Asian,Other and Unknown Hispanic,14,1593
2023,Asian,Non-Hispanic other races,742,215738
2023,Asian,Origin unknown or not stated,67,5894
2023,Black or African American,Mexican,79,13038
2023,Black or African American,Puerto Rican,103,12716
2023,Black or African American,Cuban,24,1966
2023,Black or African American,Central or South American,79,14978
2023,Black or African American,Other and Unknown Hispanic,102,15917
2023,Black or African American,Non-Hispanic other races,5374,491494
2023,Black or African American,Origin unknown or not stated,82,4624
2023,Native Hawaiian or Other Pacific Islander,Central or South American,10,1398
2023,Native Hawaiian or Other Pacific Islander,Non-Hispanic other races,83,10115
2023,White,Mexican,2430,477970
2023,White,Puerto Rican,292,48246
2023,White,Cuban,87,27381
2023,White,Central or South American,835,185842
2023,White,Other and Unknown Hispanic,505,108995
2023,White,Non-Hispanic other races,8008,1787051
2023,White,Origin unknown or not stated,253,21160
2023,More than one race,Mexican,37,7715
2023,More than one race,Puerto Rican,23,3627
2023,More than one race,Central or South American,10,1340
2023,More than one race,Other and Unknown Hispanic,14,3673
2023,More than one race,Non-Hispanic other races,561,88988
