ed,cause,month,age,status,dead,pop,asmr,unreliable,asmrlow,asmrhigh
3,Non-COVID-19 deaths,2021-08,Total,"First dose, less than 21 days ago",20,35897,1405.8,,795.9,2259.1
3,Non-COVID-19 deaths,2021-08,Total,"First dose, at least 21 days ago",1306,267917,3364.6,,3168.5,3560.8
3,Non-COVID-19 deaths,2021-08,Total,"Second dose, less than 21 days ago",80,156761,1327.1,,1001.9,1711.3
3,Non-COVID-19 deaths,2021-08,Total,"Second dose, at least 21 days ago",28492,2159570,848.8,,806.7,890.9
3,Non-COVID-19 deaths,2021-09,Total,Unvaccinated,1477,634100,1141.0,,1078.9,1203.1
3,Non-COVID-19 deaths,2021-09,Total,"First dose, less than 21 days ago",8,30010,NA,,NA,NA
3,Non-COVID-19 deaths,2021-09,Total,"First dose, at least 21 days ago",1006,151660,3025.5,,2826.5,3224.6
3,Non-COVID-19 deaths,2021-09,Total,"Second dose, less than 21 days ago",27,97004,731.9,,429.0,1136.1
3,Non-COVID-19 deaths,2021-09,Total,"Second dose, at least 21 days ago",28850,2302796,873.0,,840.2,905.8
3,Non-COVID-19 deaths,2021-10,Total,Unvaccinated,1416,609332,1075.9,,1016.2,1135.5
3,Non-COVID-19 deaths,2021-10,Total,"First dose, less than 21 days ago",16,34429,1673.5,u,920.2,2770.7
3,Non-COVID-19 deaths,2021-10,Total,"First dose, at least 21 days ago",921,144136,2801.7,,2609.2,2994.3
3,Non-COVID-19 deaths,2021-10,Total,"Second dose, less than 21 days ago",32,30692,1483.9,,988.9,2128.8
3,Non-COVID-19 deaths,2021-10,Total,"Second dose, at least 21 days ago",30851,2501224,892.9,,866.7,919.1
3,Deaths involving COVID-19,2021-01,18-39,Unvaccinated,173,919674,19.5,,22.4,16.6
3,Deaths involving COVID-19,2021-01,18-39,"First dose, less than 21 days ago",5,26370,17.0,u,39.6,5.5
3,Deaths involving COVID-19,2021-01,18-39,"First dose, at least 21 days ago",0,4631,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,18-39,"Second dose, less than 21 days ago",0,1285,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,18-39,"Second dose, at least 21 days ago",0,243,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,40-49,Unvaccinated,365,447582,80.5,,88.8,72.3
3,Deaths involving COVID-19,2021-01,40-49,"First dose, less than 21 days ago",4,19088,19.3,u,49.4,5.3
3,Deaths involving COVID-19,2021-01,40-49,"First dose, at least 21 days ago",0,3808,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,40-49,"Second dose, less than 21 days ago",0,1232,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,40-49,"Second dose, at least 21 days ago",0,229,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,50-59,Unvaccinated,1220,513837,235.3,,248.5,222.0
3,Deaths involving COVID-19,2021-01,50-59,"First dose, less than 21 days ago",21,24952,81.7,,124.9,50.6
3,Deaths involving COVID-19,2021-01,50-59,"First dose, at least 21 days ago",4,4934,79.4,u,203.5,21.6
3,Deaths involving COVID-19,2021-01,50-59,"Second dose, less than 21 days ago",0,1650,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,50-59,"Second dose, at least 21 days ago",0,309,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,60-69,Unvaccinated,2758,425081,651.8,,676.2,627.5
3,Deaths involving COVID-19,2021-01,60-69,"First dose, less than 21 days ago",58,15353,419.0,,543.7,316.5
3,Deaths involving COVID-19,2021-01,60-69,"First dose, at least 21 days ago",10,2548,538.6,u,1011.0,245.6
3,Deaths involving COVID-19,2021-01,60-69,"Second dose, less than 21 days ago",0,872,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,60-69,"Second dose, at least 21 days ago",0,157,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,70-79,Unvaccinated,5892,304187,2058.9,,2112.0,2005.7
3,Deaths involving COVID-19,2021-01,70-79,"First dose, less than 21 days ago",300,54255,519.7,,586.2,453.3
3,Deaths involving COVID-19,2021-01,70-79,"First dose, at least 21 days ago",69,2144,3011.8,,3953.8,2224.5
3,Deaths involving COVID-19,2021-01,70-79,"Second dose, less than 21 days ago",0,623,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,70-79,"Second dose, at least 21 days ago",0,76,NA,,NA,NA
3,Deaths involving COVID-19,2021-01,80-89,Unvaccinated,8694,73818,11689.8,,11935.6,11444.0
3,Deaths involving COVID-19,2021-01,80-89,"First dose, less than 21 days ago",1100,67356,1632.5,,1729.0,1536.0
3,Deaths involving COVID-19,2021-01,80-89,"First dose, at least 21 days ago",570,14996,3771.4,,4081.1,3461.7
3,Deaths involving COVID-19,2021-01,80-89,"Second dose, less than 21 days ago",43,15072,287.9,,387.8,208.3
3,Deaths involving COVID-19,2021-01,80-89,"Second dose, at least 21 days ago",6,2589,231.5,u,503.9,85.0
3,Deaths involving COVID-19,2021-01,90+,Unvaccinated,5264,18589,28317.8,,29093.3,27557.9
3,Deaths involving COVID-19,2021-01,90+,"First dose, less than 21 days ago",833,13680,6089.4,,6517.4,5682.8
3,Deaths involving COVID-19,2021-01,90+,"First dose, at least 21 days ago",361,2876,12551.8,,13915.9,11290.2
3,Deaths involving COVID-19,2021-01,90+,"Second dose, less than 21 days ago",14,2474,565.8,u,949.4,309.1
3,Deaths involving COVID-19,2021-01,90+,"Second dose, at least 21 days ago",5,434,1152.1,u,2688.7,371.3
3,Deaths involving COVID-19,2021-02,18-39,Unvaccinated,82,776627,11.0,,13.7,8.8
3,Deaths involving COVID-19,2021-02,18-39,"First dose, less than 21 days ago",6,38562,14.0,u,30.6,5.1
3,Deaths involving COVID-19,2021-02,18-39,"First dose, at least 21 days ago",3,41919,7.0,u,20.7,1.4
3,Deaths involving COVID-19,2021-02,18-39,"Second dose, less than 21 days ago",0,670,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,18-39,"Second dose, at least 21 days ago",0,1774,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,40-49,Unvaccinated,173,363128,47.3,,54.4,40.3
3,Deaths involving COVID-19,2021-02,40-49,"First dose, less than 21 days ago",6,29894,19.5,u,42.7,7.1
3,Deaths involving COVID-19,2021-02,40-49,"First dose, at least 21 days ago",5,30196,15.2,u,35.5,4.9
3,Deaths involving COVID-19,2021-02,40-49,"Second dose, less than 21 days ago",0,599,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,40-49,"Second dose, at least 21 days ago",0,1709,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,50-59,Unvaccinated,598,398078,149.3,,161.3,137.3
3,Deaths involving COVID-19,2021-02,50-59,"First dose, less than 21 days ago",24,51469,45.7,,68.2,29.1
3,Deaths involving COVID-19,2021-02,50-59,"First dose, at least 21 days ago",30,40228,73.8,,105.4,49.8
3,Deaths involving COVID-19,2021-02,50-59,"Second dose, less than 21 days ago",0,811,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,50-59,"Second dose, at least 21 days ago",0,2287,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,60-69,Unvaccinated,1393,253519,603.0,,635.5,570.5
3,Deaths involving COVID-19,2021-02,60-69,"First dose, less than 21 days ago",83,117639,70.1,,88.6,54.4
3,Deaths involving COVID-19,2021-02,60-69,"First dose, at least 21 days ago",81,28700,291.4,,362.5,231.2
3,Deaths involving COVID-19,2021-02,60-69,"Second dose, less than 21 days ago",0,451,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,60-69,"Second dose, at least 21 days ago",0,1225,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,70-79,Unvaccinated,2030,52990,4961.4,,5195.8,4727.0
3,Deaths involving COVID-19,2021-02,70-79,"First dose, less than 21 days ago",347,164263,234.6,,259.6,209.5
3,Deaths involving COVID-19,2021-02,70-79,"First dose, at least 21 days ago",491,108256,403.0,,440.6,365.5
3,Deaths involving COVID-19,2021-02,70-79,"Second dose, less than 21 days ago",0,210,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,70-79,"Second dose, at least 21 days ago",0,840,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,80-89,Unvaccinated,2187,10551,20346.2,,21202.6,19489.8
3,Deaths involving COVID-19,2021-02,80-89,"First dose, less than 21 days ago",552,27022,2034.2,,2204.0,1864.5
3,Deaths involving COVID-19,2021-02,80-89,"First dose, at least 21 days ago",1589,98609,1608.5,,1687.6,1529.4
3,Deaths involving COVID-19,2021-02,80-89,"Second dose, less than 21 days ago",0,386,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,80-89,"Second dose, at least 21 days ago",41,20052,204.7,,277.7,146.9
3,Deaths involving COVID-19,2021-02,90+,Unvaccinated,1232,3551,34698.0,,36691.1,32787.2
3,Deaths involving COVID-19,2021-02,90+,"First dose, less than 21 days ago",381,6786,5614.1,,6207.1,5064.4
3,Deaths involving COVID-19,2021-02,90+,"First dose, at least 21 days ago",1143,20317,5625.9,,5961.8,5304.5
3,Deaths involving COVID-19,2021-02,90+,"Second dose, less than 21 days ago",0,81,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,90+,"Second dose, at least 21 days ago",21,3374,622.4,,951.5,385.2
3,Deaths involving COVID-19,2021-03,18-39,Unvaccinated,20,773088,2.8,,4.3,1.7
3,Deaths involving COVID-19,2021-03,18-39,"First dose, less than 21 days ago",0,64125,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,18-39,"First dose, at least 21 days ago",4,99591,3.6,u,9.1,1.0
3,Deaths involving COVID-19,2021-03,18-39,"Second dose, less than 21 days ago",0,10418,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,18-39,"Second dose, at least 21 days ago",0,3838,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,40-49,Unvaccinated,48,323265,14.9,,19.8,11.0
3,Deaths involving COVID-19,2021-03,40-49,"First dose, less than 21 days ago",0,58816,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,40-49,"First dose, at least 21 days ago",5,76658,5.9,u,13.7,1.9
3,Deaths involving COVID-19,2021-03,40-49,"Second dose, less than 21 days ago",0,8078,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,40-49,"Second dose, at least 21 days ago",0,3491,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,50-59,Unvaccinated,186,232861,80.8,,92.5,69.2
3,Deaths involving COVID-19,2021-03,50-59,"First dose, less than 21 days ago",13,171059,7.3,u,12.6,3.9
3,Deaths involving COVID-19,2021-03,50-59,"First dose, at least 21 days ago",43,126487,33.5,,45.2,24.1
3,Deaths involving COVID-19,2021-03,50-59,"Second dose, less than 21 days ago",0,10671,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,50-59,"Second dose, at least 21 days ago",0,4692,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,60-69,Unvaccinated,313,69279,572.6,,641.5,503.6
3,Deaths involving COVID-19,2021-03,60-69,"First dose, less than 21 days ago",29,135608,25.5,,37.2,16.6
3,Deaths involving COVID-19,2021-03,60-69,"First dose, at least 21 days ago",119,230967,51.6,,61.3,42.0
3,Deaths involving COVID-19,2021-03,60-69,"Second dose, less than 21 days ago",0,6635,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,60-69,"Second dose, at least 21 days ago",0,2608,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,70-79,Unvaccinated,285,27837,1131.2,,1266.0,996.3
3,Deaths involving COVID-19,2021-03,70-79,"First dose, less than 21 days ago",29,7896,538.9,,786.5,349.5
3,Deaths involving COVID-19,2021-03,70-79,"First dose, at least 21 days ago",345,315387,110.6,,122.3,98.9
3,Deaths involving COVID-19,2021-03,70-79,"Second dose, less than 21 days ago",3,9435,31.2,u,96.2,4.3
3,Deaths involving COVID-19,2021-03,70-79,"Second dose, at least 21 days ago",0,1577,NA,,NA,NA
3,Deaths involving COVID-19,2021-03,80-89,Unvaccinated,302,7535,3951.1,,4397.3,3504.8
3,Deaths involving COVID-19,2021-03,80-89,"First dose, less than 21 days ago",38,1898,1970.3,,2711.1,1389.1
3,Deaths involving COVID-19,2021-03,80-89,"First dose, at least 21 days ago",619,117921,524.4,,565.8,483.1
3,Deaths involving COVID-19,2021-03,80-89,"Second dose, less than 21 days ago",13,21693,58.6,u,100.2,31.2
3,Deaths involving COVID-19,2021-03,80-89,"Second dose, at least 21 days ago",22,24350,90.2,,136.6,56.5
3,Deaths involving COVID-19,2021-03,90+,Unvaccinated,165,2309,7146.0,,8323.5,6097.2
3,Deaths involving COVID-19,2021-03,90+,"First dose, less than 21 days ago",20,703,2845.1,,4394.3,1737.1
3,Deaths involving COVID-19,2021-03,90+,"First dose, at least 21 days ago",416,25735,1616.5,,1779.5,1464.8
3,Deaths involving COVID-19,2021-03,90+,"Second dose, less than 21 days ago",10,4770,209.6,u,385.6,100.4
3,Deaths involving COVID-19,2021-03,90+,"Second dose, at least 21 days ago",11,4269,257.7,u,461.0,128.4
3,Deaths involving COVID-19,2021-04,18-39,Unvaccinated,8,688574,1.3,u,2.5,0.5
3,Deaths involving COVID-19,2021-04,18-39,"First dose, less than 21 days ago",0,32663,NA,,NA,NA
3,Deaths involving COVID-19,2021-04,18-39,"First dose, at least 21 days ago",0,138228,NA,,NA,NA
3,Deaths involving COVID-19,2021-04,18-39,"Second dose, less than 21 days ago",0,35636,NA,,NA,NA
3,Deaths involving COVID-19,2021-04,18-39,"Second dose, at least 21 days ago",0,24713,NA,,NA,NA
3,Deaths involving COVID-19,2021-04,40-49,Unvaccinated,10,221450,4.3,u,8.0,2.1
3,Deaths involving COVID-19,2021-04,40-49,"First dose, less than 21 days ago",0,63339,NA,,NA,NA
