name,batch,no_reports,serious,deaths
COVID-19 VACCINE JANSSEN,XD955,13,9,0
COVID-19 VACCINE JANSSEN,XD974,6,4,1
COVID-19 VACCINE JANSSEN,XD975,5,2,0
COVID-19 VACCINE JANSSEN,XD986,9,6,1
COVID-19 VACCINE JANSSEN,XE393,48,18,1
COVID-19 VACCINE JANSSEN,XE423,11,3,0
COVID-19 VACCINE JANSSEN,21C10-05,6,5,0
COVID-19 VACCINE JANSSEN,21C11-05,5,3,0
COVID-19 VACCINE JANSSEN,21C16-05,5,4,0
COVID-19 VACCINE JANSSEN,21C17-05,1,0,0
COVID-19 VACCINE JANSSEN,21C18-05,6,1,0
COVID-19 VACCINE JANSSEN,Unknown,403,177,7
NUVAXOVID,4301MF011,6,2,0
NUVAXOVID,4302MF002,1,1,0
NUVAXOVID,Unknown,7,1,0
UNKNOWN,Unknown,18,13,2
