cause,year,sex,dead,pop
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2024,Female,15,1784146
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2024,Male,52,1864508
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2025,Female,14,1784146
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2025,Male,27,1864508
Certain disorders involving the immune mechanism (D80-D89),2022,Female,13,1800246
"Endocrine, nutritional and metabolic diseases (E00-E88)",2018,Female,57,1879703
"Endocrine, nutritional and metabolic diseases (E00-E88)",2018,Male,89,1968505
"Endocrine, nutritional and metabolic diseases (E00-E88)",2019,Female,71,1847935
"Endocrine, nutritional and metabolic diseases (E00-E88)",2019,Male,95,1935117
"Endocrine, nutritional and metabolic diseases (E00-E88)",2020,Female,64,1826869
"Endocrine, nutritional and metabolic diseases (E00-E88)",2020,Male,83,1908141
"Endocrine, nutritional and metabolic diseases (E00-E88)",2021,Female,77,1742991
"Endocrine, nutritional and metabolic diseases (E00-E88)",2021,Male,94,1821502
"Endocrine, nutritional and metabolic diseases (E00-E88)",2022,Female,60,1800246
"Endocrine, nutritional and metabolic diseases (E00-E88)",2022,Male,91,1882867
"Endocrine, nutritional and metabolic diseases (E00-E88)",2023,Female,66,1784146
"Endocrine, nutritional and metabolic diseases (E00-E88)",2023,Male,92,1864508
"Endocrine, nutritional and metabolic diseases (E00-E88)",2024,Female,69,1784146
"Endocrine, nutritional and metabolic diseases (E00-E88)",2024,Male,90,1864508
"Endocrine, nutritional and metabolic diseases (E00-E88)",2025,Female,44,1784146
"Endocrine, nutritional and metabolic diseases (E00-E88)",2025,Male,44,1864508
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2018,Female,37,1879703
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2018,Male,61,1968505
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2019,Female,45,1847935
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2019,Male,64,1935117
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2020,Female,38,1826869
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2020,Male,57,1908141
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2021,Female,50,1742991
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2021,Male,59,1821502
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2022,Female,41,1800246
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2022,Male,61,1882867
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2023,Female,48,1784146
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2023,Male,58,1864508
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2024,Female,42,1784146
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2024,Male,66,1864508
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2025,Female,33,1784146
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2025,Male,28,1864508
Diseases of the nervous system (G00-G98),2018,Female,113,1879703
Diseases of the nervous system (G00-G98),2018,Male,152,1968505
Diseases of the nervous system (G00-G98),2019,Female,110,1847935
Diseases of the nervous system (G00-G98),2019,Male,115,1935117
Diseases of the nervous system (G00-G98),2020,Female,111,1826869
Diseases of the nervous system (G00-G98),2020,Male,136,1908141
Diseases of the nervous system (G00-G98),2021,Female,103,1742991
Diseases of the nervous system (G00-G98),2021,Male,149,1821502
Diseases of the nervous system (G00-G98),2022,Female,98,1800246
Diseases of the nervous system (G00-G98),2022,Male,128,1882867
Diseases of the nervous system (G00-G98),2023,Female,102,1784146
Diseases of the nervous system (G00-G98),2023,Male,136,1864508
Diseases of the nervous system (G00-G98),2024,Female,97,1784146
Diseases of the nervous system (G00-G98),2024,Male,147,1864508
Diseases of the nervous system (G00-G98),2025,Female,40,1784146
Diseases of the nervous system (G00-G98),2025,Male,75,1864508
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2018,Female,75,1879703
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2018,Male,99,1968505
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2019,Female,72,1847935
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2019,Male,82,1935117
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2020,Female,71,1826869
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2020,Male,87,1908141
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2021,Female,67,1742991
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2021,Male,98,1821502
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2022,Female,65,1800246
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2022,Male,86,1882867
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2023,Female,61,1784146
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2023,Male,92,1864508
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2024,Female,73,1784146
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2024,Male,101,1864508
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2025,Female,28,1784146
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2025,Male,54,1864508
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2018,Female,50,1879703
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2018,Male,44,1968505
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2019,Female,39,1847935
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2019,Male,46,1935117
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2020,Female,40,1826869
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2020,Male,27,1908141
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2021,Female,40,1742991
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2021,Male,28,1821502
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2022,Female,32,1800246
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2022,Male,24,1882867
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2023,Female,31,1784146
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2023,Male,39,1864508
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2024,Female,30,1784146
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2024,Male,32,1864508
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2025,Female,26,1784146
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2025,Male,20,1864508
Cardiomyopathy (I42),2018,Female,40,1879703
Cardiomyopathy (I42),2018,Male,51,1968505
Cardiomyopathy (I42),2019,Female,40,1847935
Cardiomyopathy (I42),2019,Male,48,1935117
Cardiomyopathy (I42),2020,Female,38,1826869
Cardiomyopathy (I42),2020,Male,31,1908141
Cardiomyopathy (I42),2021,Female,29,1742991
Cardiomyopathy (I42),2021,Male,46,1821502
Cardiomyopathy (I42),2022,Female,40,1800246
Cardiomyopathy (I42),2022,Male,46,1882867
Cardiomyopathy (I42),2023,Female,32,1784146
Cardiomyopathy (I42),2023,Male,38,1864508
Cardiomyopathy (I42),2024,Female,43,1784146
Cardiomyopathy (I42),2024,Male,41,1864508
Cardiomyopathy (I42),2025,Female,17,1784146
Cardiomyopathy (I42),2025,Male,10,1864508
Cardiac arrest (I46),2020,Female,10,1826869
Cardiac arrest (I46),2020,Male,12,1908141
Cardiac arrest (I46),2021,Male,16,1821502
Cardiac arrest (I46),2023,Male,11,1864508
Cardiac arrest (I46),2024,Male,10,1864508
Cerebrovascular diseases (I60-I69),2018,Female,43,1879703
Cerebrovascular diseases (I60-I69),2018,Male,55,1968505
Cerebrovascular diseases (I60-I69),2019,Female,46,1847935
Cerebrovascular diseases (I60-I69),2019,Male,56,1935117
Cerebrovascular diseases (I60-I69),2020,Female,49,1826869
Cerebrovascular diseases (I60-I69),2020,Male,55,1908141
Cerebrovascular diseases (I60-I69),2021,Female,44,1742991
Cerebrovascular diseases (I60-I69),2021,Male,53,1821502
Cerebrovascular diseases (I60-I69),2022,Female,35,1800246
Cerebrovascular diseases (I60-I69),2022,Male,52,1882867
Cerebrovascular diseases (I60-I69),2023,Female,42,1784146
Cerebrovascular diseases (I60-I69),2023,Male,38,1864508
Cerebrovascular diseases (I60-I69),2024,Female,38,1784146
Cerebrovascular diseases (I60-I69),2024,Male,43,1864508
Cerebrovascular diseases (I60-I69),2025,Female,21,1784146
Cerebrovascular diseases (I60-I69),2025,Male,28,1864508
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2018,Female,59,1879703
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2018,Male,59,1968505
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2019,Female,50,1847935
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2019,Male,68,1935117
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2020,Female,50,1826869
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2020,Male,64,1908141
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2021,Female,55,1742991
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2021,Male,78,1821502
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2022,Female,47,1800246
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2022,Male,62,1882867
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2023,Female,49,1784146
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2023,Male,58,1864508
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2024,Female,50,1784146
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2024,Male,74,1864508
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2025,Female,31,1784146
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2025,Male,37,1864508
"Diseases of the respiratory system (J00-J98,U04)",2018,Female,172,1879703
"Diseases of the respiratory system (J00-J98,U04)",2018,Male,239,1968505
"Diseases of the respiratory system (J00-J98,U04)",2019,Female,173,1847935
"Diseases of the respiratory system (J00-J98,U04)",2019,Male,254,1935117
"Diseases of the respiratory system (J00-J98,U04)",2020,Female,128,1826869
"Diseases of the respiratory system (J00-J98,U04)",2020,Male,180,1908141
"Diseases of the respiratory system (J00-J98,U04)",2021,Female,153,1742991
"Diseases of the respiratory system (J00-J98,U04)",2021,Male,190,1821502
"Diseases of the respiratory system (J00-J98,U04)",2022,Female,159,1800246
"Diseases of the respiratory system (J00-J98,U04)",2022,Male,228,1882867
"Diseases of the respiratory system (J00-J98,U04)",2023,Female,138,1784146
"Diseases of the respiratory system (J00-J98,U04)",2023,Male,201,1864508
"Diseases of the respiratory system (J00-J98,U04)",2024,Female,128,1784146
"Diseases of the respiratory system (J00-J98,U04)",2024,Male,166,1864508
"Diseases of the respiratory system (J00-J98,U04)",2025,Female,66,1784146
"Diseases of the respiratory system (J00-J98,U04)",2025,Male,76,1864508
Influenza (J09-J11),2018,Female,10,1879703
Influenza (J09-J11),2019,Female,14,1847935
Influenza (J09-J11),2019,Male,11,1935117
Influenza (J09-J11),2025,Female,13,1784146
Pneumonia (J12-J18),2018,Female,64,1879703
Pneumonia (J12-J18),2018,Male,93,1968505
Pneumonia (J12-J18),2019,Female,51,1847935
Pneumonia (J12-J18),2019,Male,80,1935117
Pneumonia (J12-J18),2020,Female,37,1826869
Pneumonia (J12-J18),2020,Male,74,1908141
Pneumonia (J12-J18),2021,Female,53,1742991
Pneumonia (J12-J18),2021,Male,67,1821502
Pneumonia (J12-J18),2022,Female,60,1800246
Pneumonia (J12-J18),2022,Male,82,1882867
Pneumonia (J12-J18),2023,Female,56,1784146
Pneumonia (J12-J18),2023,Male,75,1864508
Pneumonia (J12-J18),2024,Female,32,1784146
Pneumonia (J12-J18),2024,Male,54,1864508
Pneumonia (J12-J18),2025,Male,22,1864508
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2018,Female,73,1879703
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2018,Male,105,1968505
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2019,Female,79,1847935
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2019,Male,121,1935117
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2020,Female,72,1826869
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2020,Male,80,1908141
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2021,Female,72,1742991
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2021,Male,98,1821502
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2022,Female,70,1800246
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2022,Male,100,1882867
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2023,Female,59,1784146
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2023,Male,91,1864508
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2024,Female,66,1784146
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2024,Male,79,1864508
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2025,Female,36,1784146
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2025,Male,34,1864508
Diseases of the digestive system (K00-K92),2018,Female,69,1879703
Diseases of the digestive system (K00-K92),2018,Male,100,1968505
Diseases of the digestive system (K00-K92),2019,Female,74,1847935
Diseases of the digestive system (K00-K92),2019,Male,95,1935117
Diseases of the digestive system (K00-K92),2020,Female,69,1826869
Diseases of the digestive system (K00-K92),2020,Male,97,1908141
Diseases of the digestive system (K00-K92),2021,Female,70,1742991
Diseases of the digestive system (K00-K92),2021,Male,94,1821502
Diseases of the digestive system (K00-K92),2022,Female,54,1800246
Diseases of the digestive system (K00-K92),2022,Male,86,1882867
Diseases of the digestive system (K00-K92),2023,Female,62,1784146
Diseases of the digestive system (K00-K92),2023,Male,105,1864508
Diseases of the digestive system (K00-K92),2024,Female,60,1784146
Diseases of the digestive system (K00-K92),2024,Male,82,1864508
Diseases of the digestive system (K00-K92),2025,Female,28,1784146
Diseases of the digestive system (K00-K92),2025,Male,40,1864508
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2018,Female,42,1879703
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2018,Male,59,1968505
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2019,Female,39,1847935
"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)",2019,Male,56,1935117
